id	nev	tipus	megye	telepules	irszam	cim
27	Vásárcsarnok	piac és vásárcsarnok	Baranya	Komló	7300	Berek utca 14.
28	Piac	piac	Baranya	Magyarszék	7396	Sporttelep önkormányzati tulajdonú területen (185 hrsz.)
29	Élelmiszerpiac, vásár	piac	Somogy	Marcali	8700	1638/130 hrsz.
30	Piaccsarnok	piac és vásárcsarnok	Somogy	Marcali	8700	1638/31 hrsz.
31	Városi piac	piac	Baranya	Mohács	7700	Városi piac kerítésen belüli része
32	Országos állat- és kirakodóvásár	vásár	Baranya	Mohács	7700	budapesti országút 3683/4, 16/1 és 3678. hrsz. 
33	Mozsgói piac	termelői piac	Baranya	Mozsgó	7932	Batthyány utca, Sportpálya
34	Élelmiszerpiac és kirakodóvásár	piac	Somogy	Nagyatád	7500	Piac tér
35	Piactér, vásárcsarnok	piac és vásárcsarnok	Somogy	Nagyatád	7500	Kolozsvári utca
36	Heti kirakodó és élelmiszerpiac	piac	Tolna	Ozora	7086	Szabadság tér
37	Országos kirakodóvásár	vásár	Tolna	Ozora	7086	a benzinkút mögött
38	Állat- és kirakodóvásár	vásár	Somogy	Ötvöskónyi	7511	0129/15 hrsz
39	Hetipiac	piac	Tolna	Paks	7030	Villany utca 2.
40	Biópiac	biopiac	Baranya	Pécs	7622	Bajcsy-Zsilinszky utca 25.
41	Vásárcsarnok	vásárcsarnok	Baranya	Pécs	7622	Bajcsy-Zsilinszky utca 25.
42	Diana téri piac	piac	Baranya	Pécs	7632	Diana tér
43	Uránvárosi piac	piac	Baranya	Pécs	7632	Hajnóczy utca 1.
44	Vásártér  	piac	Baranya	Pécs	7632	Móra Ferenc utca 
45	Élelmiszerpiac és kirakodóvásár	piac	Somogy	Ságvár	8654	Hrsz. 157, 158
46	Kirakodóvásár	vásár	Somogy	Ságvár	8654	Hrsz. 157, 158
47	Piac	piac	Baranya	Sellye	7960	Bodonyi Nándor utca
48	Vásár	vásár	Baranya	Sellye	7960	Sport utca déli részén lévő terület
49	Piac, vásárcsarnok	piac és vásárcsarnok	Baranya	Siklós	7800	Mária utca, Dózsa György utca és a Táncsics Mihály utcák
50	Heti piac	piac	Tolna	Simontornya	7081	Hunyadi utca
51	Országos állat- és kirakodóvásár	vásár	Tolna	Simontornya	7081	Arany János utca
52	Siófoki Vásárcsarnok	vásárcsarnok	Somogy	Siófok	8600	Vámház utca 2.
53	Siófoki Bioudvar	biopiac	Somogy	Siófok	8601	Széchenyi utca 6/a.
54	Termelői piac és kézműves vásár	termelői piac	Somogy	Szántódpuszta	8622	70-es út mellett
55	Helyi piac 	piac	Baranya	Szászvár	7349	Faluház udvara
56	Országos  kirakodó- és  autóvásár	vásár	Baranya	Szászvár	7349	
57	Déli piac	piac	Tolna	Szekszárd	7100	Béri Balogh Ádám utca
58	Központi piac	piac	Tolna	Szekszárd	7100	Várköz utca
59	Szekszárdi Vásár	vásár	Tolna	Szekszárd	7100	Aranytó utcai Vásártér (3785-3787 hrsz.)
60	Piac, heti kirakodóvásár	piac	Baranya	Szigetvár	7900	Istvánffy utca
61	Országos állat- és kirakodóvásár	vásár	Baranya	Szigetvár	7900	960 hrsz. alatt nyilvántartott földterület
62	Piac	piac	Somogy	Tab	8660	Vörösmarty utca
63	Állat- és kirakodóvásár	vásár	Somogy	Tab	8660	Kossuth Lajos utca
64	Városi piac	piac	Tolna	Tolna	7130	Hősök tere 1.
65	Hétközi piac	piac	Tolna	Tolna	7130	Piactér
66	Piac	piac	Somogy	Zamárdi	8621	Siófoki út
