TelepulesID;TelepulesNev;MegyeID
291;Tiszaeszlár;SZ
292;Tiszafüred;JN
293;Tiszakarád;BZ
294;Tiszakerecseny;SZ
295;Tiszakóród;SZ
296;Tiszaladány;BZ
297;Tiszalök;SZ
298;Tiszalúc;BZ
299;Tiszamogyorós;SZ
300;Tiszanagyfalu;SZ
301;Tiszarád;SZ
302;Tiszatelek;SZ
303;Tiszaújváros;BZ
304;Tiszavasvári;SZ
305;Tivadar;SZ
306;Tokaj;BZ
307;Tornyospálca;SZ
308;Tótkomlós;BE
309;Töltéstava;GS
310;Tömörkény;CS
311;Tunyogmatolcs;SZ
312;Túrkeve;JN
313;Tuzsér;SZ
314;Újfehértó;SZ
315;Újkenéz;SZ
316;Vadna;BZ
317;Vaja;SZ
318;Várpalota;VE
319;Varsány;NO
320;Vásárosnamény;SZ
321;Vasmegyer;SZ
322;Vízvár;SO
323;Vrbová nad Váhom;
324;Zagyvaszántó;HE
325;Zalaegerszeg;ZA
326;Zalagyömörő;VE
327;Zalaszabar;ZA
328;Zalaszentgrót;ZA
329;Zalaszentmihály;ZA
330;Zalavár;ZA
331;Zámoly;FE
