datum	pilotaaz	helyezes	hiba	csapat	tipus	motor
1960.09.04	339		olajteknõ	Equipe Prideaux / Dick Gibson	Cooper 	Climax 
1957.05.19	355		karambol		Maserati 	Maserati 
1958.08.03	448		kuplung	Scuderia Ferrari	Ferrari 	Ferrari 
1951.10.28	767		motor	Ecurie Siam	Maserati 	Osca
1960.05.30	56		motor	Watson	Watson	Offenhauser 
1955.06.19	794	8		Equipe Gordini	Gordini 	Gordini 
1958.07.06	599	5		Scuderia Ferrari	Ferrari 	Ferrari 
1953.09.13	550		motor		Maserati 	Maserati 
1955.01.16	83		benzinhiány	Daimler Benz AG	Mercedes 	Mercedes 
1957.05.19	448		kiesett	Scuderia Ferrari	Lancia 	Lancia 
1950.06.04	759	3		Automobiles Talbot-Darracq SA	Talbot-Lago 	Talbot 
1953.05.30	191		karambol	Rotary Engineering	Kurtis 	Offenhauser 
1959.08.02	222		kuplung	Cooper Car Company	Cooper 	Climax 
1956.07.01	248		törés	Luigi Piotti	Maserati 	Maserati 
1951.07.01	29	1		Alfa Romeo SpA	Alfa 	Alfa 
1951.07.01	111		motor	Equipe Gordini	Simca-Gordini 	Simca-Gordini 
1954.10.24	140	6		Officine Alfieri Maserati	Maserati 	Maserati 
1950.05.30	750	22		Sampson Manufacturing	Rae	Offenhauser 
1954.07.17	779	7		Daimler Benz AG	Mercedes 	Mercedes 
1956.05.13	595		karambol	Equipe Gordini	Gordini 	Gordini 
1955.05.22	283	7		Equipe Gordini	Gordini 	Gordini 
1952.07.06	701	9		HW Motors	HWM	Alta 
1952.08.03	111		karambol	Equipe Gordini	Gordini 	Gordini 
1958.07.19	731		túlhajtás	Team Lotus	Lotus 	Climax 
1959.12.12	130		kuplung	Team Lotus	Lotus 	Climax 
1960.09.04	345		sebességváltó	Scuderia Centro Sud	Cooper 	Maserati 
1951.05.30	681	5		John McDaniel	Schroeder	Offenhauser 
1954.01.17	316		motor	Officine Alfieri Maserati	Maserati 	Maserati 
1960.11.20	83	1		Rob Walker Racing Team	Lotus 	Climax 
1952.05.30	681		sebességváltó	Rotary Engineering	Stevens	Offenhauser 
1954.08.22	238		olajpumpa	Officine Alfieri Maserati	Maserati 	Maserati 
1955.09.11	300	7		Officine Alfieri Maserati	Maserati 	Maserati 
1950.05.21	238		karambol	Horschell Racing Corporation	Cooper 	JAP
1958.08.03	731		olajfolyás	Team Lotus	Lotus 	Climax 
1956.05.13	325	7		Officine Alfieri Maserati	Maserati 	Maserati 
1957.08.04	316	4		Scuderia Ferrari	Lancia 	Lancia 
1958.10.19	111		motor	Rob Walker Racing Team	Cooper 	Climax 
1958.10.19	499	7		Cooper Car Company	Cooper 	Climax 
1960.02.07	369	12		Camoradi International	Behra-Porsche	Porsche 
1950.06.04	1		motor	Alfa Romeo SpA	Alfa 	Alfa 
1954.06.20	379	7		Officine Alfieri Maserati	Maserati 	Maserati 
1956.05.13	606	3		Officine Alfieri Maserati	Maserati 	Maserati 
1958.05.30	323	3		Kurtis Kraft	Kurtis 	Offenhauser 
1952.07.19	655	2		Scuderia Ferrari	Ferrari 	Ferrari 
1958.05.30	711		kicsúszás	Kuzma	Kuzma	Offenhauser 
1960.05.29	19	9		Team Lotus	Lotus 	Climax 
1959.05.30	711	10		Kuzma	Kuzma	Offenhauser 
1955.05.22	111	1		Scuderia Ferrari	Ferrari 	Ferrari 
1950.05.30	65		olajfolyás	Verlin Brown	Kurtis 	Offenhauser 
1955.05.30	421		futómû	Kurtis Kraft	Kurtis 	Offenhauser 
1955.05.30	231		karambol	Kurtis Kraft	Kurtis 	Offenhauser 
1959.09.13	83	1		Rob Walker Racing Team	Cooper 	Climax 
1957.09.08	765	11		Ottoronio Volonterio	Maserati 	Maserati 
1951.07.01	29	11		Alfa Romeo SpA	Alfa 	Alfa 
1959.05.10	111	3		Rob Walker Racing Team	Cooper 	Climax 
1952.05.18	759		karambol	Ecurie Rosier	Ferrari 	Ferrari 
1952.05.30	336	1		JC Agajanian	Kuzma	Offenhauser 
1950.09.03	546		olajnyomás	Officine Alfieri Maserati	Maserati 	Maserati 
1956.07.14	794		sebességváltó	Equipe Gordini	Gordini 	Gordini 
1959.08.23	369	2		Cooper Car Company	Cooper 	Climax 
1950.06.04	767	4		Enrico Plate	Maserati 	Maserati 
1954.10.24	599		karambol	G A Vandervell	Vanwall 	Vanwall 
1956.05.30	323		olajfolyás	Kurtis Kraft	Kurtis 	Offenhauser 
1956.01.22	1		benzinpumpa	Scuderia Ferrari	Lancia 	Lancia 
1953.09.13	701		motor	HW Motors	HWM	Alta 
1959.09.13	275	5		Scuderia Ferrari	Ferrari 	Ferrari 
1955.06.19	118	11		Equipe Nationale Belge	Ferrari 	Ferrari 
1953.06.07	419	2		Scuderia Ferrari	Ferrari 	Ferrari 
1956.07.01	794	8		Equipe Gordini	Gordini 	Gordini 
1957.09.08	150	3		Scuderia Ferrari	Lancia 	Lancia 
1951.06.17	655		sebességváltó	Scuderia Ferrari	Ferrari 	Ferrari 
1960.11.20	115	10		Reventlow Automobiles Inc	Scarab	Scarab 
1958.05.18	238	5		Owen Racing Organisation	BRM 	BRM 
1954.09.05	759	8		Officine Alfieri Maserati	Maserati 	Maserati 
1959.05.31	731	7		Team Lotus	Lotus 	Climax 
1958.05.30	508	7		Phillips	Phillips	Offenhauser 
1960.11.20	700		futómû	Cooper Car Company	Cooper 	Climax 
1957.05.30	188	8		Kurtis Kraft	Kurtis 	Offenhauser 
1957.07.20	238		vízpumpa	Officine Alfieri Maserati	Maserati 	Maserati 
1952.09.07	354		kizárták	Ecurie Espadon	Ferrari 	Ferrari
1956.05.30	10		kiesett	Kurtis Kraft	Kurtis 	Offenhauser 
1951.07.01	721	2		Scuderia Ferrari	Ferrari 	Ferrari 
1954.05.31	220	15		Kurtis Kraft	Kurtis 	Offenhauser 
1952.07.19	83		motor	ERA Ltd	ERA 	Bristol 
1959.08.23	455	10		Scuderia Centro Sud	Cooper 	Maserati 
1959.08.23	238	5		Owen Racing Organisation	BRM 	BRM 
1951.05.27	1	1		Alfa Romeo SpA	Alfa 	Alfa 
1960.05.30	102	2		Watson	Watson	Offenhauser 
1951.07.14	450		nem teljesítette a távot		Alta 	Alta
1952.05.30	412		vezérmûtengely	Ludson Morris	Kurtis 	Offenhauser 
1952.07.19	162	16		Connaught Engineering	Connaught 	Lea 
1959.08.02	369		motor	Cooper Car Company	Cooper 	Climax 
1959.08.23	185		motor	Owen Racing Organisation	BRM 	BRM 
1957.01.13	654	5		Scuderia Ferrari	Lancia 	Lancia 
1952.05.30	31	17		Howard Keck	Kurtis 	Offenhauser 
1958.05.18	150		motor	Scuderia Ferrari	Ferrari 	Ferrari 
1960.02.07	36		túlhajtás		Maserati 	Maserati 
1958.05.30	56	4		Epperly	Epperly	Offenhauser 
1955.06.19	316	3		Officine Alfieri Maserati	Maserati 	Maserati 
1953.06.21	118		kiesett	Officine Alfieri Maserati	Maserati 	Maserati 
1957.05.30	387		karambol	Kurtis Kraft	Kurtis 	Offenhauser 
1954.09.05	606		motor	Equipe Gordini	Gordini 	Gordini 
1960.06.06	111		sebességváltó	Scuderia Centro Sud	Cooper 	Maserati 
1952.05.18	735	5		Ecurie Richmond	Cooper 	Bristol 
1960.02.07	130		feladta	Team Lotus	Lotus 	Climax 
1953.08.23	248	6		Scuderia Ferrari	Ferrari 	Ferrari 
1959.12.12	764		törés	Automobili OSCA	Cooper 	Osca
1959.09.13	19		törés	Team Lotus	Lotus 	Climax 
1951.05.27	655	2		Scuderia Ferrari	Ferrari 	Ferrari 
1956.06.03	1		futómû	Scuderia Ferrari	Lancia 	Lancia 
1955.06.19	46		kerék	Stirling Moss Ltd	Maserati 	Maserati 
1957.08.04	1	1		Officine Alfieri Maserati	Maserati 	Maserati 
1958.07.19	185		sebességváltó	Joakim Bonnier Racing Team	Maserati 	Maserati 
1955.01.16	779	4		Daimler Benz AG	Mercedes 	Mercedes 
1960.06.19	54		sebességváltó	Yeoman Credit Racing Team	Cooper 	Climax 
1952.05.30	705	14		HA Chapman	Stevens	Offenhauser 
1960.05.30	55	16		Meskowski	Meskowski	Offenhauser 
1956.09.02	584		defekt	Scuderia Ferrari	Lancia 	Lancia 
1955.01.16	606		kiesett	Officine Alfieri Maserati	Maserati 	Maserati 
1956.09.02	599	2		Scuderia Ferrari	Lancia 	Lancia 
1953.07.18	523		féltengely	Rob Walker Racing Team	Connaught 	Lea 
1956.08.05	355		olajnyomás	Gould's Garage (Bristol)	Maserati 	Maserati 
1958.07.19	130		túlhajtás	Team Lotus	Lotus 	Climax 
1955.01.16	238	7		Officine Alfieri Maserati	Maserati 	Maserati 
1951.07.01	248	3		Scuderia Ferrari	Ferrari 	Ferrari 
1953.06.21	721		gázadagoló	Officine Alfieri Maserati	Maserati 	Maserati 
1955.09.11	606	4		Officine Alfieri Maserati	Maserati 	Maserati 
1952.07.19	738	20		Ecurie Richmond	Cooper 	Bristol 
1954.07.04	701		motor	HW Motors	HWM	Alta 
1954.07.04	234		sebességváltó	Officine Alfieri Maserati	Maserati 	Maserati 
1953.06.07	83	9		Connaught Engineering	Connaught 	Lea 
1952.08.03	752	7			Veritas 	BMW 
1957.08.18	140		motor	Francesco Godia-Sales	Maserati 	Maserati 
1955.05.30	649		futómû	Trevis	Trevis	Offenhauser 
1951.07.29	729		gyújtás	Alfa Romeo SpA	Alfa 	Alfa 
1957.08.04	54	9		Vandervell Products Ltd	Vanwall	Vanwall 
1954.10.24	550		kiesett	Baron de Graffenried	Maserati 	Maserati 
1959.05.31	238		motor	Owen Racing Organisation	BRM 	BRM 
1950.09.03	169		hûtés		ERA 	ERA
1952.05.18	715		benzinfolyás		Veritas 	Veritas 
1959.05.30	360	13		Dunn	Dunn	Offenhauser 
1958.09.07	111		sebességváltó	Rob Walker Racing Team	Cooper 	Climax 
1953.08.02	550	5			Maserati 	Maserati 
1960.05.30	360		kuplung	Ewing	Ewing	Offenhauser 
1954.05.31	706		kiesett	Kurtis Kraft	Kurtis 	Offenhauser 
1956.05.30	758		motor	Kurtis Kraft	Kurtis 	Offenhauser 
1960.08.14	731		sebességváltó	Owen Racing Organisation	BRM 	BRM 
1959.05.30	495		tûz	Watson	Watson	Offenhauser 
1960.06.06	607	7		Yeoman Credit Racing Team	Cooper 	Climax 
1950.09.03	550	6			Maserati 	Maserati 
1960.05.30	336		tengely	Watson	Watson	Offenhauser 
1959.07.05	700	6		Owen Racing Organisation	BRM 	BRM 
1953.09.13	546	10			Osca 	Osca
1959.12.12	222	1		Cooper Car Company	Cooper 	Climax 
1953.09.13	419	2		Scuderia Ferrari	Ferrari 	Ferrari 
1952.05.30	718		kompresszor	Lewis Welch	Kurtis 	Novi 
1953.07.18	735		túlhajtás	RJ Chase	Cooper 	Bristol 
1953.01.18	606	6		Equipe Gordini	Gordini 	Gordini 
1952.06.22	655		karambol	Scuderia Ferrari	Ferrari 	Ferrari 
1954.05.31	231	10		Stevens	Stevens	Offenhauser 
1954.05.31	412		kiesett	Schroeder	Schroeder	Offenhauser 
1952.09.07	298		motor	Escuderia Bandeirantes	Maserati 	Maserati
1957.08.18	499		karambol	Cooper Car Company	Cooper 	Climax 
1957.08.04	355		nem azonosított		Maserati 	Maserati 
1953.08.02	111		differenciálmû	Equipe Gordini	Gordini 	Gordini 
1953.09.13	735	12		RJ Chase	Cooper 	Bristol 
1955.01.16	432		karambol	Officine Alfieri Maserati	Maserati 	Maserati 
1953.05.30	639	14		John MacDaniel	Schroeder	Offenhauser 
1954.07.17	234	3		Officine Alfieri Maserati	Maserati 	Maserati 
1953.05.30	131		leállás	Lee Elkins	Turner	Offenhauser 
1952.07.06	111	5		Equipe Gordini	Simca-Gordini 	Gordini
1956.09.02	316		kormány	Scuderia Ferrari	Lancia 	Lancia 
1950.09.03	405		motor		Ferrari 	Jaguar
1953.06.07	300		futómû	Equipe Gordini	Gordini 	Gordini 
1952.07.06	382	11		Ecurie Espadon	Ferrari 	Ferrari 
1957.09.08	83	1		Vandervell Products Ltd	Vanwall	Vanwall 
1951.07.29	655	5		Scuderia Ferrari	Ferrari 	Ferrari 
1953.08.02	38		kiesett		AFM	BMW 
1960.06.19	743	5		Team Lotus	Lotus 	Climax 
1957.05.30	186	13		Kurtis Kraft	Kurtis 	Offenhauser 
1957.09.08	526		motor		Maserati 	Maserati 
1952.09.07	759	10		Ecurie Rosier	Ferrari 	Ferrari 
1956.08.05	36		motor	Scuderia Centro Sud	Ferrari 	Ferrari 
1959.07.05	19		kerék	Team Lotus	Lotus 	Climax 
1960.05.29	117		sebességváltó	Yeoman Credit Racing Team	Cooper 	Climax 
1951.07.29	1	2		Alfa Romeo SpA	Alfa 	Alfa 
1958.05.30	758		benzinpumpa	Lesovsky	Lesovsky	Offenhauser 
1960.07.16	731		karambol	Owen Racing Organisation	BRM 	BRM 
1953.06.21	457		futómû		Veritas 	Veritas 
1953.07.05	759	8		Ecurie Rosier	Ferrari 	Ferrari 
1957.05.19	700		sebességváltó	Owen Racing Organisation	BRM 	BRM 
1951.05.30	709		futómû	Lou Moore	Lesovsky	Offenhauser 
1950.05.30	413	7		JC Agajanian	Kurtis 	Offenhauser 
1956.05.30	65	17		Kurtis Kraft	Kurtis 	Offenhauser 
1958.07.19	121		sebességváltó	BC Ecclestone	Connaught 	Alta 
1960.05.30	649		kuplung	Kurtis Kraft	Kurtis 	Offenhauser 
1960.09.04	150	5		Scuderia Ferrari	Ferrari 	Ferrari 
1957.08.18	355		karambol		Maserati 	Maserati 
1951.07.14	248	3		Scuderia Ferrari	Ferrari 	Ferrari 
1953.05.30	20	15		Ray Crawford	Kurtis 	Offenhauser 
1954.06.20	284		motor	Ecurie Francorchamps	Ferrari 	Ferrari 
1950.07.02	583	8		Automobiles Talbot-Darracq SA	Talbot-Lago 	Talbot 
1956.09.02	111		kiállás	Vandervell Products Ltd	Vanwall	Vanwall 
1953.06.21	419		motor	Scuderia Ferrari	Ferrari 	Ferrari 
1958.05.30	622	10		Kurtis Kraft	Kurtis 	Novi 
1959.07.18	784		sebességváltó	High Efficiency Motors	Cooper 	Climax 
1960.07.03	607	4		Yeoman Credit Racing Team	Cooper 	Climax 
1951.09.16	546		gyújtás	Ecurie Rosier	Talbot-Lago 	Talbot 
1960.07.03	222	3		Cooper Car Company	Cooper 	Climax 
1955.06.19	584	5		Scuderia Ferrari	Ferrari 	Ferrari 
1953.08.02	195	11			Cooper 	Bristol 
1953.06.07	780		nem rajtolt el	Equipe Gordini	Gordini 	Gordini 
1951.06.17	587	6		Ecurie Belgique	Talbot-Lago 	Talbot 
1950.05.21	42	2		Scuderia Ferrari	Ferrari 	Ferrari 
1954.08.22	606		kuplung	Equipe Gordini	Gordini 	Gordini 
1954.05.31	445		kiesett	Kurtis Kraft	Kurtis 	Offenhauser 
1953.09.13	162		nem teljesítette a távot	Connaught Engineering	Connaught 	Lea 
1958.05.18	106		kizárták	BC Ecclestone	Connaught 	Alta 
1959.09.13	731		motor	Team Lotus	Lotus 	Climax 
1955.07.16	238		gázadagoló	Vandervell Products Ltd	Vanwall	Vanwall 
1959.07.18	760		kizárták	United Racing Stable	Cooper 	Climax 
1959.07.18	756		sebességváltó	Scuderia Centro Sud	Cooper 	Maserati 
1953.06.07	499		motor	Connaught Engineering	Connaught 	Lea 
1957.01.13	185	7		Scuderia Centro Sud	Maserati 	Maserati 
1950.05.30	471		kompresszor	Cummins Engines	Kurtis 	Cummins 
1957.07.20	129		motor	Owen Racing Organisation	BRM 	BRM 
1956.07.14	374	11			Cooper 	Bristol 
1960.05.30	645	8		Meskowski	Meskowski	Offenhauser 
1958.08.03	83		gyújtás	Vandervell Products Ltd	Vanwall	Vanwall 
1950.07.02	720		nem rajtolt el	Ecurie Leutitia	Talbot-Lago 	Talbot 
1952.05.18	238		motor	Enrico Plate	Maserati 	Plate 
1959.05.30	276	16		Leader Cards Inc	Kurtis 	Offenhauser 
1960.07.03	518		futómû	Scuderia Ferrari	Ferrari 	Ferrari 
1951.05.30	706		tengely	LE Parks	Pawl	Offenhauser 
1958.06.15	499	8		Cooper Car Company	Cooper 	Climax 
1956.01.22	448	3		Owen Racing Organisation	Maserati 	Maserati 
1954.05.31	347		kiesett	Bromme	Bromme	Offenhauser 
1950.06.04	625		kiállás	Scuderia Ferrari	Ferrari 	Ferrari
1955.05.22	267		kizárták		HWM	Alta 
1959.05.31	83		sebességváltó	Rob Walker Racing Team	Cooper 	Climax 
1959.05.30	55		gyújtás	Leader Cards Inc	Kurtis 	Offenhauser 
1960.05.29	597		kizárták	Scuderia Centro Sud	Cooper 	Climax 
