datum	nev	helyszin
1960.05.30	Indy 500	USA
1991.10.20	Japán	Japán
1995.05.14	Spanyol	Spanyolország
1969.05.04	Spanyol	Spanyolország
1976.01.25	Brazil	Brazília
1990.06.24	Mexikói	Mexikó
1965.10.24	Mexikói	Mexikó
1958.05.26	Holland	Hollandia
1985.10.06	Európa	Nagy-Britannia
1987.11.15	Ausztrál	Ausztrália
1976.06.13	Svéd	Svédország
1988.10.02	Spanyol	Spanyolország
1987.11.01	Japán	Japán
1951.07.29	Német	Németország
1981.03.15	USA	USA
1982.05.23	Monacoi	Monaco
2005.07.10	Brit	Nagy-Britannia
1978.04.02	USA	USA
1988.09.11	Olasz	Olaszország
2003.06.29	Európa	Németország
1974.04.28	Spanyol	Spanyolország
1965.07.10	Brit	Nagy-Britannia
1958.07.19	Brit	Nagy-Britannia
1960.07.03	Francia	Franciaország
2002.07.28	Német	Németország
1990.07.08	Francia	Franciaország
2006.07.02	USA	USA
1995.09.10	Olasz	Olaszország
1980.06.29	Francia	Franciaország
1985.04.07	Brazil	Brazília
1990.03.11	USA	USA
2005.04.03	Bahreini	Bahrain
1976.07.04	Francia	Franciaország
1985.05.05	San Marinoi	San Marino
1988.03.03	Brazil	Brazília
1987.08.09	Magyar	Magyarország
1956.01.22	Argentín	Argentína
1981.07.18	Brit	Nagy-Britannia
1958.05.18	Monacoi	Monaco
1971.03.06	Dél-Afrikai	Dél-Afrika
1961.07.15	Brit	Nagy-Britannia
1973.09.09	Olasz	Olaszország
1953.06.21	Belga	Belgium
1953.08.23	Svájci	Svájc
1960.07.16	Brit	Nagy-Britannia
1970.07.18	Brit	Nagy-Britannia
1976.10.10	USA	USA
1989.06.04	USA	USA
1997.10.12	Japán	Japán
1977.06.19	Svéd	Svédország
1998.03.29	Brazil	Brazília
2001.07.29	Német	Németország
1989.09.24	Portugál	Portugália
1976.05.16	Belga	Belgium
2003.07.20	Brit	Nagy-Britannia
1989.06.18	Kanadai	Kanada
2002.09.01	Belga	Belgium
1959.07.18	Brit	Nagy-Britannia
1986.04.27	San Marinoi	San Marino
1950.05.30	Indy 500	USA
1974.07.20	Brit	Nagy-Britannia
1999.08.15	Magyar	Magyarország
1978.01.29	Brazil	Brazília
1986.08.17	Osztrák	Ausztria
1993.08.15	Magyar	Magyarország
1986.08.10	Magyar	Magyarország
1957.05.30	Indy 500	USA
2002.09.15	Olasz	Olaszország
1958.06.15	Belga	Belgium
1951.07.14	Brit	Nagy-Britannia
1957.08.18	Olasz	Olaszország
1981.05.03	San Marinoi	San Marino
1987.07.05	Francia	Franciaország
1983.09.11	Olasz	Olaszország
2003.03.09	Ausztrál	Ausztrália
2004.07.04	Francia	Franciaország
1996.04.28	Európa	Németország
2004.08.29	Belga	Belgium
1997.04.27	San Marinoi	San Marino
1950.09.03	Olasz	Olaszország
1967.09.10	Olasz	Olaszország
2001.07.01	Francia	Franciaország
1969.10.05	USA	USA
1953.07.18	Brit	Nagy-Britannia
2006.04.02	Ausztrál	Ausztrália
1988.05.01	San Marinoi	San Marino
1990.11.04	Ausztrál	Ausztrália
2001.03.04	Ausztrál	Ausztrália
1976.05.02	Spanyol	Spanyolország
1952.08.03	Német	Németország
1969.07.06	Francia	Franciaország
2004.09.12	Olasz	Olaszország
2003.05.04	Spanyol	Spanyolország
1975.05.25	Belga	Belgium
1981.07.05	Francia	Franciaország
1975.01.26	Brazil	Brazília
1973.03.03	Dél-Afrikai	Dél-Afrika
1998.09.13	Olasz	Olaszország
1956.09.02	Olasz	Olaszország
2002.05.26	Monacoi	Monaco
1963.06.09	Belga	Belgium
1975.09.07	Olasz	Olaszország
1969.08.03	Német	Németország
1996.05.19	Monacoi	Monaco
1963.10.06	USA	USA
1998.05.24	Monacoi	Monaco
1996.08.25	Belga	Belgium
1971.09.19	Kanadai	Kanada
1979.10.07	USA	USA
1950.05.13	Brit	Nagy-Britannia
1994.09.11	Olasz	Olaszország
1977.10.02	USA	USA
1960.02.07	Argentín	Argentína
1974.05.26	Monacoi	Monaco
1973.07.01	Francia	Franciaország
2006.05.28	Monacoi	Monaco
1990.08.26	Belga	Belgium
1989.03.26	Brazil	Brazília
1996.03.31	Brazil	Brazília
2006.07.30	Német	Németország
1958.05.30	Indy 500	USA
1952.06.22	Belga	Belgium
1974.09.22	Kanadai	Kanada
1970.09.20	Kanadai	Kanada
1950.06.18	Belga	Belgium
1963.09.08	Olasz	Olaszország
1977.07.03	Francia	Franciaország
1964.06.28	Francia	Franciaország
1962.09.16	Olasz	Olaszország
1992.09.13	Olasz	Olaszország
1969.06.21	Holland	Hollandia
2005.09.11	Belga	Belgium
1954.08.22	Svájci	Svájc
2000.06.04	Monacoi	Monaco
1994.07.03	Francia	Franciaország
1987.05.03	San Marinoi	San Marino
1954.08.01	Német	Németország
1997.07.13	Brit	Nagy-Britannia
1971.05.23	Monacoi	Monaco
1992.03.01	Dél-Afrikai	Dél-Afrika
1991.11.03	Ausztrál	Ausztrália
2003.08.03	Német	Németország
1993.06.13	Kanadai	Kanada
1997.05.25	Spanyol	Spanyolország
1996.07.28	Német	Németország
1955.07.16	Brit	Nagy-Britannia
1953.05.30	Indy 500	USA
1974.09.08	Olasz	Olaszország
1958.08.24	Portugál	Portugália
1986.07.06	Francia	Franciaország
2000.10.08	Japán	Japán
1983.08.07	Német	Németország
1995.07.02	Francia	Franciaország
1955.06.05	Belga	Belgium
1984.08.19	Osztrák	Ausztria
1969.09.20	Kanadai	Kanada
1966.07.16	Brit	Nagy-Britannia
1976.05.30	Monacoi	Monaco
1955.09.11	Olasz	Olaszország
1960.05.29	Monacoi	Monaco
1989.08.13	Magyar	Magyarország
1979.08.12	Osztrák	Ausztria
1979.08.26	Holland	Hollandia
1998.05.10	Spanyol	Spanyolország
1973.09.23	Kanadai	Kanada
1985.08.25	Holland	Hollandia
1952.05.30	Indy 500	USA
1956.07.01	Francia	Franciaország
1956.06.03	Belga	Belgium
1977.07.17	Brit	Nagy-Britannia
2004.05.09	Spanyol	Spanyolország
2003.08.24	Magyar	Magyarország
1994.10.16	Spanyol	Spanyolország
2004.06.20	USA	USA
2002.05.12	Osztrák	Ausztria
1979.03.03	Dél-Afrikai	Dél-Afrika
2006.06.11	Brit	Nagy-Britannia
1984.07.08	USA	USA
1987.08.16	Osztrák	Ausztria
1958.07.06	Francia	Franciaország
1971.07.04	Francia	Franciaország
1981.05.17	Belga	Belgium
2003.07.06	Francia	Franciaország
1977.10.09	Kanadai	Kanada
1981.08.30	Holland	Hollandia
1986.06.22	USA	USA
1988.10.30	Japán	Japán
1996.09.08	Olasz	Olaszország
1984.04.29	Belga	Belgium
1973.07.29	Holland	Hollandia
1981.09.27	Kanadai	Kanada
1985.08.04	Német	Németország
1997.09.21	Osztrák	Ausztria
2004.08.15	Magyar	Magyarország
1967.08.06	Német	Németország
1966.07.24	Holland	Hollandia
1996.07.14	Brit	Nagy-Britannia
1997.09.28	Német	Németország
1964.08.02	Német	Németország
1970.03.07	Dél-Afrikai	Dél-Afrika
1987.04.12	Brazil	Brazília
1953.06.07	Holland	Hollandia
1971.08.01	Német	Németország
1973.07.14	Brit	Nagy-Britannia
2005.07.31	Magyar	Magyarország
1995.05.28	Monacoi	Monaco
2002.08.18	Magyar	Magyarország
1978.05.07	Monacoi	Monaco
1995.08.27	Belga	Belgium
2000.08.13	Magyar	Magyarország
1979.05.13	Belga	Belgium
1989.09.10	Olasz	Olaszország
1953.07.05	Francia	Franciaország
1983.07.16	Brit	Nagy-Britannia
1967.07.15	Brit	Nagy-Britannia
2000.03.26	Brazil	Brazília
1989.07.09	Francia	Franciaország
1960.09.04	Olasz	Olaszország
2006.06.25	Kanadai	Kanada
1992.08.30	Belga	Belgium
1987.05.31	Monacoi	Monaco
1980.05.04	Belga	Belgium
1998.04.26	San Marinoi	San Marino
1970.04.19	Spanyol	Spanyolország
1996.08.11	Magyar	Magyarország
2001.05.27	Monacoi	Monaco
1980.09.28	Kanadai	Kanada
2002.07.21	Francia	Franciaország
1985.09.15	Belga	Belgium
1996.03.10	Ausztrál	Ausztrália
1985.09.08	Olasz	Olaszország
1995.07.30	Német	Németország
2001.09.02	Belga	Belgium
1990.07.15	Brit	Nagy-Britannia
1999.05.02	San Marinoi	San Marino
1994.11.06	Japán	Japán
1985.05.19	Monacoi	Monaco
1958.01.19	Argentín	Argentína
1984.08.26	Holland	Hollandia
1966.07.03	Francia	Franciaország
1986.05.25	Belga	Belgium
1963.06.30	Francia	Franciaország
1977.10.23	Japán	Japán
1968.10.06	USA	USA
1989.10.01	Spanyol	Spanyolország
1985.06.23	USA	USA
1988.05.29	Mexikói	Mexikó
1984.03.25	Brazil	Brazília
1960.08.14	Portugál	Portugália
2006.04.23	San Marinoi	San Marino
2005.06.19	USA	USA
1991.09.08	Olasz	Olaszország
1995.10.01	Európa	Németország
1999.08.01	Német	Németország
2003.06.01	Monacoi	Monaco
1984.06.03	Monacoi	Monaco
1974.08.18	Osztrák	Ausztria
1993.10.24	Japán	Japán
1993.07.11	Brit	Nagy-Britannia
1973.08.05	Német	Németország
1988.08.07	Magyar	Magyarország
1981.08.16	Osztrák	Ausztria
1979.04.29	Spanyol	Spanyolország
1998.09.27	Luxemburgi	Németország
1980.10.05	USA	USA
1990.07.29	Német	Németország
1967.10.01	USA	USA
1970.07.05	Francia	Franciaország
1988.09.25	Portugál	Portugália
2005.07.24	Német	Németország
1974.06.23	Holland	Hollandia
1970.06.07	Belga	Belgium
2005.07.03	Francia	Franciaország
1983.08.28	Holland	Hollandia
2000.08.27	Belga	Belgium
1974.05.12	Belga	Belgium
1970.08.16	Osztrák	Ausztria
2004.07.25	Német	Németország
1978.06.04	Spanyol	Spanyolország
1991.08.11	Magyar	Magyarország
1986.10.26	Ausztrál	Ausztrália
1995.10.29	Japán	Japán
1978.07.02	Francia	Franciaország
2000.04.09	San Marinoi	San Marino
1993.11.07	Ausztrál	Ausztrália
2000.07.02	Francia	Franciaország
1989.08.27	Belga	Belgium
1989.07.30	Német	Németország
1998.08.02	Német	Németország
1998.03.08	Ausztrál	Ausztrália
1998.08.16	Magyar	Magyarország
1973.06.17	Svéd	Svédország
1998.06.07	Kanadai	Kanada
1975.10.05	USA	USA
2000.09.10	Olasz	Olaszország
1996.05.05	San Marinoi	San Marino
1980.09.14	Olasz	San Marino
2006.10.01	Kínai	Kína
1992.08.16	Magyar	Magyarország
1970.10.04	USA	USA
1982.08.15	Osztrák	Ausztria
1998.07.26	Osztrák	Ausztria
2005.03.06	Ausztrál	Ausztrália
1968.06.09	Belga	Belgium
1953.08.02	Német	Németország
1998.11.01	Japán	Japán
1989.04.23	San Marinoi	San Marino
1985.06.16	Kanadai	Kanada
1970.09.06	Olasz	Olaszország
1999.07.11	Brit	Nagy-Britannia
1971.08.15	Osztrák	Ausztria
1959.07.05	Francia	Franciaország
1991.06.16	Mexikói	Mexikó
1978.01.15	Argentín	Argentína
1970.06.21	Holland	Hollandia
1954.07.17	Brit	Nagy-Britannia
1988.11.13	Ausztrál	Ausztrália
2006.08.27	Török	Törökország
1955.05.22	Monacoi	Monaco
1965.06.13	Belga	Belgium
1985.08.18	Osztrák	Ausztria
1971.06.20	Holland	Hollandia
2004.04.04	Bahreini	Bahrain
1964.07.11	Brit	Nagy-Britannia
1982.07.25	Francia	Franciaország
1974.01.13	Argentín	Argentína
1964.05.24	Holland	Hollandia
1961.05.22	Holland	Hollandia
1983.06.12	Kanadai	Kanada
1986.05.11	Monacoi	Monaco
1985.07.07	Francia	Franciaország
1990.08.12	Magyar	Magyarország
1973.04.29	Spanyol	Spanyolország
1989.05.28	Mexikói	Mexikó
1993.09.26	Portugál	Portugália
2004.09.26	Kínai	Kína
1975.06.08	Svéd	Svédország
1975.07.19	Brit	Nagy-Britannia
1984.04.07	Dél-Afrikai	Dél-Afrika
1957.07.07	Francia	Franciaország
1998.04.12	Argentín	Argentína
1958.08.03	Német	Németország
1993.09.12	Olasz	Olaszország
2000.06.18	Kanadai	Kanada
1980.03.30	USA	USA
1987.10.18	Mexikói	Mexikó
1997.05.11	Monacoi	Monaco
1984.10.21	Portugál	Portugália
1982.04.04	USA	USA
1986.03.23	Brazil	Brazília
1958.10.19	Marokkói	Marokkó
1990.06.10	Kanadai	Kanada
2006.10.22	Brazil	Brazília
2000.10.22	Maláj	Malaysia
2002.04.14	San Marinoi	San Marino
1998.06.28	Francia	Franciaország
1969.05.18	Monacoi	Monaco
1973.10.07	USA	USA
1971.10.03	USA	USA
1977.05.08	Spanyol	Spanyolország
1967.10.22	Mexikói	Mexikó
1991.03.24	Brazil	Brazília
1997.08.24	Belga	Belgium
1962.07.08	Francia	Franciaország
1974.01.27	Brazil	Brazília
1961.09.10	Olasz	Olaszország
1986.07.13	Brit	Nagy-Britannia
1968.01.01	Dél-Afrikai	Dél-Afrika
1990.09.30	Spanyol	Spanyolország
1992.03.22	Mexikói	Mexikó
1960.11.20	USA	USA
2006.05.07	Európa	Németország
1964.09.06	Olasz	Olaszország
1999.06.13	Kanadai	Kanada
1997.06.29	Francia	Franciaország
1997.06.15	Kanadai	Kanada
2005.04.24	San Marinoi	San Marino
2002.09.29	USA	USA
1997.04.13	Argentín	Argentína
1969.03.01	Dél-Afrikai	Dél-Afrika
1974.08.04	Német	Németország
1986.09.07	Olasz	Olaszország
1967.05.07	Monacoi	Monaco
2000.05.21	Európa	Németország
1966.10.23	Mexikói	Mexikó
2000.07.16	Osztrák	Ausztria
1980.08.17	Osztrák	Ausztria
1983.03.13	Brazil	Brazília
1992.10.25	Japán	Japán
2005.05.29	Európa	Németország
1975.05.11	Monacoi	Monaco
2000.04.23	Brit	Nagy-Britannia
1988.06.12	Kanadai	Kanada
1997.07.27	Német	Németország
1979.01.21	Argentín	Argentína
1982.07.03	Holland	Hollandia
1982.04.25	San Marinoi	San Marino
1960.06.19	Belga	Belgium
1982.03.21	Brazil	Brazília
2001.05.13	Osztrák	Ausztria
2000.09.24	USA	USA
1950.06.04	Svájci	Svájc
1983.06.05	USA	USA
1993.05.09	Spanyol	Spanyolország
1967.06.04	Holland	Hollandia
1997.08.10	Magyar	Magyarország
1968.09.08	Olasz	Olaszország
1982.06.13	Kanadai	Kanada
1978.10.08	Kanadai	Kanada
1993.08.29	Belga	Belgium
2001.03.18	Maláj	Malaysia
1963.07.20	Brit	Nagy-Britannia
1988.07.03	Francia	Franciaország
1984.08.05	Német	Németország
1989.05.07	Monacoi	Monaco
1979.07.01	Francia	Franciaország
1977.03.05	Dél-Afrikai	Dél-Afrika
1952.09.07	Olasz	Olaszország
1969.10.19	Mexikói	Mexikó
1966.08.07	Német	Németország
1991.08.25	Belga	Belgium
1988.06.19	USA	USA
1967.08.27	Kanadai	Kanada
1970.08.02	Német	Németország
1971.04.18	Spanyol	Spanyolország
2001.08.19	Magyar	Magyarország
1977.04.03	USA	USA
1995.04.09	Argentín	Argentína
1968.05.12	Spanyol	Spanyolország
1971.09.05	Olasz	Olaszország
1984.05.20	Francia	Franciaország
2003.06.15	Kanadai	Kanada
1961.06.18	Belga	Belgium
1987.09.27	Spanyol	Spanyolország
1988.05.15	Monacoi	Monaco
1985.04.21	Portugál	Portugália
1991.07.07	Francia	Franciaország
1981.06.21	Spanyol	Spanyolország
1991.07.14	Brit	Nagy-Britannia
1959.12.12	USA	USA
1976.09.12	Olasz	Olaszország
1969.07.19	Brit	Nagy-Britannia
1995.03.26	Brazil	Brazília
1957.01.13	Argentín	Argentína
1975.01.12	Argentín	Argentína
1955.01.16	Argentín	Argentína
1997.09.07	Olasz	Olaszország
1962.12.29	Dél-Afrikai	Dél-Afrika
1966.09.04	Olasz	Olaszország
2006.07.16	Francia	Franciaország
1973.06.03	Monacoi	Monaco
1965.07.18	Holland	Hollandia
1988.07.10	Brit	Nagy-Britannia
1991.09.29	Spanyol	Spanyolország
1986.09.21	Portugál	Portugália
1978.07.16	Brit	Nagy-Britannia
1992.05.31	Monacoi	Monaco
1981.03.29	Brazil	Brazília
2003.03.23	Maláj	Malaysia
2004.07.11	Brit	Nagy-Britannia
1996.04.07	Argentín	Argentína
2005.10.16	Kínai	Kína
1963.12.28	Dél-Afrikai	Dél-Afrika
1965.09.12	Olasz	Olaszország
1952.08.17	Holland	Hollandia
1973.05.20	Belga	Belgium
1983.04.17	Francia	Franciaország
1991.04.28	San Marinoi	San Marino
1999.09.12	Olasz	Olaszország
1987.07.12	Brit	Nagy-Britannia
1982.07.18	Brit	Nagy-Britannia
2002.04.28	Spanyol	Spanyolország
1975.04.27	Spanyol	Spanyolország
2006.05.14	Spanyol	Spanyolország
1964.10.25	Mexikói	Mexikó
1968.07.07	Francia	Franciaország
1961.05.14	Monacoi	Monaco
1978.07.30	Német	Németország
1976.08.01	Német	Németország
1995.08.13	Magyar	Magyarország
2000.03.12	Ausztrál	Ausztrália
2003.09.14	Olasz	Olaszország
1966.05.22	Monacoi	Monaco
1981.08.02	Német	Németország
1986.07.27	Német	Németország
1994.05.01	San Marinoi	San Marino
1996.10.13	Japán	Japán
1992.07.05	Francia	Franciaország
1992.04.05	Brazil	Brazília
1981.09.13	Olasz	Olaszország
2002.10.13	Japán	Japán
1957.08.04	Német	Németország
1997.03.09	Ausztrál	Ausztrália
1998.08.30	Belga	Belgium
1962.06.17	Belga	Belgium
1966.06.12	Belga	Belgium
1958.09.07	Olasz	Olaszország
1977.07.31	Német	Németország
1978.08.13	Osztrák	Ausztria
1959.05.30	Indy 500	USA
1987.09.20	Portugál	Portugália
2005.05.22	Monacoi	Monaco
1952.07.06	Francia	Franciaország
1994.09.25	Portugál	Portugália
2005.10.09	Japán	Japán
1973.01.28	Argentín	Argentína
1977.09.11	Olasz	Olaszország
1986.10.12	Mexikói	Mexikó
1951.05.27	Svájci	Svájc
2001.04.01	Brazil	Brazília
1977.08.28	Holland	Hollandia
1995.04.30	San Marinoi	San Marino
1997.03.30	Brazil	Brazília
1951.05.30	Indy 500	USA
2002.06.09	Kanadai	Kanada
1983.03.27	USA	USA
1955.06.19	Holland	Hollandia
1975.08.03	Német	Németország
2003.04.06	Brazil	Brazília
1968.07.20	Brit	Nagy-Britannia
1980.07.13	Brit	Nagy-Britannia
1993.04.25	San Marinoi	San Marino
1978.08.27	Holland	Hollandia
1977.06.05	Belga	Belgium
1984.06.24	USA	USA
1994.05.29	Spanyol	Spanyolország
1977.01.23	Brazil	Brazília
1974.03.30	Dél-Afrikai	Dél-Afrika
1988.07.24	Német	Németország
1979.09.09	Olasz	Olaszország
1994.07.10	Brit	Nagy-Britannia
1961.10.08	USA	USA
1998.07.12	Brit	Nagy-Britannia
1992.07.26	Német	Németország
1984.10.07	Európa	Németország
1990.10.21	Japán	Japán
1950.07.02	Francia	Franciaország
1999.04.11	Brazil	Brazília
1968.09.22	Kanadai	Kanada
1956.05.13	Monacoi	Monaco
1965.10.03	USA	USA
1985.07.21	Brit	Nagy-Britannia
1964.06.14	Belga	Belgium
1979.04.08	USA	USA
1978.03.04	Dél-Afrikai	Dél-Afrika
1969.09.07	Olasz	Olaszország
1994.11.13	Ausztrál	Ausztrália
1976.10.24	Japán	Japán
2002.03.03	Ausztrál	Ausztrália
1967.06.18	Belga	Belgium
1961.07.02	Francia	Franciaország
1995.10.22	Japán	Japán
1992.07.12	Brit	Nagy-Britannia
1966.10.02	USA	USA
1971.07.17	Brit	Nagy-Britannia
1988.08.28	Belga	Belgium
1995.07.16	Brit	Nagy-Britannia
1983.05.15	Monacoi	Monaco
1993.03.28	Brazil	Brazília
1999.08.29	Belga	Belgium
1991.09.22	Portugál	Portugália
1992.05.17	San Marinoi	San Marino
1984.06.17	Kanadai	Kanada
2001.04.15	San Marinoi	San Marino
2002.06.23	Európa	Németország
1951.07.01	Francia	Franciaország
1975.03.01	Dél-Afrikai	Dél-Afrika
1956.08.05	Német	Németország
1963.06.23	Holland	Hollandia
1967.07.02	Francia	Franciaország
1953.09.13	Olasz	Olaszország
1976.03.06	Dél-Afrikai	Dél-Afrika
1996.06.16	Kanadai	Kanada
1997.10.26	Európa	Spanyolország
1991.06.02	Kanadai	Kanada
1973.08.19	Osztrák	Ausztria
2004.10.24	Brazil	Brazília
1951.09.16	Olasz	Olaszország
1984.05.06	San Marinoi	San Marino
1993.04.11	Európa	Nagy-Britannia
1981.10.17	USA	USA
1975.08.17	Osztrák	Ausztria
1954.06.20	Belga	Belgium
1981.05.31	Monacoi	Monaco
1990.09.23	Portugál	Portugália
2004.03.21	Maláj	Malaysia
1991.07.28	Német	Németország
2004.04.25	San Marinoi	San Marino
1968.08.04	Német	Németország
1956.05.30	Indy 500	USA
1994.08.14	Magyar	Magyarország
2001.09.30	USA	USA
1968.05.26	Monacoi	Monaco
2004.03.07	Ausztrál	Ausztrália
2005.03.20	Maláj	Malaysia
1990.05.13	San Marinoi	San Marino
1994.08.28	Belga	Belgium
2005.09.25	Brazil	Brazília
1962.05.20	Holland	Hollandia
1962.08.05	Német	Németország
1975.07.06	Francia	Franciaország
1959.08.23	Portugál	Portugália
1995.09.24	Portugál	Portugália
1982.08.29	Svájci	Franciaország
1959.05.10	Monacoi	Monaco
1960.06.06	Holland	Hollandia
1993.03.14	Dél-Afrikai	Dél-Afrika
1990.03.25	Brazil	Brazília
1968.11.03	Mexikói	Mexikó
2003.05.18	Osztrák	Ausztria
1965.08.01	Német	Németország
1954.05.31	Indy 500	USA
1994.03.27	Brazil	Brazília
2000.05.07	Spanyol	Spanyolország
1980.05.18	Monacoi	Monaco
1962.10.07	USA	USA
1990.05.27	Monacoi	Monaco
1951.06.17	Belga	Belgium
1963.08.04	Német	Németország
1967.01.02	Dél-Afrikai	Dél-Afrika
1968.06.23	Holland	Hollandia
1977.05.22	Monacoi	Monaco
1999.03.07	Ausztrál	Ausztrália
1963.05.26	Monacoi	Monaco
1978.05.21	Belga	Belgium
1989.11.05	Ausztrál	Ausztrália
1993.07.04	Francia	Franciaország
