utazon;irodaazon;uttip;uticel;indulas;napok;ar
62;15;2;"Erdély";2010.2.26;14;310800
63;12;1;"Erdély";2010.10.12;21;386400
64;19;1;"Svájc";2010.2.4;10;195500
65;17;2;"Berlin";2010.12.1;7;114450
66;8;3;"Belgium";2010.1.28;21;422100
67;6;1;"Ausztria";2010.10.16;10;186500
68;13;3;"Dél-Franciaország";2010.4.22;7;108500
69;13;1;"Belgium";2010.10.5;21;487200
70;2;2;"Ausztria";2010.8.13;10;165500
71;17;3;"Prága";2010.10.14;7;160650
72;10;3;"New York";2010.7.18;4;73600
73;12;2;"Horvátország";2010.2.3;10;229000
74;20;2;"Prága";2010.5.1;7;130550
75;14;2;"Finnország";2010.2.15;14;268100
76;11;1;"Ciprus";2010.2.18;7;126000
77;4;3;"Skócia";2010.8.5;10;207000
78;2;1;"Washington";2010.8.21;4;91600
79;7;1;"Párizs";2010.7.2;4;94200
80;10;3;"Törökország";2010.9.6;21;447300
81;18;2;"Cannes";2010.7.3;7;123200
82;10;1;"Málta";2010.9.28;21;428400
83;19;1;"Dublin";2010.8.20;7;110250
84;19;1;"Hollandia";2010.9.30;10;172500
85;11;3;"Észak-Írország";2010.1.1;21;325500
86;4;2;"Marseille";2010.5.5;3;65100
87;18;3;"Berlin";2010.7.22;7;164500
88;1;1;"Lettország";2010.3.2;7;152950
89;16;2;"New York";2010.12.23;3;65850
90;9;2;"New York";2010.8.18;4;88000
91;2;1;"Zürich";2010.11.22;7;125650
92;19;1;"Lettország";2010.11.22;14;324100
93;14;1;"Washington";2010.3.7;7;107100
94;3;2;"Közép-Anglia";2010.5.24;21;333900
95;13;3;"Észak-Írország";2010.2.24;10;185000
96;7;3;"Pisa";2010.3.4;3;48300
97;7;3;"Szófia";2010.8.9;4;78800
98;13;3;"Cannes";2010.3.17;7;158550
99;6;2;"Prága";2010.5.8;4;71200
100;20;1;"Közép-Anglia";2010.7.3;7;125300
101;1;2;"Róma";2010.1.5;7;141050
102;18;2;"Finnország";2010.2.14;7;146300
103;20;2;"Pozsony";2010.9.13;4;67200
104;20;2;"Szlovákia";2010.11.3;7;158200
105;1;3;"Róma";2010.7.19;4;69200
106;4;1;"Lettország";2010.11.17;10;239500
107;3;1;"Pozsony";2010.7.12;7;138250
108;14;1;"Szlovákia";2010.2.3;21;344400
109;1;3;"Manchester";2010.9.25;4;90800
110;12;2;"Manchester";2010.6.15;7;172550
111;10;2;"Finnország";2010.11.3;7;134400
112;15;1;"Szófia";2010.2.14;4;89600
113;12;3;"Monaco";2010.4.4;4;94400
114;9;2;"Szlovákia";2010.9.15;7;141400
115;6;2;"Prága";2010.7.8;3;62550
116;20;3;"Közép-Anglia";2010.2.26;21;333900
117;11;1;"Közép-Anglia";2010.4.29;14;252700
118;17;3;"Dublin";2010.3.28;7;122850
119;1;3;"Lettország";2010.8.27;7;131950
120;13;1;"New York";2010.2.6;4;76200
121;17;2;"Finnország";2010.6.16;14;278600
122;1;1;"Lettország";2010.7.10;10;180000
123;17;2;"Manchester";2010.4.24;7;143500
124;20;2;"Dublin";2010.3.29;7;113400
125;13;1;"Lettország";2010.5.8;7;166950
126;4;3;"Szófia";2010.12.6;4;90200
127;17;2;"Horvátország";2010.4.18;10;215000
128;18;3;"Dublin";2010.3.8;3;55800
129;2;1;"Wales";2010.11.22;14;282100
130;15;3;"Pozsony";2010.1.18;7;115850
131;19;2;"Szófia";2010.11.29;3;62250
132;3;2;"Finnország";2010.12.9;14;275100
133;12;3;"Horvátország";2010.3.3;14;282100
134;15;2;"London";2010.5.5;4;60200
135;3;2;"Belgium";2010.4.3;14;216300
136;2;3;"Berlin";2010.8.7;4;78600
137;14;2;"New York";2010.8.2;7;144900
138;14;3;"Ausztria";2010.8.8;7;122850
139;2;3;"New York";2010.5.19;4;64400
140;2;3;"Róma";2010.1.20;7;147000
141;20;3;"Párizs";2010.4.6;4;78400
142;14;2;"Szófia";2010.2.21;3;69150
143;13;3;"Belgium";2010.11.24;10;214000
144;1;3;"Dél-Franciaország";2010.8.4;14;324100
145;7;2;"Zürich";2010.11.28;3;61200
146;4;3;"Szófia";2010.8.18;3;45450
147;3;1;"Washington";2010.8.25;3;70500
148;15;1;"Szlovákia";2010.3.7;7;123200
149;13;3;"Szlovákia";2010.11.28;10;173500
150;8;1;"Zürich";2010.2.21;4;67600
151;4;1;"Hollandia";2010.6.10;7;158550
152;14;1;"Monaco";2010.12.27;4;91000
153;19;2;"Spanyolország";2010.11.19;14;288400
154;17;3;"Manchester";2010.11.23;4;64000
155;20;2;"Moszkva";2010.4.9;3;67350
156;5;2;"Görögország";2010.8.30;21;403200
157;12;1;"Párizs";2010.5.16;7;147000
158;14;2;"Pisa";2010.5.20;7;137200
159;18;3;"Moszkva";2010.12.18;4;99400
160;7;1;"Spanyolország";2010.4.24;14;343000
161;16;1;"New York";2010.4.13;7;106400
162;10;1;"Velence";2010.6.6;4;77400
163;18;1;"Málta";2010.9.9;7;175000
164;19;3;"Prága";2010.6.5;7;127400
165;3;2;"Varsó";2010.12.16;3;61950
166;10;1;"Törökország";2010.5.10;7;115850
167;2;3;"Marseille";2010.7.2;3;48900
168;11;2;"Málta";2010.9.11;21;354900
169;4;2;"Luxembourg";2010.6.28;4;82200
170;5;1;"Wales";2010.9.28;21;353850
171;7;2;"Szófia";2010.10.20;3;46650
172;12;3;"Szlovénia";2010.8.21;14;270200
173;18;3;"Ausztria";2010.1.15;7;132650
174;1;3;"Párizs";2010.6.6;3;46950
175;11;3;"Hollandia";2010.2.11;14;248500
176;2;2;"Lettország";2010.11.25;21;443100
177;19;2;"Moszkva";2010.7.11;7;108850
178;8;2;"Pisa";2010.11.11;3;68100
179;3;2;"Zürich";2010.7.9;3;63600
180;20;3;"Monaco";2010.10.27;4;79600
181;12;3;"Cannes";2010.12.27;4;83800
182;15;1;"Görögország";2010.2.16;7;121450
183;19;3;"Svájc";2010.3.12;7;157150
184;19;1;"Pisa";2010.7.29;3;61500
185;18;3;"London";2010.12.2;7;150500
186;12;3;"Spanyolország";2010.7.11;14;329700
187;5;3;"Szlovákia";2010.4.27;10;213500
188;8;3;"Görögország";2010.9.21;14;276500
189;6;3;"Észak-Írország";2010.9.3;7;170100
190;7;3;"Cannes";2010.10.13;3;73800
191;11;3;"Belgium";2010.12.24;21;337050
192;9;3;"Málta";2010.4.12;7;149100
193;5;3;"Luxembourg";2010.5.14;7;156100
194;13;1;"Közép-Anglia";2010.1.4;21;389550
195;19;3;"Prága";2010.9.9;3;54150
196;3;3;"Pisa";2010.6.6;7;147700
197;8;2;"Washington";2010.7.10;7;134400
198;17;1;"Skócia";2010.3.26;7;159950
199;13;1;"Ciprus";2010.5.7;14;236600
200;2;3;"Luxembourg";2010.9.24;3;66000
201;8;2;"Közép-Anglia";2010.6.24;14;340900
202;12;3;"Prága";2010.6.14;7;136150
203;13;3;"Róma";2010.4.8;3;47250
204;17;1;"Pisa";2010.10.2;3;56550
205;7;3;"Zürich";2010.10.24;7;127050
206;8;3;"Belgium";2010.12.22;7;139650
207;18;2;"Törökország";2010.4.4;21;329700
208;13;2;"Finnország";2010.1.30;21;496650
209;3;3;"Görögország";2010.11.30;10;165000
210;18;2;"Görögország";2010.7.10;7;142800
211;3;3;"Velence";2010.10.20;3;64350
212;10;2;"Monaco";2010.12.1;7;142100
213;1;1;"Észak-Írország";2010.6.6;21;342300
214;10;1;"Cannes";2010.9.6;7;114450
215;4;2;"Párizs";2010.2.15;7;109900
216;3;2;"Belgium";2010.1.27;7;138600
217;6;1;"Varsó";2010.8.15;4;80400
218;1;3;"Dublin";2010.12.8;4;72200
219;9;2;"Szlovénia";2010.5.29;14;345100
220;5;1;"Közép-Anglia";2010.1.30;7;106400
221;10;1;"Wales";2010.3.28;14;298200
222;18;1;"Málta";2010.11.2;21;316050
223;12;1;"Pozsony";2010.9.9;3;67950
224;18;1;"Prága";2010.9.23;3;49650
225;3;2;"Manchester";2010.4.19;7;133000
226;18;1;"London";2010.8.20;3;64800
227;16;3;"Moszkva";2010.7.14;7;121450
228;8;2;"Szófia";2010.1.17;3;47700
229;1;2;"Észak-Írország";2010.12.9;21;487200
230;10;1;"Marseille";2010.9.9;3;64350
231;10;1;"Erdély";2010.10.12;14;346500
232;8;2;"Luxembourg";2010.4.25;7;156450
233;1;2;"Zürich";2010.6.22;7;137200
234;11;2;"Szlovákia";2010.7.16;7;159250
235;14;1;"Berlin";2010.5.15;7;168350
236;14;2;"Horvátország";2010.12.3;21;360150
237;5;1;"Velence";2010.9.16;7;172900
238;11;3;"Málta";2010.10.19;7;163800
239;11;1;"Ciprus";2010.3.2;21;478800
240;9;1;"Skócia";2010.2.10;14;257600
241;14;3;"Pisa";2010.9.14;4;83200
242;7;2;"Belgium";2010.9.29;7;109900
243;17;1;"Párizs";2010.1.20;7;152250
244;20;2;"Görögország";2010.2.1;7;114100
245;17;1;"Monaco";2010.11.25;4;83600
246;10;3;"Dublin";2010.6.29;3;64350
247;11;2;"London";2010.4.4;4;80000
248;2;2;"Lettország";2010.3.14;21;381150
249;1;3;"Luxembourg";2010.10.10;4;95600
250;18;3;"Erdély";2010.6.15;21;358050
251;6;3;"Finnország";2010.7.28;14;278600
252;10;1;"Málta";2010.11.21;21;486150
253;20;3;"Skócia";2010.6.27;7;135800
254;2;2;"Moszkva";2010.9.13;7;129150
255;15;2;"New York";2010.8.27;7;154700
256;11;3;"Ausztria";2010.9.15;14;247100
257;6;2;"Moszkva";2010.4.24;3;68400
258;20;1;"Varsó";2010.3.2;4;64200
259;5;2;"Wales";2010.3.4;7;143500
260;11;1;"Belgium";2010.7.3;21;420000
261;19;1;"Skócia";2010.12.3;14;284200
262;6;1;"London";2010.5.1;4;79400
263;8;3;"Dél-Franciaország";2010.3.8;10;173500
264;7;2;"Manchester";2010.11.30;4;62000
265;17;2;"Észak-Írország";2010.3.7;7;166950
266;16;3;"Ciprus";2010.8.5;7;170450
267;5;3;"Zürich";2010.3.22;7;126350
268;16;2;"Velence";2010.1.14;7;151550
269;5;2;"Velence";2010.5.30;7;113400
270;5;2;"Velence";2010.3.9;4;94400
271;3;2;"Skócia";2010.6.7;10;165000
272;6;3;"Monaco";2010.3.27;4;91000
273;7;1;"Szófia";2010.1.8;7;111300
274;12;1;"Közép-Anglia";2010.3.2;7;113050
275;20;1;"Berlin";2010.12.25;7;137200
276;4;2;"Finnország";2010.2.4;7;107800
277;15;1;"Manchester";2010.7.22;7;156100
278;10;3;"Monaco";2010.7.16;3;60300
279;18;3;"Belgium";2010.10.20;10;227500
280;9;1;"Észak-Írország";2010.7.17;14;322000
281;6;3;"Pisa";2010.2.20;7;131250
282;9;3;"Törökország";2010.12.10;10;165500
283;17;2;"New York";2010.10.8;7;165550
284;17;1;"Lettország";2010.10.9;21;350700
285;11;2;"Skócia";2010.10.10;10;241000
286;10;2;"Velence";2010.3.10;7;145950
287;1;3;"Washington";2010.3.30;7;123200
288;18;2;"Észak-Írország";2010.5.28;14;333200
289;12;1;"Spanyolország";2010.11.5;21;423150
290;1;3;"Zürich";2010.2.4;4;81000
291;4;3;"Görögország";2010.1.1;7;165900
292;8;3;"Prága";2010.5.11;7;109900
293;5;3;"Washington";2010.5.9;4;76200
294;6;3;"Párizs";2010.7.29;3;58350
295;3;3;"Finnország";2010.9.20;7;107450
296;15;3;"Ausztria";2010.5.8;14;243600
297;7;3;"Washington";2010.3.1;3;73950
298;17;2;"Ausztria";2010.2.27;21;365400
299;14;1;"Monaco";2010.3.16;3;54900
300;17;2;"Cannes";2010.12.19;4;68800
