munkaazon;megrendeloazon;mtazon;megrenddatum;teljdatum;munkadij;garancia
99;164;153;2009.01.28;2009.02.16;6000;2
100;235;304;2009.02.01;2009.02.15;71000;1
101;99;117;2009.02.01;2009.02.04;9000;2
102;254;201;2009.02.02;2009.02.14;81000;1
103;5;88;2009.02.02;2009.02.05;36000;2
104;240;162;2009.02.02;2009.02.15;26000;1
105;88;288;2009.02.03;2009.02.09;51000;3
106;51;202;2009.02.03;2009.02.22;41000;3
107;211;329;2009.02.03;2009.02.08;28000;1
108;14;153;2009.02.04;2009.02.06;62000;2
109;257;299;2009.02.04;2009.03.04;68000;2
110;256;302;2009.02.04;2009.02.12;57000;1
111;209;55;2009.02.04;2009.02.14;36000;1
112;33;298;2009.02.05;2009.02.24;74000;2
113;236;281;2009.02.06;2009.03.01;26000;2
114;289;212;2009.02.06;2009.02.07;18000;3
115;275;156;2009.02.06;2009.02.10;49000;3
116;5;242;2009.02.07;2009.02.15;54000;1
117;173;126;2009.02.08;2009.02.24;47000;3
118;95;27;2009.02.09;2009.02.15;32000;2
119;297;30;2009.02.09;2009.02.12;36000;3
120;215;31;2009.02.09;2009.03.05;39000;2
121;276;231;2009.02.09;2009.02.22;64000;3
122;36;18;2009.02.10;2009.02.27;76000;3
123;92;243;2009.02.10;2009.02.23;3000;1
124;264;282;2009.02.11;2009.03.01;60000;3
125;127;297;2009.02.11;2009.02.21;64000;1
126;272;172;2009.02.11;2009.02.19;49000;3
127;98;176;2009.02.12;2009.03.14;34000;1
128;261;65;2009.02.12;2009.02.22;95000;1
129;155;244;2009.02.12;2009.02.15;44000;3
130;197;151;2009.02.12;2009.02.26;20000;3
131;66;180;2009.02.12;2009.02.17;50000;2
132;15;308;2009.02.13;2009.02.27;18000;1
133;215;197;2009.02.13;2009.03.05;58000;2
134;50;27;2009.02.13;2009.02.24;78000;1
135;189;67;2009.02.13;2009.02.26;52000;3
136;76;149;2009.02.13;2009.03.14;45000;2
137;11;217;2009.02.13;2009.02.27;68000;2
138;212;67;2009.02.14;2009.03.14;83000;1
139;239;75;2009.02.14;2009.02.17;76000;1
140;179;168;2009.02.14;2009.03.13;90000;1
141;204;111;2009.02.15;2009.03.09;95000;2
142;277;274;2009.02.17;2009.02.25;14000;3
143;258;215;2009.02.17;2009.02.18;38000;2
144;143;272;2009.02.17;2009.03.04;12000;2
145;20;13;2009.02.18;2009.03.03;67000;2
146;290;10;2009.02.19;2009.03.13;21000;3
147;135;40;2009.02.19;2009.03.11;89000;1
148;248;36;2009.02.19;2009.03.20;64000;3
149;276;30;2009.02.20;2009.03.05;68000;2
150;262;86;2009.02.20;2009.02.24;75000;3
151;149;205;2009.02.21;2009.02.27;62000;2
152;193;154;2009.02.21;2009.03.01;47000;3
153;254;306;2009.02.22;2009.03.22;92000;3
154;67;169;2009.02.22;2009.03.20;15000;3
155;101;23;2009.02.22;2009.03.17;25000;2
156;223;237;2009.02.23;2009.03.25;54000;3
157;281;162;2009.02.23;2009.03.22;91000;2
158;5;26;2009.02.23;2009.03.23;5000;1
159;7;220;2009.02.24;2009.02.25;24000;1
160;237;91;2009.02.24;2009.03.24;26000;3
161;233;32;2009.02.26;2009.03.10;23000;2
162;245;163;2009.02.26;2009.03.01;73000;2
163;266;317;2009.02.26;2009.03.12;43000;3
164;165;64;2009.02.26;2009.03.17;97000;3
165;187;86;2009.02.27;2009.03.23;6000;3
166;52;173;2009.02.27;2009.03.19;73000;2
167;129;195;2009.02.27;2009.03.13;45000;1
168;124;112;2009.02.27;2009.03.23;49000;1
169;260;302;2009.02.27;2009.03.24;64000;3
170;59;231;2009.02.28;2009.03.24;26000;2
171;94;31;2009.02.28;2009.03.26;28000;1
172;47;320;2009.02.28;2009.03.23;57000;3
173;225;277;2009.02.28;2009.03.23;79000;3
174;153;290;2009.03.01;2009.03.28;74000;1
175;223;325;2009.03.02;2009.03.12;72000;2
176;284;141;2009.03.02;2009.03.12;42000;3
177;87;148;2009.03.02;2009.03.24;42000;3
178;109;46;2009.03.02;2009.03.12;30000;2
179;19;317;2009.03.04;2009.03.11;90000;3
180;196;96;2009.03.04;2009.03.19;20000;3
181;148;236;2009.03.05;2009.03.25;100000;2
182;7;1;2009.03.05;2009.03.12;27000;3
183;152;215;2009.03.05;2009.04.01;77000;2
184;92;173;2009.03.05;2009.03.28;54000;3
185;249;95;2009.03.05;2009.03.10;11000;3
186;124;242;2009.03.05;2009.03.06;68000;2
187;110;125;2009.03.06;2009.03.30;63000;1
188;262;334;2009.03.06;2009.03.08;1000;2
189;273;25;2009.03.06;2009.03.11;87000;3
190;7;313;2009.03.07;2009.03.26;76000;3
191;77;70;2009.03.08;2009.03.26;59000;3
192;98;102;2009.03.08;2009.03.22;62000;2
193;135;292;2009.03.09;2009.03.20;50000;2
194;5;204;2009.03.10;2009.03.27;45000;3
195;216;109;2009.03.10;2009.03.23;8000;1
196;249;262;2009.03.11;2009.04.01;36000;1
197;138;92;2009.03.11;2009.03.21;79000;1
198;194;52;2009.03.12;2009.04.05;90000;1
199;19;186;2009.03.12;2009.03.27;39000;1
200;97;232;2009.03.12;2009.03.26;65000;2
201;216;340;2009.03.13;2009.04.03;62000;1
202;271;279;2009.03.14;2009.03.25;94000;1
203;118;79;2009.03.14;2009.04.07;9000;1
204;73;280;2009.03.14;2009.04.08;89000;2
205;143;84;2009.03.15;2009.03.16;43000;3
206;115;107;2009.03.15;2009.03.19;63000;3
207;2;99;2009.03.15;2009.04.03;64000;3
208;165;84;2009.03.15;2009.03.21;89000;2
209;113;143;2009.03.16;2009.03.28;76000;1
210;128;245;2009.03.16;2009.04.06;71000;1
211;270;189;2009.03.16;2009.04.08;76000;1
212;8;95;2009.03.17;2009.03.27;47000;3
213;208;34;2009.03.17;2009.04.11;70000;2
214;158;208;2009.03.17;2009.04.07;15000;3
215;202;115;2009.03.17;2009.04.02;6000;3
216;217;269;2009.03.17;2009.04.12;85000;2
217;232;77;2009.03.17;2009.03.23;45000;2
218;289;162;2009.03.19;2009.04.09;58000;1
219;163;90;2009.03.19;2009.04.15;44000;3
220;241;245;2009.03.19;2009.03.28;24000;3
221;221;193;2009.03.19;2009.03.21;76000;2
222;211;109;2009.03.19;2009.03.31;89000;1
223;207;121;2009.03.19;2009.03.24;64000;1
224;151;278;2009.03.20;2009.04.03;28000;1
225;129;142;2009.03.20;2009.03.25;48000;2
226;154;201;2009.03.21;2009.04.14;62000;3
227;260;118;2009.03.21;2009.04.09;72000;2
228;126;234;2009.03.22;2009.03.27;57000;3
229;187;183;2009.03.22;2009.03.30;2000;3
230;114;101;2009.03.22;2009.04.13;54000;1
231;56;93;2009.03.23;2009.04.16;58000;2
232;5;10;2009.03.23;2009.04.20;18000;3
233;145;130;2009.03.23;2009.04.17;88000;2
234;39;136;2009.03.23;2009.03.28;13000;2
235;62;102;2009.03.23;2009.04.15;45000;2
236;118;59;2009.03.24;2009.04.04;10000;1
237;78;180;2009.03.24;2009.03.25;13000;2
238;100;161;2009.03.24;2009.04.04;6000;1
239;87;269;2009.03.24;2009.03.27;38000;3
240;95;283;2009.03.25;2009.04.02;80000;3
241;69;137;2009.03.25;2009.04.01;94000;1
242;132;192;2009.03.25;2009.04.20;69000;1
243;43;220;2009.03.25;2009.04.10;74000;3
244;138;42;2009.03.25;2009.04.03;70000;3
245;277;70;2009.03.27;2009.04.14;2000;2
246;54;123;2009.03.28;2009.04.07;62000;3
247;199;297;2009.03.28;2009.04.22;74000;1
248;280;284;2009.04.01;2009.04.09;65000;2
249;176;50;2009.04.01;2009.04.21;19000;1
250;52;194;2009.04.01;2009.04.25;12000;3
251;10;143;2009.04.02;2009.04.24;92000;2
252;20;319;2009.04.02;2009.04.13;49000;1
253;247;296;2009.04.03;2009.04.14;83000;3
254;256;189;2009.04.03;2009.04.24;67000;3
255;295;84;2009.04.03;2009.04.24;64000;3
256;109;120;2009.04.03;2009.04.08;49000;1
257;189;59;2009.04.03;2009.04.23;42000;3
258;183;80;2009.04.04;2009.04.14;47000;3
259;146;227;2009.04.04;2009.04.23;59000;1
260;251;329;2009.04.04;2009.04.06;87000;1
261;159;328;2009.04.04;2009.04.17;99000;2
262;44;75;2009.04.05;2009.04.25;91000;1
263;136;309;2009.04.06;2009.04.28;30000;1
264;153;307;2009.04.06;2009.04.08;31000;2
265;22;150;2009.04.06;2009.04.21;66000;1
266;41;70;2009.04.06;2009.04.08;7000;2
267;269;325;2009.04.06;2009.04.30;61000;3
268;42;7;2009.04.07;2009.04.27;46000;3
269;151;195;2009.04.07;2009.04.09;14000;1
270;41;206;2009.04.09;2009.05.01;27000;3
271;78;209;2009.04.09;2009.05.02;19000;2
272;82;238;2009.04.09;2009.05.06;38000;1
273;225;267;2009.04.09;2009.05.04;21000;3
274;206;154;2009.04.10;2009.04.30;49000;3
275;277;293;2009.04.10;2009.05.09;6000;3
276;150;289;2009.04.10;2009.05.01;13000;2
277;181;314;2009.04.11;2009.04.15;21000;1
278;225;181;2009.04.12;2009.05.09;94000;2
279;40;135;2009.04.12;2009.04.18;5000;2
280;292;57;2009.04.13;2009.05.06;19000;1
281;52;151;2009.04.13;2009.05.01;58000;2
282;92;264;2009.04.14;2009.04.17;53000;3
283;291;165;2009.04.14;2009.05.01;31000;1
284;55;228;2009.04.14;2009.05.13;2000;3
285;175;299;2009.04.14;2009.04.27;35000;2
286;77;308;2009.04.14;2009.05.10;37000;2
287;239;14;2009.04.15;2009.05.08;83000;3
288;276;148;2009.04.15;2009.05.12;50000;3
289;285;183;2009.04.16;2009.05.16;58000;1
290;175;106;2009.04.16;2009.04.30;27000;3
291;219;319;2009.04.17;2009.05.06;94000;2
292;189;219;2009.04.17;2009.04.28;50000;2
293;173;153;2009.04.17;2009.04.30;96000;1
294;217;70;2009.04.17;2009.04.21;25000;1
295;157;207;2009.04.18;2009.05.09;77000;2
296;254;282;2009.04.18;2009.04.26;32000;2
297;114;198;2009.04.18;2009.04.26;23000;3
298;64;4;2009.04.19;2009.04.20;2000;1
299;192;289;2009.04.19;2009.04.26;80000;2
300;5;134;2009.04.19;2009.04.25;21000;1
301;186;95;2009.04.19;2009.05.10;72000;2
302;171;338;2009.04.19;2009.05.08;52000;2
303;171;312;2009.04.19;2009.04.24;34000;1
304;135;129;2009.04.19;2009.04.20;89000;3
305;255;333;2009.04.21;2009.04.28;82000;2
306;136;55;2009.04.21;2009.05.14;35000;1
307;126;291;2009.04.21;2009.05.13;100000;3
308;202;165;2009.04.22;2009.05.18;2000;2
309;40;53;2009.04.22;2009.05.20;52000;1
310;11;138;2009.04.22;2009.05.10;36000;3
311;216;21;2009.04.22;2009.05.20;25000;2
312;262;110;2009.04.23;2009.05.13;72000;3
313;130;180;2009.04.23;2009.05.13;88000;1
314;193;299;2009.04.23;2009.04.28;8000;1
315;163;42;2009.04.23;2009.04.29;87000;2
316;207;321;2009.04.24;2009.05.05;6000;2
317;124;173;2009.04.24;2009.05.06;54000;1
318;203;223;2009.04.24;2009.05.23;23000;3
319;233;303;2009.04.25;2009.05.05;48000;2
320;69;203;2009.04.25;2009.05.21;57000;1
321;94;310;2009.04.25;2009.05.09;21000;1
322;212;205;2009.04.25;2009.04.28;26000;2
323;227;279;2009.04.26;2009.05.04;2000;2
324;98;255;2009.04.26;2009.05.22;72000;1
325;55;308;2009.04.27;2009.04.28;18000;1
326;269;182;2009.04.27;2009.05.25;81000;3
327;18;180;2009.04.28;2009.05.28;26000;3
328;20;117;2009.04.28;2009.05.02;43000;3
329;97;72;2009.05.01;2009.05.03;83000;1
330;192;205;2009.05.01;2009.05.23;23000;2
331;173;217;2009.05.01;2009.05.07;30000;2
332;162;111;2009.05.01;2009.05.23;61000;2
333;6;189;2009.05.01;2009.05.17;10000;1
334;128;314;2009.05.02;2009.05.21;5000;1
335;264;291;2009.05.02;2009.05.13;5000;1
336;265;138;2009.05.02;2009.05.18;57000;1
337;133;132;2009.05.03;2009.05.18;2000;1
338;5;163;2009.05.04;2009.05.28;53000;2
339;231;97;2009.05.04;2009.05.11;79000;1
340;155;22;2009.05.04;2009.05.15;62000;2
341;271;276;2009.05.04;2009.05.08;21000;1
342;240;89;2009.05.04;2009.05.06;13000;1
343;33;9;2009.05.06;2009.05.19;59000;3
344;198;283;2009.05.06;2009.05.14;49000;1
345;86;273;2009.05.07;2009.05.09;34000;2
346;144;223;2009.05.07;2009.05.10;100000;3
347;265;334;2009.05.07;2009.06.04;85000;2
348;39;271;2009.05.08;2009.05.25;88000;1
349;217;225;2009.05.08;2009.05.28;67000;1
350;272;28;2009.05.09;2009.06.03;50000;3
351;176;325;2009.05.09;2009.05.18;83000;1
352;91;126;2009.05.09;2009.05.29;94000;3
353;182;240;2009.05.10;2009.05.21;55000;1
354;83;302;2009.05.10;2009.05.22;70000;2
355;217;328;2009.05.10;2009.05.24;9000;2
356;134;106;2009.05.11;2009.05.26;76000;1
357;220;81;2009.05.11;2009.05.28;89000;2
358;137;167;2009.05.12;2009.05.22;85000;3
359;210;281;2009.05.12;2009.05.25;1000;2
360;54;332;2009.05.12;2009.05.14;92000;2
361;241;250;2009.05.12;2009.05.16;70000;3
362;210;258;2009.05.13;2009.05.31;93000;3
363;259;334;2009.05.14;2009.06.03;33000;1
364;79;290;2009.05.15;2009.05.22;90000;1
365;30;106;2009.05.16;2009.06.15;54000;2
366;144;228;2009.05.16;2009.05.24;12000;1
367;253;199;2009.05.16;2009.05.18;60000;2
368;182;105;2009.05.16;2009.06.09;69000;3
369;126;142;2009.05.17;2009.06.11;7000;2
370;195;61;2009.05.17;2009.05.21;28000;2
371;44;275;2009.05.18;2009.05.26;69000;1
372;166;210;2009.05.19;2009.05.29;18000;2
373;104;271;2009.05.19;2009.05.28;52000;2
374;251;130;2009.05.19;2009.06.10;50000;3
375;278;151;2009.05.19;2009.06.10;31000;1
376;110;76;2009.05.19;2009.06.07;75000;3
377;188;230;2009.05.20;2009.06.14;19000;3
378;27;302;2009.05.21;2009.06.06;56000;1
379;49;246;2009.05.21;2009.06.09;51000;2
380;5;86;2009.05.21;2009.06.15;71000;3
381;276;83;2009.05.21;2009.06.01;98000;2
382;219;160;2009.05.21;2009.06.08;43000;3
383;262;132;2009.05.22;2009.05.30;13000;3
384;55;97;2009.05.22;2009.06.02;85000;3
385;223;110;2009.05.23;2009.06.20;86000;1
386;166;323;2009.05.23;2009.05.29;82000;2
387;236;9;2009.05.23;2009.05.28;38000;3
388;159;123;2009.05.23;2009.06.01;89000;1
389;197;119;2009.05.23;2009.06.21;36000;3
390;53;119;2009.05.26;2009.06.24;61000;2
391;38;223;2009.05.26;2009.06.14;27000;3
392;69;89;2009.05.26;2009.05.27;1000;1
393;220;190;2009.05.27;2009.06.11;10000;3
394;202;90;2009.05.27;2009.06.22;40000;1
395;199;182;2009.05.27;2009.06.19;16000;1
396;209;340;2009.05.28;2009.06.21;34000;1
397;80;152;2009.05.28;2009.06.14;29000;1
398;154;176;2009.06.01;2009.06.16;98000;1
399;39;89;2009.06.01;2009.06.21;22000;3
400;194;210;2009.06.01;2009.06.26;47000;2
401;208;162;2009.06.01;2009.06.04;20000;2
402;193;17;2009.06.01;2009.06.21;85000;2
403;206;27;2009.06.02;2009.06.17;94000;1
404;96;60;2009.06.02;2009.06.29;94000;1
405;254;5;2009.06.02;2009.06.08;70000;3
406;277;17;2009.06.03;2009.06.05;72000;2
407;256;162;2009.06.03;2009.06.23;68000;1
408;7;10;2009.06.03;2009.06.14;74000;1
409;111;189;2009.06.04;2009.06.11;70000;3
410;224;122;2009.06.04;2009.06.06;99000;1
411;157;1;2009.06.04;2009.06.15;8000;3
412;265;119;2009.06.04;2009.06.05;82000;2
413;125;55;2009.06.04;2009.06.13;73000;2
414;275;34;2009.06.04;2009.06.28;28000;1
415;92;118;2009.06.04;2009.06.06;63000;1
416;265;297;2009.06.04;2009.06.23;58000;1
417;190;59;2009.06.05;2009.06.27;38000;2
418;250;194;2009.06.05;2009.06.28;89000;3
419;33;227;2009.06.05;2009.07.03;16000;3
420;33;318;2009.06.05;2009.06.23;36000;1
421;105;51;2009.06.05;2009.07.03;82000;3
422;248;134;2009.06.05;2009.06.24;35000;2
423;289;60;2009.06.06;2009.06.28;30000;2
424;74;246;2009.06.06;2009.06.14;97000;1
425;6;31;2009.06.06;2009.06.21;28000;2
426;252;305;2009.06.07;2009.07.01;86000;2
427;41;325;2009.06.09;2009.07.03;3000;3
428;117;273;2009.06.10;2009.07.08;18000;1
429;277;297;2009.06.10;2009.07.03;60000;1
430;93;254;2009.06.10;2009.07.07;87000;3
431;111;14;2009.06.10;2009.06.27;16000;1
432;12;295;2009.06.10;2009.06.14;19000;2
433;53;329;2009.06.10;2009.06.18;68000;2
434;85;295;2009.06.11;2009.07.07;48000;3
435;169;256;2009.06.11;2009.06.21;80000;1
436;103;262;2009.06.12;2009.07.08;17000;1
437;247;127;2009.06.12;2009.06.22;100000;1
438;253;185;2009.06.12;2009.06.30;3000;1
439;161;94;2009.06.12;2009.06.26;93000;3
440;196;267;2009.06.12;2009.06.14;73000;2
441;125;287;2009.06.12;2009.06.25;11000;2
442;222;288;2009.06.12;2009.06.23;55000;3
443;41;161;2009.06.12;2009.07.03;81000;3
444;84;39;2009.06.12;2009.07.12;45000;2
445;182;110;2009.06.13;2009.06.16;17000;2
446;80;85;2009.06.13;2009.06.21;28000;3
447;158;335;2009.06.14;2009.06.24;58000;3
448;139;226;2009.06.14;2009.06.27;35000;2
449;55;224;2009.06.14;2009.06.30;37000;2
450;119;181;2009.06.14;2009.06.25;15000;2
451;248;184;2009.06.15;2009.06.20;66000;2
452;212;20;2009.06.16;2009.06.27;40000;1
453;65;185;2009.06.16;2009.06.22;52000;2
454;63;309;2009.06.16;2009.06.22;30000;2
455;269;185;2009.06.16;2009.06.26;34000;1
456;78;306;2009.06.17;2009.07.12;5000;3
457;166;251;2009.06.17;2009.07.08;49000;3
458;146;149;2009.06.17;2009.07.17;59000;1
459;126;304;2009.06.17;2009.06.28;20000;3
460;258;98;2009.06.17;2009.07.09;66000;2
461;149;169;2009.06.17;2009.06.23;72000;2
462;193;218;2009.06.18;2009.07.17;5000;2
463;72;27;2009.06.19;2009.07.12;68000;3
464;240;199;2009.06.19;2009.07.17;8000;1
465;228;101;2009.06.20;2009.07.18;74000;3
466;251;141;2009.06.20;2009.07.14;43000;3
467;277;166;2009.06.21;2009.07.09;52000;3
468;48;147;2009.06.21;2009.06.28;10000;1
469;205;265;2009.06.21;2009.07.10;67000;1
470;114;50;2009.06.21;2009.07.09;70000;3
471;189;340;2009.06.22;2009.07.10;32000;1
472;92;5;2009.06.22;2009.07.20;95000;1
473;201;322;2009.06.22;2009.07.14;68000;2
474;107;46;2009.06.22;2009.07.07;50000;1
475;43;271;2009.06.23;2009.06.25;97000;1
476;214;197;2009.06.23;2009.07.04;85000;2
477;270;215;2009.06.23;2009.07.10;54000;3
478;162;70;2009.06.24;2009.07.06;70000;2
479;61;158;2009.06.25;2009.07.06;23000;2
480;278;65;2009.06.25;2009.07.14;42000;1
481;87;64;2009.06.25;2009.07.04;8000;2
482;156;208;2009.06.26;2009.07.02;85000;3
483;37;103;2009.06.27;2009.07.02;15000;1
484;259;261;2009.06.27;2009.07.22;28000;3
485;199;150;2009.06.27;2009.07.13;72000;2
486;27;59;2009.06.27;2009.07.19;74000;2
487;171;310;2009.06.28;2009.07.07;64000;1
488;91;109;2009.06.28;2009.07.14;49000;1
489;78;307;2009.07.01;2009.07.24;97000;3
490;265;228;2009.07.01;2009.07.17;81000;1
491;206;4;2009.07.02;2009.08.01;91000;1
492;194;167;2009.07.02;2009.07.18;4000;3
493;113;75;2009.07.02;2009.07.30;90000;3
494;92;163;2009.07.02;2009.07.20;76000;3
495;115;182;2009.07.02;2009.07.26;2000;3
496;293;104;2009.07.03;2009.07.06;40000;1
497;111;298;2009.07.03;2009.08.02;65000;2
498;179;160;2009.07.04;2009.07.12;95000;1
499;278;320;2009.07.05;2009.07.08;34000;1
500;88;66;2009.07.05;2009.07.31;99000;1
501;247;47;2009.07.06;2009.07.08;97000;1
502;92;48;2009.07.07;2009.08.05;96000;3
503;238;273;2009.07.07;2009.07.16;9000;1
504;1;87;2009.07.08;2009.07.09;67000;2
505;15;94;2009.07.08;2009.07.22;65000;1
506;259;2;2009.07.08;2009.07.28;7000;3
507;211;213;2009.07.09;2009.07.10;80000;3
508;219;264;2009.07.09;2009.07.13;26000;1
509;213;339;2009.07.10;2009.07.19;9000;2
510;159;84;2009.07.10;2009.07.14;77000;1
511;294;319;2009.07.10;2009.07.23;83000;2
512;99;336;2009.07.10;2009.07.16;5000;3
513;258;56;2009.07.11;2009.08.08;75000;1
514;146;202;2009.07.11;2009.08.10;25000;1
515;40;208;2009.07.11;2009.08.03;87000;2
516;35;30;2009.07.12;2009.07.31;25000;1
517;32;252;2009.07.12;2009.08.10;68000;1
518;77;158;2009.07.13;2009.07.31;89000;1
519;191;149;2009.07.13;2009.08.08;45000;2
520;121;175;2009.07.13;2009.07.15;54000;1
521;10;338;2009.07.13;2009.07.20;99000;3
522;99;127;2009.07.14;2009.08.12;80000;3
523;28;328;2009.07.14;2009.08.04;42000;1
524;85;149;2009.07.14;2009.07.24;56000;3
525;289;324;2009.07.14;2009.08.01;39000;1
526;22;185;2009.07.15;2009.07.30;26000;2
527;140;192;2009.07.15;2009.07.29;44000;3
528;181;189;2009.07.15;2009.08.14;40000;2
529;267;36;2009.07.15;2009.08.03;65000;3
530;251;279;2009.07.16;2009.07.26;28000;1
531;220;261;2009.07.16;2009.07.21;52000;2
532;84;29;2009.07.16;2009.07.30;9000;3
533;198;122;2009.07.16;2009.08.01;13000;3
534;122;274;2009.07.16;2009.07.27;7000;3
535;204;286;2009.07.16;2009.07.21;51000;1
536;230;12;2009.07.16;2009.08.07;12000;2
537;134;79;2009.07.17;2009.07.31;27000;3
538;167;82;2009.07.17;2009.07.25;52000;2
539;294;209;2009.07.18;2009.07.28;55000;2
540;257;250;2009.07.18;2009.08.04;95000;1
541;132;110;2009.07.18;2009.08.12;8000;3
542;6;223;2009.07.18;2009.08.10;76000;1
543;159;191;2009.07.18;2009.08.16;63000;2
544;205;197;2009.07.18;2009.08.15;47000;1
545;244;340;2009.07.18;2009.08.08;64000;2
546;173;87;2009.07.19;2009.08.07;59000;3
547;7;41;2009.07.19;2009.08.03;8000;3
548;292;19;2009.07.19;2009.08.08;54000;3
549;279;121;2009.07.20;2009.07.22;62000;3
550;145;24;2009.07.20;2009.08.12;2000;3
551;227;95;2009.07.20;2009.07.28;3000;3
552;179;5;2009.07.21;2009.08.05;46000;1
553;233;142;2009.07.21;2009.08.20;78000;3
554;27;112;2009.07.21;2009.07.25;78000;3
555;234;139;2009.07.21;2009.08.04;97000;1
556;87;57;2009.07.22;2009.08.20;48000;2
