datum	celaz	szamlaaz	osszeg
2008.01.08	7	276	18
2008.01.08	7	278	1
2008.01.08	6	279	23
2008.01.08	7	282	69
2008.01.08	7	284	74
2008.01.08	1	286	22
2008.01.08	6	288	46
2008.01.08	7	289	17
2008.01.08	1	292	15
2008.01.08	6	296	77
2008.01.08	6	298	54
2008.01.08	7	300	15
2008.01.08	6	301	40
2008.01.08	7	302	67
2008.01.08	7	305	47
2008.01.08	6	306	63
2008.01.08	7	309	50
2008.01.08	1	313	45
2008.01.08	7	314	24
2008.01.08	7	316	15
2008.01.08	6	318	22
2008.01.08	7	319	50
2008.01.08	7	321	84
2008.01.08	6	322	15
2008.01.08	7	323	22
2008.01.08	1	324	44
2008.01.08	1	328	30
2008.01.08	7	331	65
2008.01.08	1	335	84
2008.01.08	7	338	71
2008.01.08	6	341	30
2008.01.08	6	345	35
2008.01.08	7	349	32
2008.01.08	1	353	17
2008.01.08	7	355	74
2008.01.08	7	357	39
2008.01.08	1	361	31
2008.01.08	1	363	29
2008.01.08	7	364	36
2008.01.08	7	367	77
2008.01.08	7	371	78
2008.01.08	6	375	60
2008.01.08	1	379	28
2008.01.08	7	382	25
2008.01.08	6	383	78
2008.01.08	6	386	25
2008.01.08	7	390	23
2008.01.08	7	394	57
2008.01.08	7	396	31
2008.01.08	7	397	24
2008.01.08	7	398	74
2008.01.08	6	399	99
2008.01.08	7	403	32
2008.01.08	7	405	58
2008.01.08	6	406	6
2008.01.08	6	409	75
2008.01.08	6	410	85
2008.01.08	6	414	26
2008.01.08	7	416	31
2008.01.08	7	420	42
2008.01.08	1	424	23
2008.01.08	6	425	29
2008.01.08	6	429	36
2008.01.08	7	432	30
2008.01.08	7	434	23
2008.01.08	7	435	65
2008.01.08	7	437	13
2008.01.08	6	438	9
2008.01.08	7	439	51
2008.01.08	7	442	37
2008.01.08	6	446	98
2008.01.08	7	447	23
2008.01.08	6	448	42
2008.01.08	7	451	42
2008.01.08	7	454	57
2008.01.08	1	458	70
2008.01.08	1	459	18
2008.01.08	7	461	82
2008.01.08	6	463	49
2008.01.08	6	467	52
2008.01.08	1	468	77
2008.01.08	6	471	56
2008.01.08	1	472	26
2008.01.08	1	476	69
2008.01.08	7	477	21
2008.01.08	7	479	65
2008.01.08	7	480	37
2008.01.08	6	481	20
2008.01.08	7	483	49
2008.01.08	6	487	5
2008.01.08	6	488	16
2008.01.08	1	489	3
2008.01.08	7	492	62
2008.01.08	7	496	85
2008.01.08	1	497	13
2008.01.08	6	500	13
2008.01.08	7	501	59
2008.01.08	7	503	97
2008.01.08	7	505	76
2008.01.08	6	509	79
2008.01.08	7	512	40
2008.01.08	7	515	44
2008.01.08	7	518	13
2008.01.08	7	521	67
2008.01.08	7	522	6
2008.01.08	7	525	13
2008.01.08	7	526	58
2008.01.08	7	527	90
2008.01.08	1	531	56
2008.01.08	1	535	40
2008.01.08	6	538	37
2008.01.08	7	542	47
2008.01.08	1	545	90
2008.01.08	1	549	89
2008.01.08	6	550	77
2008.01.08	7	553	39
2008.01.08	6	556	10
2008.01.08	7	558	72
2008.01.08	6	562	31
2008.01.08	6	565	65
2008.01.08	6	568	13
2008.01.08	7	571	90
2008.01.08	1	574	34
2008.01.08	6	576	25
2008.01.08	7	579	1
2008.01.08	1	581	43
2008.01.08	1	583	88
2008.01.08	7	586	20
2008.01.08	7	590	72
2008.01.08	1	594	30
2008.01.08	1	596	28
2008.01.08	1	599	49
2008.01.08	1	600	29
2008.01.08	7	604	51
2008.01.08	6	606	51
2008.01.08	7	607	13
2008.01.08	7	609	35
2008.01.08	7	611	7
2008.01.08	6	614	59
2008.01.08	7	615	11
2008.01.08	7	619	94
2008.01.08	7	622	96
2008.01.08	6	626	26
2008.01.08	6	630	21
2008.01.08	1	632	5
2008.01.08	7	634	11
2008.01.08	7	635	28
2008.01.08	7	636	9
2008.01.08	7	637	98
2008.01.08	6	640	80
2008.01.08	7	643	89
2008.01.08	6	644	10
2008.01.08	1	647	76
2008.01.08	7	650	73
2008.01.08	7	651	35
2008.01.08	7	654	45
2008.01.08	7	657	39
2008.01.08	7	658	1
2008.01.08	1	661	64
2008.01.08	6	664	15
2008.01.08	1	666	86
2008.01.08	7	667	31
2008.01.08	6	669	78
2008.01.08	7	671	10
2008.01.08	7	673	18
2008.01.08	7	677	59
2008.01.08	7	679	77
2008.01.08	7	682	29
2008.01.08	1	685	33
2008.01.08	1	686	89
2008.01.08	1	687	60
2008.01.08	1	689	30
2008.01.08	7	693	34
2008.01.08	7	694	54
2008.01.08	6	695	28
2008.01.08	1	699	19
2008.01.08	6	700	18
2008.01.08	6	703	54
2008.01.08	7	704	79
2008.01.08	6	708	39
2008.01.08	7	710	86
2008.01.08	6	713	87
2008.01.08	1	715	16
2008.01.08	6	718	55
2008.01.08	7	722	40
2008.01.08	7	724	56
2008.01.08	7	727	36
2008.01.08	7	731	65
2008.01.08	6	733	39
2008.01.08	7	736	58
2008.01.08	1	737	41
2008.01.08	1	740	10
2008.01.08	1	741	99
2008.01.08	7	744	94
2008.01.08	7	746	30
2008.01.08	7	747	88
2008.01.08	7	751	7
2008.01.08	7	752	66
2008.01.08	1	753	4
2008.01.08	7	754	3
2008.01.08	7	757	96
2008.01.08	1	758	72
2008.01.08	7	761	31
2008.01.08	6	764	50
2008.01.08	7	767	72
2008.01.08	6	770	12
2008.01.08	6	772	4
2008.01.08	7	776	32
2008.01.08	6	779	16
2008.01.08	1	783	86
2008.01.08	1	785	15
2008.01.08	6	788	49
2008.01.08	6	792	75
2008.01.08	6	796	94
2008.01.08	7	797	42
2008.01.08	6	798	99
2008.01.08	6	799	2
2008.01.08	1	800	19
2008.01.08	6	801	37
2008.01.08	6	802	85
2008.01.08	1	804	9
2008.01.08	6	806	16
2008.01.08	1	808	17
2008.01.08	7	811	5
2008.01.08	1	815	14
2008.01.08	1	819	28
2008.01.08	7	822	81
2008.01.08	6	826	59
2008.01.08	6	828	94
2008.01.08	7	829	73
2008.01.08	7	833	30
2008.01.08	7	836	47
2008.01.08	6	840	30
2008.01.08	6	844	27
2008.01.08	6	845	62
2008.01.08	7	849	70
2008.01.08	6	852	11
2008.01.08	7	854	69
2008.01.08	6	857	80
2008.01.08	1	861	27
2008.01.08	7	863	45
2008.01.08	7	865	19
2008.01.08	1	867	81
2008.01.08	1	869	19
2008.01.08	7	871	32
2008.01.08	1	875	3
2008.01.08	1	879	68
2008.01.08	7	882	45
2008.01.08	7	883	67
2008.01.08	1	884	21
2008.01.08	1	888	19
2008.01.08	7	890	5
2008.01.08	1	892	27
2008.01.08	7	896	73
2008.01.08	1	899	93
2008.01.08	1	902	99
2008.01.08	6	904	14
2008.01.08	7	906	60
2008.01.08	1	909	32
2008.01.08	1	912	29
2008.01.08	7	915	41
2008.01.08	6	916	81
2008.01.08	1	919	56
2008.01.08	7	920	46
2008.01.08	7	921	24
2008.01.08	7	925	37
2008.01.08	1	929	64
2008.01.08	7	930	45
2008.01.08	6	933	49
2008.01.08	1	937	27
2008.01.08	6	938	56
2008.01.08	7	942	22
2008.01.08	7	943	59
2008.01.08	6	946	51
2008.01.08	6	948	33
2008.01.08	7	949	44
2008.01.08	1	952	53
2008.01.08	1	953	10
2008.01.08	7	957	46
2008.01.08	7	958	44
2008.01.08	6	960	31
2008.01.08	6	964	3
2008.01.08	7	966	39
2008.01.08	7	969	25
2008.01.08	7	970	93
2008.01.08	1	972	31
2008.01.08	1	976	69
2008.01.08	7	979	94
2008.01.08	6	980	41
2008.01.08	6	983	46
2008.01.08	6	986	83
2008.01.08	7	988	98
2008.01.08	7	989	72
2008.01.08	6	991	88
2008.01.08	7	993	82
2008.01.08	7	996	37
2008.01.08	7	997	87
2008.01.08	7	1000	19
2008.01.08	7	1002	65
2008.01.08	1	1004	5
2008.01.08	1	1006	88
2008.01.08	7	1009	84
2008.01.08	6	1011	32
2008.01.08	1	1015	17
2008.01.08	7	1018	72
2008.01.08	1	1019	83
2008.01.08	7	1021	42
2008.01.08	7	1025	58
2008.01.08	6	1026	21
2008.01.08	1	1027	17
2008.01.08	1	1030	20
2008.01.08	7	1033	35
2008.01.08	1	1036	47
2008.01.08	7	1040	85
2008.01.08	7	1044	41
2008.01.08	1	1048	45
2008.01.08	7	1049	33
2008.01.08	7	1050	87
2008.01.08	1	1051	45
2008.01.08	1	1054	89
2008.01.15	6	4	11
2008.01.15	7	7	70
2008.01.15	6	8	49
2008.01.15	4	9	93
2008.01.15	5	13	1
2008.01.15	5	14	8
2008.01.15	4	18	38
2008.01.15	4	19	13
2008.01.15	7	22	19
2008.01.15	6	26	59
2008.01.15	4	28	73
2008.01.15	5	29	29
2008.01.15	6	31	22
2008.01.15	7	34	49
2008.01.15	4	36	28
2008.01.15	4	38	42
2008.01.15	4	40	26
2008.01.15	6	43	35
2008.01.15	6	45	85
2008.01.15	5	48	51
2008.01.15	4	50	30
2008.01.15	5	51	67
2008.01.15	6	55	61
2008.01.15	6	57	58
2008.01.15	4	58	54
2008.01.15	7	61	97
2008.01.15	5	62	84
2008.01.15	6	64	61
2008.01.15	6	67	26
2008.01.15	6	69	25
2008.01.15	4	70	54
2008.01.15	4	72	62
2008.01.15	6	75	44
2008.01.15	6	77	48
2008.01.15	7	81	71
2008.01.15	6	85	59
2008.01.15	5	87	5
2008.01.15	4	90	69
2008.01.15	6	92	35
2008.01.15	4	94	27
2008.01.15	4	98	22
2008.01.15	7	102	86
2008.01.15	4	104	45
2008.01.15	7	105	44
2008.01.15	7	107	80
2008.01.15	7	110	1
2008.01.15	5	112	2
2008.01.15	6	113	32
2008.01.15	4	114	86
2008.01.15	4	116	13
2008.01.15	7	120	7
2008.01.15	4	122	9
2008.01.15	5	126	39
2008.01.15	4	128	21
2008.01.15	7	129	58
2008.01.15	6	132	98
2008.01.15	7	134	39
2008.01.15	5	138	26
2008.01.15	7	139	56
2008.01.15	4	141	38
2008.01.15	7	144	42
2008.01.15	6	146	28
2008.01.15	5	150	1
2008.01.15	6	152	52
2008.01.15	7	154	78
2008.01.15	4	155	26
2008.01.15	4	157	46
2008.01.15	6	159	25
2008.01.15	7	163	10
2008.01.15	7	167	22
2008.01.15	6	170	31
2008.01.15	5	173	93
2008.01.15	7	174	6
2008.01.15	5	175	15
2008.01.15	5	178	17
2008.01.15	4	179	30
2008.01.15	5	180	40
2008.01.15	7	183	4
2008.01.15	6	184	24
2008.01.15	5	188	11
2008.01.15	6	192	21
2008.01.15	5	193	90
2008.01.15	4	195	28
2008.01.15	4	199	41
2008.01.15	7	201	48
2008.01.15	7	205	73
2008.01.15	5	208	54
2008.01.15	4	209	39
2008.01.15	4	212	23
2008.01.15	4	216	53
2008.01.15	7	218	14
2008.01.15	7	220	92
2008.01.15	5	222	44
2008.01.15	6	223	30
2008.01.15	7	227	47
2008.01.15	5	228	42
2008.01.15	7	229	13
2008.01.15	5	232	4
2008.01.15	7	233	14
2008.01.15	6	237	89
2008.01.15	6	239	14
2008.01.15	4	241	74
2008.01.15	7	245	14
2008.01.15	5	249	34
2008.01.15	4	251	89
2008.01.15	4	253	42
2008.01.15	5	256	88
2008.01.15	7	257	74
2008.01.15	4	258	49
2008.01.15	7	260	7
2008.01.15	4	261	95
2008.01.15	4	264	13
2008.01.15	6	267	27
2008.01.15	7	271	67
2008.01.15	7	272	50
2008.01.15	6	274	47
2008.01.15	6	278	57
2008.01.15	4	280	26
2008.01.15	5	284	25
2008.01.15	5	286	78
2008.01.15	5	290	4
2008.01.15	6	291	81
2008.01.15	7	293	98
2008.01.15	6	296	8
2008.01.15	4	298	2
2008.01.15	6	299	33
2008.01.15	4	302	93
2008.01.15	4	306	16
2008.01.15	7	310	46
2008.01.15	7	312	81
2008.01.15	5	315	36
2008.01.15	7	317	27
2008.01.15	4	321	37
2008.01.15	7	325	14
2008.01.15	5	327	24
2008.01.15	7	329	37
2008.01.15	5	332	73
2008.01.15	6	334	70
2008.01.15	5	338	30
2008.01.15	6	340	89
2008.01.15	7	341	57
2008.01.15	6	343	5
2008.01.15	5	347	42
2008.01.15	7	350	3
2008.01.15	6	352	88
2008.01.15	6	354	45
2008.01.15	5	357	35
2008.01.15	6	361	13
2008.01.15	6	363	66
2008.01.15	7	367	78
2008.01.15	4	369	47
2008.01.15	5	372	10
2008.01.15	6	373	90
2008.01.15	7	375	9
2008.01.15	6	378	70
2008.01.15	5	381	23
2008.01.15	6	383	62
2008.01.15	4	384	36
2008.01.15	5	387	40
2008.01.15	6	390	23
2008.01.15	7	393	80
2008.01.15	6	394	59
2008.01.15	6	396	28
2008.01.15	7	397	10
2008.01.15	5	399	45
2008.01.15	4	401	80
2008.01.15	5	404	11
2008.01.15	7	407	14
2008.01.15	6	411	29
2008.01.15	7	414	97
2008.01.15	7	418	31
2008.01.15	5	420	5
2008.01.15	5	421	17
2008.01.15	6	423	12
2008.01.15	6	427	88
2008.01.15	5	429	92
2008.01.15	6	430	22
2008.01.15	4	431	23
2008.01.15	6	433	92
2008.01.15	7	436	77
2008.01.15	4	440	75
2008.01.15	4	441	31
2008.01.15	6	444	22
2008.01.15	7	448	59
2008.01.15	5	450	74
2008.01.15	5	453	36
2008.01.15	6	456	42
2008.01.15	6	459	38
2008.01.15	7	461	21
2008.01.15	4	462	19
2008.01.15	7	464	86
2008.01.15	5	466	13
2008.01.15	7	468	7
2008.01.15	4	472	37
2008.01.15	5	476	78
2008.01.15	5	479	85
2008.01.15	7	483	54
2008.01.15	7	486	33
2008.01.15	4	487	17
2008.01.15	6	491	54
2008.01.15	5	492	41
2008.01.15	5	496	25
2008.01.15	7	497	3
2008.01.15	7	499	21
2008.01.15	4	500	75
2008.01.15	6	501	15
2008.01.15	4	504	35
2008.01.15	6	505	83
2008.01.15	6	509	28
2008.01.15	7	513	1
2008.01.15	5	517	14
2008.01.15	7	518	43
2008.01.15	5	520	84
2008.01.15	7	523	42
2008.01.15	6	524	40
2008.01.15	7	526	99
2008.01.15	6	529	58
2008.01.15	4	532	64
2008.01.15	6	536	14
2008.01.15	4	539	26
2008.01.15	4	541	80
2008.01.15	4	545	41
2008.01.15	4	547	33
2008.01.15	4	549	4
2008.01.15	7	550	48
2008.01.15	5	552	15
2008.01.15	4	555	99
2008.01.15	5	556	50
2008.01.15	7	558	63
2008.01.15	4	559	85
2008.01.15	6	561	14
2008.01.15	4	562	94
2008.01.15	6	564	26
2008.01.15	5	565	53
2008.01.15	7	566	74
2008.01.15	4	568	36
2008.01.15	6	569	34
2008.01.15	6	570	18
2008.01.15	5	573	81
2008.01.15	7	577	73
2008.01.15	6	580	90
2008.01.15	6	583	78
2008.01.15	4	586	18
2008.01.15	7	589	8
2008.01.15	7	593	92
2008.01.15	4	594	37
2008.01.15	7	596	37
2008.01.15	6	599	20
2008.01.15	5	603	42
2008.01.15	6	607	91
2008.01.15	4	611	42
2008.01.15	7	614	68
2008.01.15	6	616	39
2008.01.15	4	620	44
2008.01.15	5	621	79
2008.01.15	7	622	93
2008.01.15	5	626	82
2008.01.15	7	627	92
2008.01.15	7	628	22
2008.01.15	4	631	16
2008.01.15	6	635	72
2008.01.15	7	638	19
2008.01.15	6	642	10
2008.01.15	4	644	35
2008.01.15	5	647	10
2008.01.15	4	648	80
2008.01.15	6	650	46
2008.01.15	7	653	51
2008.01.15	7	654	46
2008.01.15	6	655	10
2008.01.15	6	657	28
2008.01.15	5	661	63
2008.01.15	7	663	24
2008.01.15	4	664	56
2008.01.15	7	665	57
2008.01.15	5	666	73
2008.01.15	6	668	2
2008.01.15	7	671	89
2008.01.15	5	675	33
2008.01.15	6	679	80
2008.01.15	6	680	27
2008.01.15	7	681	20
2008.01.15	4	682	56
2008.01.15	6	686	83
2008.01.15	7	688	48
2008.01.15	4	692	46
2008.01.15	7	693	26
2008.01.15	5	697	83
2008.01.15	5	700	8
2008.01.15	6	704	70
2008.01.15	4	708	43
2008.01.15	4	709	81
2008.01.15	4	711	81
2008.01.15	4	715	90
2008.01.15	7	716	7
2008.01.15	5	720	75
2008.01.15	7	724	93
2008.01.15	6	726	9
2008.01.15	6	728	9
2008.01.15	6	731	66
2008.01.15	5	732	52
2008.01.15	6	733	23
2008.01.15	4	734	74
2008.01.15	6	737	27
2008.01.15	7	738	29
2008.01.15	5	742	34
2008.01.15	4	746	78
2008.01.15	5	750	39
2008.01.15	6	754	11
2008.01.15	4	758	42
2008.01.15	4	759	30
2008.01.15	4	760	20
2008.01.15	4	762	6
2008.01.15	5	764	47
2008.01.15	4	765	28
2008.01.15	5	769	49
2008.01.15	5	771	57
2008.01.15	4	775	25
2008.01.15	4	779	72
2008.01.15	6	782	74
2008.01.15	5	784	50
2008.01.15	4	786	48
2008.01.15	6	788	64
2008.01.15	4	792	46
2008.01.15	5	796	90
2008.01.15	7	798	44
2008.01.15	5	801	3
2008.01.15	5	802	16
2008.01.15	4	803	77
2008.01.15	7	806	36
2008.01.15	6	808	88
2008.01.15	5	811	40
2008.01.15	6	812	6
2008.01.15	6	816	26
2008.01.15	5	817	21
2008.01.15	7	819	44
2008.01.15	7	823	92
2008.01.15	7	826	12
2008.01.15	6	828	1
2008.01.15	4	830	2
2008.01.15	4	832	20
2008.01.15	7	834	47
2008.01.15	4	837	26
2008.01.15	5	840	60
2008.01.15	7	843	94
2008.01.15	4	845	75
2008.01.15	5	847	99
2008.01.15	7	851	14
2008.01.15	4	853	8
2008.01.15	4	856	52
2008.01.15	5	860	19
2008.01.15	7	863	32
2008.01.15	5	864	84
2008.01.15	5	865	26
2008.01.15	5	866	85
2008.01.15	6	868	12
2008.01.15	7	870	99
2008.01.15	4	874	96
2008.01.15	4	878	99
2008.01.15	7	880	55
2008.01.15	7	882	31
2008.01.15	5	886	64
2008.01.15	4	889	60
2008.01.15	7	892	96
2008.01.15	7	893	70
2008.01.15	6	897	28
2008.01.15	6	901	67
2008.01.15	4	902	34
2008.01.15	7	905	26
2008.01.15	6	907	89
2008.01.15	5	908	22
2008.01.15	4	912	34
2008.01.15	5	916	15
2008.01.15	4	920	48
2008.01.15	6	924	23
2008.01.15	5	928	1
2008.01.15	4	932	78
2008.01.15	6	935	3
2008.01.15	5	937	70
2008.01.15	4	941	29
2008.01.15	6	943	75
2008.01.15	4	946	55
2008.01.15	7	949	65
2008.01.15	5	951	27
2008.01.15	5	955	9
2008.01.15	7	959	4
2008.01.15	6	962	4
2008.01.15	6	966	76
2008.01.15	6	970	9
2008.01.15	7	972	49
2008.01.15	4	974	95
2008.01.15	7	977	47
2008.01.15	4	980	45
2008.01.15	4	984	91
2008.01.15	4	987	32
2008.01.15	4	990	12
2008.01.15	5	991	29
2008.01.15	6	995	31
2008.01.15	4	999	14
2008.01.15	6	1003	25
2008.01.15	7	1005	30
2008.01.15	4	1009	67
2008.01.15	6	1012	43
2008.01.15	4	1014	34
2008.01.15	7	1016	19
2008.01.15	7	1018	1
2008.01.15	7	1020	10
2008.01.15	7	1021	41
2008.01.15	7	1022	62
2008.01.15	6	1026	31
2008.01.15	5	1029	21
2008.01.15	7	1030	44
2008.01.15	5	1032	34
2008.01.15	4	1035	57
2008.01.15	4	1038	12
2008.01.15	6	1039	45
2008.01.15	5	1042	52
2008.01.15	4	1045	81
2008.01.15	7	1047	29
2008.01.15	7	1049	21
2008.01.15	6	1051	18
2008.01.15	4	1054	2
2008.01.15	6	1057	92
2008.01.15	6	1058	36
2008.01.15	7	1062	30
2008.01.15	6	1063	20
2008.01.15	4	1067	3
2008.01.15	5	1071	27
2008.01.15	4	1072	88
2008.01.15	6	1076	34
2008.01.15	5	1079	60
2008.01.15	5	1083	15
2008.01.15	7	1084	94
2008.01.15	5	1087	23
2008.01.15	7	1089	64
2008.01.15	6	1090	99
2008.01.15	6	1094	47
2008.01.15	5	1097	53
2008.01.15	7	1100	16
2008.01.15	7	1102	81
2008.01.15	4	1104	46
2008.01.15	7	1108	58
2008.01.15	7	1111	14
2008.01.15	6	1112	59
2008.01.15	4	1114	92
2008.01.15	4	1116	30
2008.01.15	5	1118	29
2008.01.15	7	1122	35
2008.01.15	4	1124	86
2008.01.15	5	1125	59
2008.01.15	4	1129	50
2008.01.15	7	1130	4
2008.01.15	4	1134	26
2008.01.15	6	1135	54
2008.01.15	7	1136	44
2008.01.15	4	1138	76
2008.01.15	4	1139	14
2008.01.15	7	1141	47
2008.01.15	5	1145	37
2008.01.15	6	1149	42
2008.01.15	6	1150	47
2008.01.15	6	1153	37
2008.01.15	6	1156	7
2008.01.15	4	1159	5
2008.01.15	5	1163	28
2008.01.15	7	1165	23
2008.01.15	4	1169	43
2008.01.15	6	1172	65
2008.01.15	4	1174	56
2008.01.15	6	1175	3
2008.01.15	5	1176	6
2008.01.15	6	1179	22
2008.01.15	7	1182	30
2008.01.15	5	1183	86
2008.01.15	7	1187	85
2008.01.15	5	1188	37
2008.01.15	6	1190	52
2008.01.15	4	1192	63
2008.01.15	7	1194	3
2008.01.15	4	1198	25
2008.01.15	4	1199	10
2008.01.15	7	1203	18
2008.01.15	7	1206	36
2008.01.15	5	1209	72
2008.01.15	5	1211	18
2008.01.15	5	1214	4
2008.01.15	7	1216	85
2008.01.15	4	1219	9
2008.01.15	5	1221	97
2008.01.15	5	1224	75
2008.01.15	5	1225	46
2008.01.15	5	1229	29
2008.01.15	7	1230	4
2008.01.15	6	1233	39
2008.01.15	4	1235	53
2008.01.15	6	1237	95
2008.01.15	5	1240	31
2008.01.15	6	1244	1
2008.01.15	7	1247	8
2008.01.15	7	1248	30
2008.01.15	4	1252	65
2008.01.15	5	1255	59
2008.01.15	4	1257	9
2008.01.15	6	1258	31
2008.01.15	6	1262	7
2008.01.15	4	1264	14
2008.01.15	7	1268	57
2008.01.15	7	1269	90
2008.01.15	7	1271	6
2008.01.15	4	1273	65
2008.01.15	4	1274	26
2008.01.15	6	1277	16
2008.01.15	4	1281	54
2008.01.15	6	1284	15
2008.01.15	5	1285	93
2008.01.15	5	1286	38
2008.01.15	7	1290	22
2008.01.15	6	1291	60
2008.01.15	5	1295	41
2008.01.15	5	1299	57
2008.01.15	6	1302	81
2008.01.15	4	1305	3
2008.01.15	5	1306	18
2008.01.15	7	1310	72
2008.01.15	4	1311	65
2008.01.15	6	1314	42
2008.01.15	5	1316	99
2008.01.15	5	1317	42
2008.01.15	5	1319	96
2008.01.15	4	1322	78
2008.01.15	5	1323	29
2008.01.15	7	1326	95
2008.01.15	5	1328	73
2008.01.15	6	1332	12
2008.01.15	4	1336	6
2008.01.15	4	1338	2
2008.01.15	5	1339	98
2008.01.15	6	1342	41
2008.01.15	6	1343	28
2008.01.15	4	1345	6
2008.01.15	5	1347	69
2008.01.15	5	1349	68
2008.01.15	5	1350	49
2008.01.15	5	1352	6
2008.01.15	4	1355	88
2008.01.15	4	1357	46
2008.01.15	6	1361	15
2008.01.15	5	1364	3
2008.01.15	6	1366	53
2008.01.15	5	1368	13
2008.01.15	4	1369	78
2008.01.15	5	1371	96
2008.01.15	5	1375	32
2008.01.15	6	1379	30
2008.01.15	7	1381	88
2008.01.15	4	1382	87
2008.01.15	6	1383	12
2008.01.15	4	1386	22
2008.01.15	6	1387	46
2008.01.15	4	1388	38
2008.01.15	5	1389	30
2008.01.15	5	1391	28
2008.01.15	6	1395	25
2008.01.15	5	1396	60
2008.01.15	7	1400	82
2008.01.15	5	1402	64
2008.01.15	6	1403	2
2008.01.15	5	1406	42
2008.01.15	6	1408	82
2008.01.15	7	1411	69
2008.01.15	6	1412	49
2008.01.15	7	1414	21
2008.01.15	4	1416	29
2008.01.15	5	1417	35
2008.01.15	7	1421	45
2008.01.15	4	1422	47
2008.01.15	4	1424	11
2008.01.15	5	1428	70
2008.01.15	5	1430	36
2008.01.15	4	1432	68
2008.01.15	4	1436	62
2008.01.15	6	1440	65
2008.01.15	4	1443	75
2008.01.15	7	1446	37
2008.01.15	6	1447	49
2008.01.15	7	1448	58
2008.01.15	7	1450	60
2008.01.15	5	1451	4
2008.01.15	7	1452	83
2008.01.15	4	1454	47
2008.01.15	4	1455	92
2008.01.15	7	1459	66
2008.01.15	5	1463	64
2008.01.15	7	1464	34
2008.01.15	5	1466	72
2008.01.15	5	1470	26
2008.01.15	6	1472	91
2008.01.15	6	1476	9
2008.01.15	7	1478	98
2008.01.15	5	1482	41
2008.01.15	5	1485	66
2008.01.15	5	1489	96
2008.01.15	6	1491	71
2008.01.15	6	1493	36
2008.01.15	7	1495	87
2008.01.15	5	1496	74
2008.01.15	4	1500	91
2008.01.15	6	1504	43
2008.01.15	4	1505	56
2008.01.15	7	1508	24
2008.01.15	4	1512	58
2008.01.15	4	1516	33
2008.01.15	4	1518	71
2008.01.15	5	1520	9
2008.01.15	6	1524	71
2008.01.15	6	1528	77
2008.01.15	5	1530	33
2008.01.15	7	1531	85
2008.01.15	7	1534	16
2008.01.15	6	1535	19
2008.01.15	5	1536	42
2008.01.15	4	1538	50
2008.01.15	5	1542	20
