ev	szakaz	ossz	elso	felvett	pont	forma	munkarend	tamogatott
2011	59	10	6	0	77	M	L	1
2010	37	1	0	0	45	M	N	0
2008	51	608	164	50	420	A	N	1
2007	97	15	5	5	90	A	E	0
2012	57	760	234	104	422	A	N	1
2010	19	60	9	5	31	M	N	0
2011	124	2	0	0	1	M	N	0
2012	106	13	3	2	438	A	N	1
2008	18	50	1	9	352	A	N	0
2009	177	5	4	3	29	M	N	1
2009	132	96	8	36	313	A	N	0
2011	116	22	10	7	57	M	L	0
2011	73	5	1	0		M	N	0
2009	14	33	26	15	49	M	L	1
2010	87	3	1	0	68	M	N	1
2011	72	44	15	16	75	M	N	1
2008	33	117	19	44	161	A	E	0
2009	78	19	19	18	316	A	N	0
2011	159	279	51	40	434	A	N	1
2008	83	846	370	407	173	O	L	0
2011	32	27	19	8	84	M	N	1
2007	64	27	9	6	134	A	N	1
2011	153	84	84	79	202	A	E	0
2008	132	910	381	146	405	A	N	1
2009	208	46	22	15	37	M	N	1
2010	29	5	1	1	90	M	N	0
2011	42	25	10	6	81	M	N	1
2009	195	211	74	37	427	A	N	1
2009	117	13	10	5	52	M	L	1
2012	186	16	6	3	49	M	L	1
2010	187	2	2	2	41	M	N	0
2011	210	71	41	16	70	M	L	1
2012	150	3	2	3	52	M	N	1
2007	51	292	22	0	133	A	N	0
2011	51	77	33	27	82	M	N	1
2007	127	6	0	0		A	N	0
2009	159	185	45	30	440	A	N	1
2009	147	92	20	7	435	A	N	1
2009	90	29	5	9	350	A	N	1
2012	99	12	3	1	438	A	N	1
2010	12	2	1	0		M	N	1
2007	80	35	2	3	126	A	N	0
2010	41	20	2	1	66	M	N	0
2007	80	96	48	37	132	A	N	1
2010	132	3	0	0		M	N	0
2012	4	11	2	1	87	M	N	0
2012	11	11	2	1	70	M	N	1
2010	179	31	21	16	32	M	L	1
2010	42	3	0	0		M	N	0
2011	20	13	4	4	70	M	L	1
2008	159	267	65	28	456	A	N	1
2012	126	51	21	13	70	M	N	1
2012	149	20	0	0	90	M	N	0
2009	19	56	3	0		M	N	0
2010	122	3	1	0		M	N	0
2008	99	25	8	4	396	A	N	1
2011	69	18	6	5	75	M	N	1
2012	155	139	5	39	296	A	N	0
2012	196	1591	712	170	449	A	N	1
2010	130	1225	314	134	442	A	N	1
2007	13	8	2	3	119	A	N	0
2012	140	34	24	16	90	M	E	0
2011	196	99	11	13	65	M	N	0
2007	200	39	2	2	134	A	N	0
2012	153	47	4	2	80	M	N	0
2010	82	12	2	1	75	M	N	0
2012	153	56	45	27	80	M	N	1
2011	51	404	132	44	415	A	N	1
2011	60	22	7	0		M	L	0
2010	102	1	0	0	50	M	N	1
2007	147	38	3	15	96	A	N	0
2011	186	11	1	1	60	M	N	0
2008	183	782	231	212	377	A	N	1
2010	155	364	122	87	392	A	N	1
2009	61	51	20	11	432	A	N	1
2011	176	9	5	2	73	M	N	1
2009	204	8	1	0		M	L	0
2009	109	31	31	29	300	A	N	0
2010	45	361	139	41	330	A	N	1
2007	44	151	75	72	122	A	N	1
2010	178	3	2	0		M	N	1
2012	60	17	1	1	91	M	N	0
2010	83	591	38	106	392	O	N	0
2011	50	27	1	8	28	M	N	0
2011	132	7	0	0		M	N	0
2012	191	71	24	22	64	M	N	1
2009	64	2	0	0		A	N	0
2010	149	68	30	26	92	M	N	1
2012	168	1	0	0		M	N	0
2012	26	2	0	0	43	M	N	0
2010	18	74	8	5	435	A	N	0
2007	198	148	40	45	117	A	N	1
2012	212	1	0	1	61	M	N	0
2012	72	6	0	0		M	N	0
2011	168	134	33	21	399	A	N	1
2007	151	4	0	2	118	A	N	0
2010	183	863	269	200	399	A	N	1
2012	183	663	211	90	422	A	N	1
2010	109	38	0	0		M	N	0
2011	14	3	1	1	66	M	N	0
2009	156	82	11	8	413	A	N	0
2011	175	36	3	4	62	M	N	0
2011	194	3	3	2	71	M	N	0
2010	172	5	1	0	42	M	N	0
2010	53	78	44	31	37	M	N	1
2010	95	2	2	2	83	M	N	1
2010	68	11	6	2	66	M	N	1
2009	158	76	6	15	178	A	N	0
2011	182	7	0	1	90	M	N	0
2012	194	3	3	1	54	M	N	1
2010	117	1	0	0		M	L	0
2010	95	1	1	1	92	M	N	0
2009	127	4	0	0		A	N	0
2008	189	3	0	0		A	N	0
2011	198	68	5	8	342	A	N	0
2009	51	253	113	149	203	A	L	0
2011	31	9	2	2	70	M	L	0
2010	198	35	27	19	48	M	N	1
2012	162	78	56	29	46	M	N	1
2012	187	66	0	0		M	N	0
2012	38	2	2	0		M	N	1
2011	17	23	2	1	46	M	N	0
2011	18	117	35	21	428	A	N	1
2011	152	3	0	0		M	N	0
2009	19	145	87	48	31	M	N	1
2012	182	21	0	0	90	M	N	0
2008	129	379	104	13	395	A	N	1
2012	84	77	19	15	412	A	N	1
2011	164	139	46	0		A	L	1
2010	81	2	1	0		M	N	0
2011	117	1	0	0	63	M	L	1
2010	202	1	0	0	50	M	L	1
2012	158	184	7	50	240	A	N	0
2011	106	23	7	4	428	A	N	1
2011	52	7	1	1	90	M	N	0
2009	65	25	23	15	92	M	N	1
2011	127	8	0	1	308	A	N	0
2008	131	1	0	0		M	N	0
2007	51	369	166	150	108	A	L	0
2011	55	147	78	36	74	M	E	1
2009	44	33	1	8	302	A	N	0
2012	130	106	1	17	91	M	N	0
2012	161	14	0	2	345	A	N	0
2010	158	711	240	191	295	A	N	1
2011	210	12	4	3	50	M	N	0
2012	96	8	3	2	84	M	L	0
2012	130	248	62	15	97	M	N	1
2008	33	428	178	117	277	A	N	1
2011	129	208	2	28	360	A	N	0
2011	201	101	23	0		A	L	1
2010	86	56	38	29	56	M	L	1
2012	84	28	1	7	302	A	N	0
2010	202	3	3	0		M	L	1
2009	196	207	136	114	71	M	N	1
2010	65	60	37	27	91	M	N	1
2008	83	529	25	51	372	O	N	0
2010	9	1	1	0		M	N	1
2010	148	109	50	32	380	A	N	1
2012	73	43	13	10	72	M	N	1
2012	102	6	3	0		M	L	0
2012	74	78	20	7	436	A	N	1
2011	125	2	1	0		A	N	1
2010	209	5	3	2	78	M	N	1
2011	116	2	1	1	66	M	N	0
2008	189	21	9	10	242	A	N	1
2011	108	1	0	0		A	N	1
2010	18	148	50	20	436	A	N	1
2011	133	1019	465	244	401	A	N	1
2010	63	7	0	0		A	N	0
2010	190	51	35	29	58	M	N	1
2011	46	7	3	2	86	M	N	1
2011	80	29	2	4	372	A	N	0
2010	5	107	32	9	422	A	N	1
2009	75	8	6	6	67	M	N	1
2010	16	8	1	0		A	N	1
2011	162	8	2	0		M	N	0
2012	21	6	0	0	90	M	N	0
2012	201	439	82	40	391	A	N	1
2010	117	1	0	0		M	L	1
2012	175	50	5	4	54	M	N	0
2007	129	226	5	29	104	A	N	0
2012	202	9	5	5	76	M	N	1
2008	83	183	183	77	173	O	L	0
2011	171	6	3	3	69	M	N	0
2012	180	7	0	1	428	A	N	0
2009	165	26	13	11	56	M	N	1
2011	202	1	0	0	1	M	N	0
2010	210	7	1	0	41	M	N	0
2011	51	8	0	0		M	N	0
2010	200	498	118	143	313	A	N	1
2012	198	76	3	19	308	A	N	0
2010	55	41	4	5	40	M	E	0
2012	14	7	4	1	50	M	L	1
2007	58	16	5	2	134	A	N	1
2007	164	32	2	7	92	A	E	0
2009	115	90	5	12	332	A	N	0
2009	131	5	1	0		M	N	0
2009	133	62	32	22	52	M	N	1
2008	99	10	0	2	262	A	N	0
2010	164	36	4	9	292	A	N	0
2010	185	253	26	25	402	A	N	0
2012	37	11	2	1	70	M	L	0
2010	88	106	35	19	424	A	N	1
2012	108	1	1	0		A	N	1
2009	197	1	0	0		M	N	0
2008	151	12	3	5	347	A	N	1
2009	133	1001	460	281	398	A	N	1
2007	153	319	28	27	105	A	N	0
2010	57	3	0	0		M	N	0
2010	64	5	0	2	255	A	N	0
2008	74	53	2	16	276	A	N	0
2010	171	28	19	14	80	M	N	1
2012	146	7	0	0	50	M	N	0
2012	180	26	5	3	417	A	N	1
2008	147	61	21	16	377	A	N	1
2008	127	6	0	0		A	N	0
2012	94	406	68	25	438	A	N	1
2009	172	24	18	16	64	M	N	1
2010	133	231	12	10	394	A	N	0
2007	57	197	11	17	123	A	N	0
2011	26	3	0	1	47	M	N	0
2011	54	2	0	0		M	N	0
2012	36	8	1	1	90	M	N	0
2010	164	19	14	0		M	N	1
2009	80	24	2	4	345	A	N	0
2010	140	63	32	29	93	M	N	1
2010	186	7	0	0	68	M	N	0
2009	117	1	0	0		M	N	0
2010	202	8	5	4	65	M	N	1
2010	197	21	7	7	68	M	N	1
2007	183	690	218	200	123	A	N	1
2010	177	2	1	1	77	M	N	0
2009	206	1	1	1	38	M	N	0
2011	198	30	20	10	80	M	N	1
2011	32	4	1	1	85	M	N	0
2011	153	160	120	78	79	M	N	1
2011	164	48	25	20	90	M	N	1
2008	164	6	6	6	211	A	E	0
2011	3	1	1	1	75	M	N	0
2011	33	920	395	172	325	A	N	1
2009	99	52	12	3	426	A	N	1
2011	167	16	2	3	90	M	N	0
2012	55	140	79	54	69	M	E	1
2011	182	2	2	1	94	M	N	0
2012	35	6	0	0		M	N	0
2007	108	1	0	0		A	N	0
2012	21	66	15	21	95	M	N	1
2010	84	36	2	1	424	A	N	0
2012	210	7	3	1	49	M	N	1
2009	5	136	39	5	435	A	N	1
2011	60	12	3	2	95	M	N	0
2010	156	218	96	24	435	A	N	1
2012	116	1	0	0	44	M	N	0
2011	19	13	13	13	36	M	N	0
2010	114	14	3	2	48	M	L	0
2010	154	8	0	0		M	N	0
2009	68	8	2	2	83	M	N	0
2011	165	1	1	1	90	M	N	0
2011	82	12	1	1	78	M	N	0
2011	9	1	0	0		M	N	0
2012	185	406	27	129	292	A	N	0
2007	64	4	0	0		A	N	0
2009	176	9	5	5	51	M	N	1
2010	93	142	6	4	432	A	N	0
2010	5	60	8	22	304	A	N	0
2012	210	52	29	24	49	M	L	1
2009	18	121	41	22	434	A	N	1
2011	130	277	71	39	95	M	N	1
2011	139	11	9	7	82	M	N	1
2009	33	555	249	209	259	A	N	1
2011	7	108	62	42	51	M	N	1
2011	9	4	2	2	85	M	N	1
2011	70	9	4	2	88	M	N	1
2010	90	25	5	1	392	A	N	1
2012	153	65	32	15	80	M	E	1
2012	42	5	2	1	83	M	N	0
2011	189	40	13	18	313	A	N	1
2008	129	185	5	39	314	A	N	0
2007	148	37	2	5	113	A	N	0
2012	171	9	2	2	88	M	N	0
2010	69	2	2	0		M	N	0
2009	40	1	0	0		A	N	0
2010	68	12	2	1	77	M	N	0
2012	62	2	1	0	42	M	L	1
2010	6	2	1	1	84	M	N	1
2010	60	19	2	0		M	L	0
2011	67	10	4	2	80	M	N	0
2011	131	8	0	0	71	M	L	0
2009	155	415	178	152	377	A	N	1
2010	72	46	16	19	60	M	N	1
2011	112	5	4	4	59	M	N	1
2012	50	43	5	10	40	M	N	0
2008	200	378	85	122	216	A	N	1
2007	61	65	24	11	140	A	N	1
2009	95	2	0	0		M	N	0
2007	25	14	1	2	125	A	N	0
2011	174	3	0	0		M	N	0
2012	158	652	181	104	339	A	N	1
2009	162	16	3	1	60	M	N	0
2012	21	13	1	0		M	L	0
2009	39	1032	298	287	357	A	N	1
2009	109	28	4	2	80	M	N	0
2011	41	189	108	76	59	M	N	1
2011	177	5	4	5	81	M	N	1
2009	186	25	5	2	73	M	L	0
2012	156	215	75	31	429	A	N	1
2012	43	6	2	0	46	M	N	0
2011	145	2	1	1	89	M	N	0
2011	40	44	2	5	60	M	N	0
2012	178	7	2	1	95	M	N	1
2012	134	164	5	8	350	A	N	0
2012	193	4	0	0	54	M	N	0
2011	39	144	13	10	363	A	N	0
2009	107	10	1	0		M	L	0
2011	35	6	5	0		M	N	1
2012	96	37	9	7	72	M	N	1
2011	132	224	155	105	40	M	L	1
2009	168	29	3	5	388	A	N	0
2010	189	6	1	1	280	A	N	0
2012	158	104	23	32	240	A	L	0
2012	31	2	1	0		M	N	1
2008	153	4	1	0	90	M	E	0
2011	60	1	1	1	95	M	N	0
2008	156	115	9	3	432	A	N	0
2010	101	1	1	0		M	N	0
2011	197	15	4	3	79	M	N	1
2011	133	244	19	36	362	A	N	0
2009	16	6	1	2	350	A	N	1
2009	10	57	15	5	435	A	N	1
2012	53	19	0	0		M	N	0
2009	143	7	0	0		M	N	1
2008	204	7	2	0		M	L	0
2007	132	827	390	154	124	A	N	1
2012	177	2	2	1	83	M	N	1
2010	187	135	53	43	33	M	N	1
2009	41	78	43	34	73	M	N	1
2009	198	24	1	1	74	M	L	0
2012	159	303	51	15	464	A	N	1
2010	188	8	4	4	75	M	N	1
2008	180	5	0	1	314	A	N	0
2009	25	35	1	1	432	A	N	0
2010	110	28	9	6	56	M	L	0
2010	39	139	11	14	361	A	N	0
2012	39	1182	344	287	376	A	N	1
2011	211	120	29	16	75	M	N	1
2010	186	50	27	21	68	M	N	1
2011	15	1	0	0		M	N	0
2010	153	96	96	79	211	A	E	0
2009	132	115	13	12	50	M	L	0
2012	71	4	4	3	77	M	N	1
2010	177	8	6	4	72	M	N	1
2009	151	4	0	2	359	A	N	0
2012	112	1	1	1	60	M	N	1
2011	29	1	0	0		M	N	0
2007	118	5	1	1	134	A	N	0
2011	119	10	6	3	83	M	N	1
2011	120	70	12	10	379	A	N	1
2009	187	112	34	29	49	M	N	1
2008	118	3	0	1	310	A	N	0
2012	5	39	4	10	312	A	N	0
2010	173	10	3	2	75	M	N	0
2009	42	20	18	14	52	M	N	1
2011	80	121	51	36	393	A	N	1
2009	174	2	0	0		M	N	0
2008	159	88	6	1	456	A	N	0
2010	111	322	113	131	200	A	L	0
2008	80	90	36	40	370	A	N	1
2009	57	875	260	173	398	A	N	1
2009	9	2	0	0		M	N	0
2012	179	7	2	2	50	M	L	0
2010	153	6	1	0		M	E	0
2012	45	102	4	21	240	A	N	0
2012	45	400	140	62	341	A	N	1
2010	99	47	16	2	431	A	N	1
2009	198	8	0	0		M	N	0
2011	43	3	0	0	74	M	N	0
2009	209	3	1	1	90	M	N	0
2010	53	16	2	0		M	N	0
2009	158	89	32	12	366	A	E	1
2010	201	108	0	7	376	A	N	0
2012	199	8	0	0		M	N	0
2007	196	431	57	44	136	A	N	0
2011	14	11	6	3	66	M	N	1
2008	137	68	68	66	162	A	L	0
2012	25	60	5	2	440	A	N	0
2011	49	16	1	2	40	M	N	0
2009	91	445	174	214	274	A	N	1
2011	141	65	38	23	68	M	N	1
2012	132	3	0	0		M	N	0
2009	156	263	102	23	438	A	N	1
2007	23	389	119	148	80	A	N	1
2012	211	20	2	2	62	M	N	0
2011	187	47	8	4	49	M	N	0
2012	136	5	0	0		M	N	0
2010	155	63	8	14	310	A	N	0
2011	86	3	1	0	62	M	N	1
2007	103	76	5	2	120	A	N	0
2012	164	7	0	0	90	M	N	0
2010	91	621	209	234	293	A	N	1
2012	33	299	15	80	246	A	N	0
2009	162	41	29	21	57	M	N	1
2009	14	8	0	0		M	N	0
2009	78	116	5	28	316	A	N	0
2012	67	11	3	1	80	M	N	0
2012	54	11	3	1	84	M	N	1
2011	57	35	6	5	70	M	N	0
2012	49	27	19	14	83	M	N	1
2012	51	156	28	49	302	A	L	0
2011	109	172	12	54	302	A	N	0
2012	139	14	6	6	78	M	N	1
2011	131	6	2	2	71	M	N	1
2008	91	79	8	8	392	A	N	0
2008	51	244	9	5	410	A	N	0
2010	197	3	1	0		M	N	0
2011	116	3	0	1	66	M	N	1
2008	97	14	1	3	396	A	N	0
2012	198	30	19	11	67	M	N	1
2008	55	14	14	10	82	M	E	0
2012	76	47	10	2	412	A	N	1
2008	33	113	3	8	268	A	N	0
2011	123	1574	704	524	329	A	N	1
2012	33	221	51	77	240	A	L	0
2010	100	1	0	0	50	M	N	0
2010	103	422	101	41	398	A	N	1
2010	144	50	3	4	414	A	N	0
2007	120	57	17	17	125	A	N	1
2012	186	5	1	0	49	M	L	0
2011	206	14	2	1	82	M	N	0
2008	115	435	159	169	324	A	N	1
2012	186	18	1	0	46	M	N	0
2009	140	56	46	40	88	M	E	0
2010	35	10	1	1	81	M	N	0
2010	164	571	179	59	384	A	N	1
2010	164	9	0	0		M	L	0
2007	58	8	0	3	88	A	N	0
2009	131	6	3	0		M	N	1
2011	179	27	19	12	12	M	L	1
2007	74	146	48	12	140	A	N	1
2009	80	112	46	36	412	A	N	1
2008	131	11	11	4		M	L	1
2009	164	1	0	0		M	N	0
2011	164	6	0	0		M	N	0
2010	158	91	32	8	400	A	E	1
2008	23	75	8	9	164	A	N	0
2009	129	121	7	9	340	A	N	0
2011	99	16	6	3	428	A	N	1
2008	137	263	141	145	162	A	L	0
2012	202	6	2	0		M	L	1
2009	89	1	1	1	89	M	N	0
2009	25	135	62	19	431	A	N	1
2010	80	26	3	2	383	A	N	0
2012	148	111	48	22	411	A	N	1
2012	68	64	23	16	74	M	N	1
2010	114	14	7	3	48	M	L	1
2007	120	22	0	3	112	A	N	0
2012	208	38	5	4	37	M	N	0
2009	53	62	29	27	62	M	N	1
2011	173	6	2	2	74	M	N	0
2010	59	45	25	19	65	M	N	1
2009	84	40	4	10	380	A	N	0
2009	49	24	0	0		M	N	0
2012	37	4	0	0	69	M	N	0
2012	23	140	13	25	244	A	N	0
2012	122	7	0	0		M	N	0
2009	57	26	1	1	85	M	N	0
2008	168	44	3	1	403	A	N	0
2009	7	67	44	36	70	M	N	1
2010	25	22	1	1	436	A	N	0
2008	158	57	26	14	318	A	E	1
2012	87	3	1	0	60	M	N	1
2011	43	51	36	23	29	M	L	1
2008	132	127	5	16	339	A	N	0
2010	122	2	2	2	83	M	N	0
2008	167	17	2	0		M	N	0
2012	46	1	0	0		M	N	0
2009	186	38	26	21	64	M	N	1
2012	63	32	1	0		A	N	1
2011	86	1	0	0	62	M	N	0
2010	210	79	49	27	60	M	L	1
2009	1	9	6	5	78	M	N	1
2007	25	61	25	18	129	A	N	1
2011	152	3	3	3	85	M	N	1
2010	4	56	23	16	53	M	N	1
2011	60	67	23	14	90	M	N	1
2011	158	861	303	162	323	A	N	1
2011	51	107	40	30	77	M	L	1
2012	169	10	7	4	54	M	N	1
2012	102	3	0	0		M	L	1
2009	2	9	1	0		M	L	0
2012	140	71	40	36	92	M	N	1
2010	24	7	0	1	85	M	N	1
2010	191	64	26	26	68	M	N	1
2010	165	1	1	0		M	N	1
2010	191	10	0	0		M	N	0
2012	160	11	7	5	56	M	N	1
2012	26	9	5	4	43	M	N	1
2012	189	40	10	8	339	A	N	1
2011	57	145	77	64	75	M	N	1
2012	40	599	175	31	449	A	N	1
2012	113	503	112	56	337	A	N	1
2009	103	53	5	8	346	A	N	0
2012	118	6	0	1	398	A	N	0
2009	204	3	0	0		M	N	0
2011	160	4	0	0	1	M	N	0
2008	16	4	1	2	364	A	N	1
2012	82	14	1	0		M	N	0
2009	68	46	34	28	73	M	N	1
2012	59	10	0	0	58	M	N	0
2010	14	12	7	1	58	M	N	1
2012	7	23	7	6	44	M	L	1
2011	164	307	99	75	368	A	N	1
2009	183	932	305	208	397	A	N	1
2012	190	32	13	6	51	M	N	1
2011	123	234	26	32	323	A	N	0
2010	120	78	17	9	373	A	N	1
2007	63	38	8	10	133	A	N	1
2010	63	46	9	10	401	A	N	1
2008	196	488	33	78	417	A	N	0
2012	153	128	61	47	240	A	E	0
2009	109	142	9	46	300	A	N	0
2009	195	63	6	4	429	A	N	0
2011	134	65	6	1	362	A	N	0
2008	109	152	4	30	301	A	N	0
2010	15	5	2	2	79	M	N	1
2011	102	10	5	2	61	M	L	0
2010	43	47	9	13	31	M	L	0
2011	68	78	32	18	57	M	N	1
2012	168	39	2	11	306	A	N	0
2010	214	173	17	45	363	A	N	0
2012	195	247	68	42	422	A	N	1
2009	211	92	39	39	42	M	N	1
2012	153	33	7	2	86	M	E	0
2008	172	5	2	1	71	M	N	1
2008	109	11	11	5	75	M	L	0
2012	69	14	6	3	72	M	N	1
2011	122	2	0	0		M	N	0
2012	91	179	16	30	244	A	N	0
2008	61	15	1	6	310	A	N	0
2011	105	1	1	0	1	M	N	1
2012	70	1	0	0		M	N	0
2010	169	7	6	3	54	M	N	1
2007	195	132	35	22	135	A	N	1
2012	23	494	164	129	337	A	N	1
2007	57	635	212	172	127	A	N	1
2011	183	770	239	157	397	A	N	1
2008	214	434	101	70	404	A	N	1
2011	27	45	32	11	78	M	N	1
2008	39	781	221	313	321	A	N	1
2012	88	118	33	16	417	A	N	1
2012	153	24	8	6	80	M	E	1
2009	158	490	162	168	238	A	N	1
2007	133	760	392	268	127	A	N	1
2011	169	14	9	5	79	M	N	1
2010	129	496	124	58	373	A	N	1
2010	130	461	31	68	397	A	N	0
2010	72	1	0	0		M	N	1
2011	69	3	0	0		M	N	0
2009	111	109	109	105	167	A	L	0
2011	201	461	88	59	388	A	N	1
2007	142	6	1	1	141	A	N	0
2010	116	3	0	0	46	M	N	1
2010	20	17	9	10	41	M	L	1
2008	106	10	1	5	234	A	N	0
2012	141	19	1	1	84	M	N	0
2012	131	2	2	2	70	M	N	0
2010	12	1	0	0		M	N	0
2008	39	175	5	8	320	A	N	0
2011	55	8	0	0		M	N	0
2010	86	1	0	0	79	M	N	0
2011	102	2	0	1	58	M	N	0
2012	190	4	0	0		M	N	0
2011	109	578	146	80	417	A	N	1
2008	151	7	0	0		A	N	0
2008	84	12	1	1	341	A	N	0
2012	91	647	245	223	340	A	N	1
2011	191	58	21	13	63	M	N	1
2012	116	9	1	2	44	M	L	0
2012	205	3	0	0		M	N	0
2011	173	30	24	19	62	M	N	1
2010	156	75	7	7	426	A	N	0
2010	193	17	13	8	62	M	N	1
2009	15	2	1	0		M	N	1
2008	58	25	2	2	420	A	N	1
2012	154	39	28	17	76	M	N	1
2011	58	7	2	0		A	N	1
2008	153	43	29	20	84	M	N	1
2010	113	65	1	1	415	A	N	0
2008	158	358	93	170	162	A	N	1
2010	49	24	4	2	85	M	N	0
2009	109	43	18	0		M	L	0
2011	141	14	1	2	67	M	N	0
2012	32	25	15	10	79	M	N	1
2011	130	46	1	3	92	M	N	0
2008	164	31	2	8	211	A	E	0
2010	125	2	0	0		A	N	1
2008	90	6	0	1	258	A	N	0
2008	107	11	2	0		M	L	0
2009	58	8	1	5	326	A	N	0
2010	23	437	140	141	290	A	N	1
2008	167	2	2	2	95	M	N	1
2012	29	9	5	3	80	M	N	1
2009	51	9	0	1	38	M	N	0
2012	31	8	1	0	40	M	L	0
2012	190	66	33	26	55	M	N	1
2012	176	14	10	5	72	M	N	1
2011	129	860	189	38	397	A	N	1
2010	58	20	5	2	425	A	N	1
2010	196	1389	673	167	449	A	N	1
2011	81	10	10	7	74	M	N	1
2011	107	1	0	0	9	M	N	1
2011	45	256	146	17	383	A	L	1
2011	153	41	27	16	80	M	N	1
2012	211	88	13	8	70	M	N	1
2012	127	74	26	19	337	A	N	1
2009	62	3	0	0		M	L	0
2012	214	241	12	43	300	A	N	0
2007	84	21	0	5	102	A	N	0
2008	195	84	6	3	424	A	N	0
2012	106	14	0	3	370	A	N	0
2009	120	3	0	0		A	N	0
2011	15	14	11	7	85	M	N	1
2009	89	2	2	2	69	M	N	1
2010	10	59	11	6	431	A	N	1
2009	153	58	28	13	80	M	E	1
2010	184	6	1	1	67	M	N	0
2010	17	120	71	49	41	M	N	1
2009	175	140	56	42	54	M	N	1
2012	9	1	0	0		M	N	0
2012	33	252	116	17	399	A	L	1
2011	74	48	2	17	310	A	N	0
2007	113	589	104	134	114	A	N	1
2010	159	97	5	24	317	A	N	0
2009	5	60	6	30	298	A	N	0
2007	158	90	4	6	80	A	N	0
2009	130	51	5	0		M	N	0
2012	42	28	12	8	70	M	N	1
2010	193	3	1	1	62	M	N	0
2012	15	9	3	2	84	M	N	1
2011	168	23	8	4	73	M	N	1
2012	17	107	67	51	49	M	N	1
2012	167	28	1	0	90	M	N	0
2007	76	8	0	0		A	N	0
2011	153	32	11	6	84	M	E	0
2007	115	477	208	125	125	A	N	1
2009	193	1	0	0		M	N	0
2011	214	546	133	33	435	A	N	1
2011	106	7	1	4	344	A	N	0
2012	150	1	0	0		M	N	0
2009	153	1	1	0		M	N	0
2011	110	1	0	0	1	M	N	1
2009	169	3	2	0		M	N	0
2010	176	11	8	5	77	M	N	1
2009	126	13	0	0		M	N	0
2011	24	2	0	0		M	N	0
2009	76	8	2	2	386	A	N	0
2011	44	126	45	39	378	A	N	1
2011	47	5	0	0		M	N	0
2009	23	309	94	107	273	A	N	1
2008	153	6	6	5	80	M	E	1
2012	36	2	2	0		M	N	0
2012	60	19	8	0		M	L	0
2011	27	15	0	2	75	M	N	0
2009	82	64	46	38	48	M	N	1
2012	9	5	1	2	90	M	N	1
2011	187	170	52	51	50	M	N	1
2011	154	7	1	1	96	M	N	0
2009	61	20	2	4	360	A	N	0
2010	153	83	38	23	78	M	E	1
2009	51	104	5	1	418	A	N	0
2008	60	42	30	16	86	M	L	0
2010	7	105	65	53	46	M	N	1
2009	175	42	4	1	95	M	N	0
2012	41	183	124	91	61	M	N	1
2010	205	3	0	0		M	N	0
2010	73	12	0	0		M	N	0
2012	57	41	1	1	90	M	N	0
2010	44	170	69	47	389	A	N	1
2011	93	92	2	10	418	A	N	0
2008	78	192	4	44	290	A	N	0
2010	117	6	5	3	45	M	N	1
2010	81	15	13	7	76	M	N	1
2010	201	84	18	0		A	L	1
2010	127	5	1	1	342	A	N	0
