2014. évi helyezés	2013. évi helyezés	Változás	Név	Klub	Klub ország	Születési hely	Életkor			
64	76		Marco Verratti	PSG	Franciaország	Olaszország	22			 
65			Vincent Enyeama	Lille	Franciaország	Nigéria	32			
66			Edin Dzeko	Manchester City	Anglia	Bosznia-Hercegovina	28			
67			Wilfried Bony	Swansea City	Wales	Elefántcsontpart	25			
68	56		Gonzalo Higuain	Napoli	Olaszország	Argentína	27			
69			John Terry	Chelsea	Anglia	Anglia	33			
70			Miroslav Klose	Lazio	Olaszország	Németország	36			
71	48		Mario Mandzukic	Atlético Madrid	Spanyolország	Horvátország	28			
72	24		Gianluigi Buffon	Juventus	Olaszország	Olaszország	36			
73			Jackson Martínez	Porto	Portugália	Kolumbia	28			
74			Antoine Griezmann	Atletico Madrid	Spanyolország	Franciaország	23			
75	49		Aaron Ramsey	Arsenal	Anglia	Wales	23			
76	64		Hugo Lloris	Tottenham Hotspur	Anglia	Franciaország	27			
77			Ezequiel Garay	Zenit St Petersburg	Oroszország	Argentína	28			
78			Luiz Adriano	Shakhtar Donetsk	Ukrajna	Brazília	27			
79	31		Francesco Totti	Roma	Olaszország	Olaszország	38			
80			Steven Gerrard	Liverpool	Anglia	Anglia	34			
81	41		Dani Alves	Barcelona	Spanyolország	Brazília	31			
82			Gervinho	Roma	Olaszország	Elefántcsontpart	27			
83	87		Mehdi Benatia	Bayern München	Németország	Marokkó	27			
84	94		Isco	Real Madrid	Spanyolország	Spanyolország	22			
85	116		Henrikh Mkhitaryan	Borussia Dortmund	Németország	Örményország	24			
86			José María Callejón	Napoli	Olaszország	Spanyolország	27			
87			Miranda	Atlético Madrid	Spanyolország	Brazília	30			
88			Iker Casillas	Real Madrid	Spanyolország	Spanyolország	32			
89			Daley Blind	Manchester United	Anglia	Hollandia	24			
90			Cesar Azpilicueta	Chelsea	Anglia	Spanyolország	25			
91	127		Jack Wilshere	Arsenal	Anglia	Anglia	22			
92			Hector Herrera	Porto	Portugália	Mexikó	24			
93	39		Gerard Pique	Barcelona	Spanyolország	Spanyolország	27			
94			Enner Valencia	West Ham United	Anglia	Ecuador	25			
95	50		David Luiz	PSG	Franciaország	Brazília	27			
96			Memphis Depay	PSV Eindhoven	Hollandia	Hollandia	20			
97	38		Daniele De Rossi	Roma	Olaszország	Olaszország	31			
98			Rogerio Ceni	Sao Paulo	Brazília	Brazília	41			
99			Radja Nainggolan	Roma	Olaszország	Belgium	26			
100			Seydou Doumbia	CSKA Moscow	Oroszország	Elefántcsontpart	26			
