muid	tipus	alkotoid
255	zene	69
267	szöveg	117
240	zene	154
381	szöveg	81
173	szöveg	76
88	zene	211
73	szöveg	213
211	szöveg	260
74	szöveg	81
89	zene	154
231	szöveg	170
84	zene	168
180	szöveg	208
31	szöveg	87
206	szöveg	245
400	szöveg	70
202	zene	247
188	szöveg	106
46	szöveg	106
233	zene	27
161	zene	131
88	szöveg	170
26	szöveg	140
253	szöveg	179
229	zene	16
55	zene	187
262	szöveg	169
396	szöveg	153
319	szöveg	36
156	zene	259
24	zene	27
74	zene	81
197	zene	6
90	zene	2
209	szöveg	61
37	zene	211
334	szöveg	106
378	fordítás	245
392	zene	82
235	zene	108
10	zene	81
315	zene	177
303	szöveg	76
66	szöveg	25
292	zene	247
55	szöveg	193
22	zene	211
154	szöveg	160
217	szöveg	29
331	szöveg	179
229	szöveg	107
277	zene	2
73	zene	247
185	fordítás	36
257	szöveg	196
266	szöveg	84
126	szöveg	72
155	zene	45
105	szöveg	160
258	zene	200
102	zene	267
27	szöveg	76
380	szöveg	160
321	szöveg	121
42	szöveg	42
10	szöveg	193
111	szöveg	230
16	zene	168
223	szöveg	55
230	szöveg	47
100	szöveg	140
355	szöveg	18
127	zene	81
392	szöveg	215
255	szöveg	217
144	szöveg	133
125	szöveg	106
205	szöveg	106
273	szöveg	110
94	zene	13
320	szöveg	216
228	szöveg	80
384	zene	247
90	szöveg	118
2	szöveg	141
303	zene	2
312	szöveg	218
374	szöveg	47
238	zene	232
6	szöveg	81
92	szöveg	92
281	zene	13
352	fordítás	47
302	szöveg	170
23	zene	165
77	szöveg	261
347	szöveg	183
172	szöveg	121
149	szöveg	118
78	szöveg	114
315	szöveg	118
240	zene	48
239	zene	247
246	zene	199
302	szöveg	140
168	szöveg	81
327	szöveg	159
324	szöveg	175
220	zene	176
277	szöveg	193
216	zene	82
192	szöveg	106
345	zene	48
165	zene	37
370	szöveg	106
378	zene	211
403	szöveg	47
358	zene	58
99	zene	60
159	zene	197
120	szöveg	240
274	szöveg	181
276	szöveg	245
204	szöveg	134
405	szöveg	189
112	szöveg	145
302	fordítás	76
102	szöveg	47
80	szöveg	81
160	szöveg	106
63	szöveg	235
272	szöveg	170
142	szöveg	160
294	szöveg	54
217	zene	45
390	zene	60
306	szöveg	106
393	szöveg	81
330	szöveg	73
405	fordítás	145
34	szöveg	106
164	zene	211
231	zene	2
63	zene	187
283	szöveg	156
79	zene	165
305	zene	60
48	zene	168
316	zene	258
273	zene	60
22	fordítás	245
369	zene	81
5	szöveg	47
250	szöveg	153
34	zene	48
244	szöveg	7
330	szöveg	170
154	szöveg	196
361	szöveg	153
346	zene	69
180	szöveg	78
172	szöveg	118
310	szöveg	258
18	szöveg	4
174	zene	164
19	zene	39
7	szöveg	59
365	zene	247
259	szöveg	153
381	zene	81
302	zene	2
52	szöveg	44
9	szöveg	19
307	zene	232
88	szöveg	73
27	zene	177
54	fordítás	7
289	zene	99
244	zene	210
408	szöveg	153
101	szöveg	52
314	zene	232
387	zene	39
83	zene	154
295	szöveg	33
203	szöveg	61
149	szöveg	202
116	szöveg	4
308	fordítás	56
346	szöveg	55
108	fordítás	245
228	szöveg	71
12	zene	48
59	zene	13
227	szöveg	184
335	zene	247
398	szöveg	249
401	zene	211
330	fordítás	47
82	szöveg	119
45	szöveg	221
312	zene	83
353	zene	247
303	szöveg	118
245	zene	39
50	zene	69
237	zene	82
148	szöveg	47
124	szöveg	77
372	szöveg	122
143	zene	192
104	zene	220
219	fordítás	145
328	szöveg	44
3	zene	57
72	szöveg	67
330	zene	211
163	szöveg	121
267	fordítás	84
164	fordítás	7
341	zene	48
200	zene	45
162	zene	195
408	zene	153
352	szöveg	93
145	szöveg	106
339	zene	101
60	zene	232
30	szöveg	81
116	zene	211
332	szöveg	173
193	szöveg	118
281	szöveg	68
142	szöveg	118
372	zene	48
10	szöveg	81
141	szöveg	125
269	szöveg	266
61	szöveg	196
169	zene	211
49	szöveg	44
189	zene	82
158	zene	39
58	szöveg	106
404	szöveg	157
272	zene	211
111	zene	232
71	szöveg	186
223	zene	153
373	zene	69
119	szöveg	106
334	zene	164
128	zene	69
410	szöveg	249
215	szöveg	72
161	szöveg	116
247	zene	164
96	szöveg	160
166	zene	63
311	szöveg	118
283	szöveg	79
171	zene	44
237	szöveg	209
341	szöveg	75
212	zene	69
269	szöveg	34
366	szöveg	233
325	zene	45
136	zene	13
36	zene	62
284	szöveg	130
121	szöveg	114
137	zene	48
298	zene	164
43	zene	232
280	zene	44
47	szöveg	14
231	szöveg	140
31	szöveg	72
153	szöveg	118
21	szöveg	179
194	zene	44
7	zene	247
190	szöveg	118
333	szöveg	71
81	szöveg	186
400	zene	264
385	szöveg	12
91	zene	62
42	szöveg	84
410	zene	232
248	szöveg	145
268	zene	111
101	zene	247
232	zene	211
288	zene	90
407	szöveg	153
175	zene	154
344	szöveg	56
191	szöveg	266
25	szöveg	81
73	szöveg	196
156	szöveg	55
12	szöveg	243
123	fordítás	36
275	zene	50
72	szöveg	184
171	szöveg	44
290	szöveg	257
118	szöveg	44
93	zene	154
365	szöveg	196
354	szöveg	142
54	zene	2
82	szöveg	15
59	zene	85
66	zene	132
137	szöveg	261
325	szöveg	9
379	zene	101
291	zene	211
336	szöveg	157
334	szöveg	121
361	zene	153
341	szöveg	84
389	szöveg	106
209	szöveg	113
39	zene	35
126	zene	210
407	zene	153
68	szöveg	249
382	zene	48
99	szöveg	133
120	zene	258
318	zene	81
258	szöveg	139
38	szöveg	44
282	szöveg	162
100	zene	39
234	zene	13
208	zene	232
160	zene	192
13	szöveg	66
138	zene	154
265	szöveg	244
123	szöveg	80
162	zene	127
23	szöveg	47
263	szöveg	145
44	szöveg	44
254	zene	192
67	szöveg	157
291	szöveg	227
370	zene	199
115	szöveg	125
233	szöveg	47
280	szöveg	44
191	zene	211
51	szöveg	214
172	zene	48
374	zene	44
65	szöveg	243
203	zene	211
360	zene	168
371	szöveg	245
294	zene	3
87	szöveg	65
208	szöveg	184
202	szöveg	172
184	zene	267
170	zene	129
362	szöveg	24
67	szöveg	101
158	szöveg	125
409	szöveg	7
243	zene	82
158	fordítás	102
335	szöveg	56
378	szöveg	150
36	zene	10
402	zene	154
131	zene	168
245	szöveg	260
385	szöveg	7
409	zene	94
46	zene	168
1	zene	247
28	zene	211
86	zene	258
362	zene	136
298	szöveg	106
277	szöveg	105
301	szöveg	106
334	szöveg	163
178	zene	228
368	fordítás	145
285	szöveg	249
28	fordítás	84
40	fordítás	84
20	zene	81
26	zene	211
85	szöveg	241
387	szöveg	265
19	szöveg	160
379	szöveg	151
386	szöveg	157
219	szöveg	152
406	szöveg	106
364	szöveg	225
356	zene	39
386	zene	210
295	zene	30
200	szöveg	196
370	szöveg	118
351	szöveg	196
185	zene	211
170	szöveg	106
344	zene	178
246	szöveg	118
179	szöveg	36
82	fordítás	102
239	szöveg	196
243	szöveg	118
103	szöveg	106
363	szöveg	249
261	szöveg	238
286	szöveg	249
217	szöveg	115
123	zene	211
404	zene	57
360	szöveg	47
380	zene	210
232	fordítás	84
349	zene	81
56	szöveg	196
225	zene	199
300	szöveg	160
412	szöveg	260
187	zene	6
183	fordítás	84
264	zene	190
210	zene	164
150	szöveg	104
218	zene	195
297	zene	178
367	zene	210
114	zene	39
218	zene	127
401	szöveg	234
211	zene	69
337	szöveg	248
213	zene	50
38	zene	44
359	szöveg	72
37	szöveg	61
295	szöveg	263
226	szöveg	205
358	szöveg	160
316	szöveg	249
137	szöveg	258
359	szöveg	179
293	zene	44
123	szöveg	266
173	szöveg	118
148	zene	168
240	szöveg	209
115	zene	211
15	zene	153
304	zene	153
130	zene	164
130	szöveg	47
154	zene	247
308	zene	39
29	szöveg	106
127	szöveg	81
129	szöveg	44
182	szöveg	222
176	szöveg	186
278	szöveg	153
151	szöveg	106
214	szöveg	112
139	zene	13
194	szöveg	44
351	zene	247
232	szöveg	80
162	szöveg	142
318	szöveg	81
218	szöveg	142
320	zene	37
311	zene	2
354	zene	232
141	fordítás	56
124	fordítás	201
129	zene	44
272	fordítás	47
29	zene	48
147	szöveg	160
29	szöveg	163
350	szöveg	260
177	szöveg	120
47	zene	16
66	zene	41
306	zene	48
18	fordítás	84
206	szöveg	261
105	zene	143
333	fordítás	84
284	zene	180
77	zene	164
95	zene	81
382	szöveg	18
331	zene	258
37	szöveg	150
40	zene	39
292	szöveg	31
389	zene	82
176	zene	197
270	zene	89
263	szöveg	96
357	szöveg	113
315	szöveg	249
308	szöveg	161
377	zene	153
274	zene	258
316	szöveg	213
181	zene	187
177	szöveg	251
85	zene	62
161	szöveg	142
21	zene	197
8	zene	165
33	zene	168
118	zene	232
279	szöveg	74
41	zene	168
49	zene	44
342	zene	192
355	zene	2
399	szöveg	160
353	szöveg	193
227	szöveg	38
12	szöveg	14
368	szöveg	150
343	szöveg	260
97	zene	192
51	zene	247
132	szöveg	113
56	zene	82
83	szöveg	162
296	zene	35
108	szöveg	125
273	szöveg	159
265	zene	177
221	szöveg	198
187	szöveg	44
296	szöveg	204
196	szöveg	25
231	fordítás	47
62	zene	197
157	fordítás	36
86	szöveg	163
358	szöveg	56
117	zene	81
141	zene	39
176	szöveg	245
142	zene	258
329	zene	211
219	zene	168
368	zene	211
25	zene	81
235	szöveg	212
135	zene	164
386	szöveg	74
236	zene	168
292	szöveg	196
120	szöveg	216
116	fordítás	47
340	szöveg	193
7	szöveg	196
349	szöveg	81
230	zene	165
40	szöveg	125
376	zene	44
60	szöveg	230
269	zene	39
93	szöveg	118
57	zene	232
146	szöveg	157
147	zene	69
321	zene	258
299	szöveg	261
44	zene	44
205	zene	247
163	zene	199
122	szöveg	184
270	szöveg	242
242	szöveg	74
168	zene	81
271	zene	48
137	szöveg	196
326	zene	35
58	szöveg	163
214	zene	60
92	szöveg	203
64	szöveg	114
364	zene	62
397	zene	197
352	szöveg	140
174	szöveg	106
141	szöveg	140
175	szöveg	207
260	zene	44
340	szöveg	223
399	zene	187
402	szöveg	106
406	zene	210
394	szöveg	47
299	zene	210
16	szöveg	47
324	zene	62
279	zene	168
6	zene	81
149	zene	48
201	zene	187
76	szöveg	160
5	zene	177
331	szöveg	72
250	zene	210
383	zene	48
212	szöveg	7
267	szöveg	266
282	zene	154
247	szöveg	106
15	szöveg	153
305	szöveg	47
132	szöveg	265
287	szöveg	160
13	zene	35
375	zene	192
371	szöveg	160
395	zene	155
60	szöveg	249
249	szöveg	227
114	szöveg	160
275	szöveg	32
266	zene	210
196	zene	178
166	szöveg	206
155	szöveg	91
323	szöveg	87
283	szöveg	160
335	szöveg	221
269	fordítás	47
134	zene	164
179	szöveg	260
291	fordítás	262
94	szöveg	142
45	zene	2
190	zene	210
234	szöveg	8
242	szöveg	160
178	szöveg	228
257	zene	247
282	szöveg	121
31	zene	258
286	zene	232
18	zene	211
228	zene	211
276	zene	210
160	szöveg	163
78	zene	147
109	szöveg	230
285	zene	232
42	zene	143
240	szöveg	106
238	szöveg	253
357	fordítás	36
287	zene	69
363	zene	197
224	zene	177
312	szöveg	240
110	szöveg	47
274	szöveg	72
197	szöveg	44
107	zene	137
1	szöveg	249
72	zene	98
322	zene	192
261	zene	63
203	szöveg	113
297	szöveg	52
98	zene	44
31	szöveg	118
395	szöveg	17
159	szöveg	179
103	zene	192
32	zene	164
96	zene	143
221	zene	148
394	zene	164
299	szöveg	245
342	szöveg	160
213	szöveg	128
376	szöveg	47
26	fordítás	84
279	szöveg	193
185	szöveg	150
217	szöveg	75
183	szöveg	138
182	zene	154
124	zene	45
136	szöveg	256
40	szöveg	140
401	fordítás	145
84	szöveg	59
157	szöveg	266
83	szöveg	121
169	szöveg	255
14	zene	164
133	zene	69
19	szöveg	260
320	szöveg	240
195	szöveg	81
67	zene	177
309	zene	164
189	szöveg	118
158	fordítás	245
199	szöveg	47
33	szöveg	47
256	zene	164
255	fordítás	36
57	szöveg	97
138	szöveg	106
145	zene	48
68	zene	232
251	zene	187
150	szöveg	20
102	zene	64
113	zene	81
181	szöveg	74
112	zene	69
157	szöveg	80
183	zene	69
158	szöveg	140
350	zene	192
383	szöveg	106
131	szöveg	47
290	zene	60
106	szöveg	160
188	zene	154
108	szöveg	140
98	szöveg	44
262	zene	158
201	szöveg	160
4	zene	62
222	szöveg	261
48	szöveg	160
47	szöveg	64
377	szöveg	153
92	zene	232
109	zene	62
350	szöveg	160
200	szöveg	216
57	szöveg	249
208	szöveg	11
236	szöveg	47
43	szöveg	142
54	szöveg	140
139	szöveg	167
326	szöveg	47
13	fordítás	145
108	zene	39
51	szöveg	191
255	szöveg	135
366	zene	13
203	fordítás	75
100	szöveg	125
388	szöveg	84
74	szöveg	84
63	fordítás	47
226	szöveg	146
151	szöveg	87
51	fordítás	118
355	szöveg	196
22	szöveg	113
35	szöveg	260
153	szöveg	172
195	zene	81
87	zene	65
58	zene	2
113	szöveg	81
322	szöveg	160
348	szöveg	249
411	zene	48
173	zene	2
52	zene	44
325	szöveg	161
30	zene	81
115	szöveg	140
411	szöveg	106
210	szöveg	54
313	szöveg	72
246	szöveg	261
89	szöveg	216
100	fordítás	87
319	zene	69
338	szöveg	87
327	zene	16
267	zene	211
91	szöveg	230
125	zene	48
338	zene	210
209	fordítás	245
368	fordítás	188
215	zene	82
312	szöveg	216
206	zene	164
390	szöveg	185
391	zene	237
2	szöveg	7
114	szöveg	74
226	zene	27
345	szöveg	106
32	szöveg	118
157	zene	211
64	zene	48
82	zene	129
45	szöveg	118
356	szöveg	260
64	szöveg	56
17	zene	164
225	szöveg	28
216	szöveg	106
184	szöveg	64
169	fordítás	47
384	szöveg	196
242	zene	187
202	zene	37
155	fordítás	209
55	szöveg	223
104	szöveg	220
152	zene	164
167	zene	48
333	zene	39
27	szöveg	74
391	szöveg	213
291	fordítás	236
323	zene	48
337	zene	82
121	zene	48
61	szöveg	59
397	szöveg	184
8	szöveg	47
17	szöveg	72
388	zene	50
367	szöveg	245
332	zene	43
35	zene	192
134	szöveg	47
133	szöveg	7
91	szöveg	182
89	szöveg	229
310	zene	258
132	zene	211
198	zene	81
183	szöveg	124
81	zene	199
256	szöveg	123
151	zene	37
26	szöveg	125
393	zene	81
263	zene	166
328	zene	44
186	szöveg	107
