Magyarország városai

A keresett város:	Megye	Népesség	Terület	Irányítószám	Mióta város
Székesfehérvár


	Statisztikai adatok:			Egy évszám:	2004
	Magyarország lakossága:	9932000
	Ebből városlakó (fő):
	Ebből városlakó (%):

	Városok száma megyénként:
	Bács-Kiskun
	Baranya
	Békés
	Borsod-Abaúj-Zemplén
	Budapest
	Csongrád
	Fejér
	Győr-Moson-Sopron
	Hajdú-Bihar
	Heves
	Jász-Nagykun-Szolnok
	Komárom-Esztergom
	Nógrád
	Pest
	Somogy
	Szabolcs-Szatmár-Bereg
	Tolna
	Vas
	Veszprém
	Zala


Név	Megye	Népesség	Terület	Irányítószám	Mióta város	Népsűrűség
Aba	Fejér	4619	88,05	8127	2013
Kapuvár	Győr-Moson-Sopron	10353	96,05	9330	1969
Karcag	Jász-Nagykun-Szolnok	19980	368,63	5300	1885 előtt
Kazincbarcika	Borsod-Abaúj-Zemplén	28664	36,67	3700	1954
Kecel	Bács-Kiskun	8687	114,48	6237	1993
Kecskemét	Bács-Kiskun	114226	322,57	6000	1885 előtt
Kemecse	Szabolcs-Szatmár-Bereg	4736	38,94	4501	2005
Kenderes	Jász-Nagykun-Szolnok	4647	111,24	5331	2004
Kerekegyháza	Bács-Kiskun	6300	81,28	6041	2001
Kerepes	Pest	10087	24,08	2144	2013
Keszthely	Zala	20895	75,98	8360	1954
Kisbér	Komárom-Esztergom	5282	52,16	2870	1986
Kisköre	Heves	2653	68,42	3384	2005
Kiskőrös	Bács-Kiskun	14259	102,23	6200	1973
Kiskunfélegyháza	Bács-Kiskun	29972	256,3	6100	1885 előtt
Kiskunhalas	Bács-Kiskun	28427	227,58	6400	1885 előtt
Kiskunmajsa	Bács-Kiskun	11766	221,99	6120	1989
Kistarcsa	Pest	11975	11,02	2143	2005
Kistelek	Csongrád	7020	69,19	6760	1989
Kisújszállás	Jász-Nagykun-Szolnok	11367	205,27	5310	1885 előtt
Kisvárda	Szabolcs-Szatmár-Bereg	16473	35,91	4600	1970
Komádi	Hajdú-Bihar	5172	144,65	4138	2001
Komárom	Komárom-Esztergom	19729	70,16	2900	1885 előtt
Komló	Baranya	25020	46,55	7300	1951
Kondoros	Békés	5201	81,84	5553	2013
Kozármisleny	Baranya	6109	14,45	7761	2007
Körmend	Vas	11676	52,79	9900	1978
Körösladány	Békés	4582	123,79	5516	2007
Kőszeg	Vas	12055	54,66	9730	1885 előtt
Kunhegyes	Jász-Nagykun-Szolnok	7483	148,93	5340	1989
Kunszentmárton	Jász-Nagykun-Szolnok	8373	143,65	5440	1986
Kunszentmiklós	Bács-Kiskun	8515	172,11	6090	1989
Lábatlan	Komárom-Esztergom	4992	26,35	2541	2004
Lajosmizse	Bács-Kiskun	11073	164,66	6050	1993
Lébény	Győr-Moson-Sopron	3159	81,39	9155	2013
Lengyeltóti	Somogy	3227	39,57	8693	1992
Lenti	Zala	7971	73,8	8960	1978
Létavértes	Hajdú-Bihar	7090	116,62	4281	1996
Letenye	Zala	4053	41,74	8868	1989
Lőrinci	Heves	5880	23,53	3021	1992
Maglód	Pest	11989	22,37	2234	2007
Mágocs	Baranya	2388	42,54	7342	2009
Makó	Csongrád	23573	229,23	6900	1885 előtt
Mándok	Szabolcs-Szatmár-Bereg	4188	28,91	4644	2007
Marcali	Somogy	11567	104,4	8700	1977
Máriapócs	Szabolcs-Szatmár-Bereg	2042	22,09	4326	1993
Martfű	Jász-Nagykun-Szolnok	6435	23,08	5435	1989
Martonvásár	Fejér	5811	31,25	2462	2005
Mátészalka	Szabolcs-Szatmár-Bereg	16957	41,4	4700	1969
Medgyesegyháza	Békés	3691	64,29	5666	2009
Mélykút	Bács-Kiskun	5081	123,46	6449	2009
Mezőberény	Békés	10896	118,53	5650	1989
Mezőcsát	Borsod-Abaúj-Zemplén	5891	103,08	3450	1991
Mezőhegyes	Békés	4994	155,44	5820	1989
Mezőkeresztes	Borsod-Abaúj-Zemplén	3803	74,25	3441	2009
Mezőkovácsháza	Békés	6049	62,59	5800	1986
Mezőkövesd	Borsod-Abaúj-Zemplén	16538	100,49	3400	1973
Mezőtúr	Jász-Nagykun-Szolnok	17337	289,72	5400	1885 előtt
Mindszent	Csongrád	6685	59,35	6630	1993
Miskolc	Borsod-Abaúj-Zemplén	166823	236,66	3500	1885 előtt
Mohács	Baranya	18604	112,23	7700	1924
Monor	Pest	18395	46,79	2200	1989
Mór	Fejér	14255	108,61	8060	1984
Mórahalom	Csongrád	6067	83,15	6782	1989
Mosonmagyaróvár	Győr-Moson-Sopron	32720	84,11	9200	1921
Nádudvar	Hajdú-Bihar	8768	225,91	4181	1989
Nagyatád	Somogy	10734	70,6	7500	1971
Nagybajom	Somogy	3431	108,06	7561	2001
Nagyecsed	Szabolcs-Szatmár-Bereg	6042	43,85	4355	1997
Nagyhalász	Szabolcs-Szatmár-Bereg	5589	44,31	4485	1993
Nagykálló	Szabolcs-Szatmár-Bereg	9870	68,52	4320	1989
Nagykanizsa	Zala	49302	148,4	8800	1885 előtt
Nagykáta	Pest	12563	81,61	2760	1989
Nagykőrös	Pest	24433	227,94	2750	1885 előtt
Nagymányok	Tolna	2273	10,68	7355	2009
Nagymaros	Pest	4770	34,37	2626	1996
Nyékládháza	Borsod-Abaúj-Zemplén	5001	24,67	3433	2003
Nyergesújfalu	Komárom-Esztergom	7552	39,5	2536	1989
Nyíradony	Hajdú-Bihar	7798	96,59	4254	1992
Nyírbátor	Szabolcs-Szatmár-Bereg	12018	66,73	4300	1973
Nyíregyháza	Szabolcs-Szatmár-Bereg	117658	274,54	4400	1885 előtt
Nyírlugos	Szabolcs-Szatmár-Bereg	2701	58,38	4371	2005
Nyírmada	Szabolcs-Szatmár-Bereg	4762	38,8	4564	2009
Nyírtelek	Szabolcs-Szatmár-Bereg	6783	67,92	4461	2005
Ócsa	Pest	9136	81,66	2364	2005
Onga	Borsod-Abaúj-Zemplén	4775	31,49	3562	2013
Orosháza	Békés	28910	202,22	5900	1946
Oroszlány	Komárom-Esztergom	18627	75,86	2840	1954
Ózd	Borsod-Abaúj-Zemplén	33750	91,65	3600	1949
Őrbottyán	Pest	7439	27,38	2162	2013
Őriszentpéter	Vas	1167	33,56	9941	2005
Örkény	Pest	4966	36,44	2377	2004
Pacsa	Zala	1758	22,71	8761	2009
Paks	Tolna	19510	154,08	7030	1978
Pálháza	Borsod-Abaúj-Zemplén	1000	6,75	3994	2005
Pannonhalma	Győr-Moson-Sopron	3937	29,58	9090	2000
Pápa	Veszprém	32052	91,62	8500	1885 előtt
Pásztó	Nógrád	9569	72,6	3060	1984
Pécel	Pest	15437	43,63	2119	1996
Pécs	Baranya	156801	162,77	7600	1885 előtt
Pécsvárad	Baranya	4022	36,03	7720	1993
Pétervására	Heves	2464	33,87	3250	1989
Pilis	Pest	11460	47,35	2721	2005
Piliscsaba	Pest	8381	25,57	2081	2013
Pilisvörösvár	Pest	13768	24,3	2085	1997
Polgár	Hajdú-Bihar	7915	97,44	4090	1993
Polgárdi	Fejér	6964	72,16	8154	1997
Pomáz	Pest	17101	49,03	2013	2000
Pusztaszabolcs	Fejér	5997	51,67	2490	2008
Putnok	Borsod-Abaúj-Zemplén	6634	34,72	3630	1989
Püspökladány	Hajdú-Bihar	14698	186,95	4150	1986
Rácalmás	Fejér	4488	40,64	2459	2009
Ráckeve	Pest	10022	64,09	2300	1989
Rakamaz	Szabolcs-Szatmár-Bereg	4545	42,64	4465	2000
Rákóczifalva	Jász-Nagykun-Szolnok	5359	35,94	5085	2009
Répcelak	Vas	2414	13,82	9653	2001
Rétság	Nógrád	2895	19,81	2651	1989
Rudabánya	Borsod-Abaúj-Zemplén	2488	16,46	3733	2008
Sajóbábony	Borsod-Abaúj-Zemplén	2782	13,43	3792	2009
Sajószentpéter	Borsod-Abaúj-Zemplén	11965	34,85	3770	1989
Salgótarján	Nógrád	36467	100,83	3100	1922
Sándorfalva	Csongrád	7953	55,77	6762	2005
Sárbogárd	Fejér	12448	189,33	7000	1986
Sarkad	Békés	10011	125,57	5720	1989
Sárospatak	Borsod-Abaúj-Zemplén	12590	139,11	3950	1968
Sárvár	Vas	14764	64,65	9600	1968
Sásd	Baranya	3282	14,88	7370	1995
Sátoraljaújhely	Borsod-Abaúj-Zemplén	15355	73,46	3980	1899
Sellye	Baranya	2752	25,18	7960	1997
Siklós	Baranya	9631	50,92	7800	1977
Simontornya	Tolna	4028	33,83	7081	1995
Siófok	Somogy	24375	124,66	8600	1968
Solt	Bács-Kiskun	6285	132,67	6320	1997
Soltvadkert	Bács-Kiskun	7433	108,86	6230	1993
Sopron	Győr-Moson-Sopron	61390	169,01	9400	1885 előtt
Sülysáp	Pest	8292	47,19	2241	2013
Sümeg	Veszprém	6190	64,13	8330	1984
Szabadszállás	Bács-Kiskun	5896	164,62	6080	1995
Szarvas	Békés	17007	161,57	5540	1966
Százhalombatta	Pest	18896	28,06	2440	1970
Szécsény	Nógrád	5682	45,83	3170	1986
Szeged	Csongrád	170052	281	6700	1885 előtt
Szeghalom	Békés	9115	217,13	5520	1984
Székesfehérvár	Fejér	101722	170,89	8000	1885 előtt
Szekszárd	Tolna	33311	96,28	7100	1905
Szendrő	Borsod-Abaúj-Zemplén	4062	53,56	3752	1996
Szentendre	Pest	26250	43,82	2000	1885 előtt
Szentes	Csongrád	28476	353,25	6600	1885 előtt
Szentgotthárd	Vas	8839	67,73	9970	1983
Szentlőrinc	Baranya	6848	27,81	7940	1996
Szerencs	Borsod-Abaúj-Zemplén	9100	36,68	3900	1984
Szigethalom	Pest	17436	9,12	2315	2004
Szigetszentmiklós	Pest	34877	45,65	2310	1986
Szigetvár	Baranya	10772	39,51	7900	1966
Szikszó	Borsod-Abaúj-Zemplén	5348	36,23	3800	1989
Szob	Pest	2915	17,97	2628	2000
Szolnok	Jász-Nagykun-Szolnok	74341	187,24	5000	1885 előtt
Szombathely	Vas	79348	97,5	9700	1885 előtt
Tab	Somogy	4242	25,86	8660	1989
Tamási	Tolna	8389	111,96	7090	1984
Tápiószele	Pest	6122	36,99	2766	2009
Tapolca	Veszprém	15596	63,46	8300	1966
Tát	Komárom-Esztergom	5343	12,18	2534	2013
Tata	Komárom-Esztergom	24906	78,16	2890	1954
Tatabánya	Komárom-Esztergom	70003	91,42	2800	1947
Téglás	Hajdú-Bihar	6637	38,33	4243	1991
Tét	Győr-Moson-Sopron	3877	56,35	9100	2001
Tiszacsege	Hajdú-Bihar	4481	136,4	4066	2000
Tiszaföldvár	Jász-Nagykun-Szolnok	11120	80,34	5430	1993
Tiszafüred	Jász-Nagykun-Szolnok	10694	162,18	5350	1984
Tiszakécske	Bács-Kiskun	11237	133,27	6060	1986
Tiszalök	Szabolcs-Szatmár-Bereg	5517	58,72	4450	1992
Tiszaújváros	Borsod-Abaúj-Zemplén	16557	46,04	3580	1966
Tiszavasvári	Szabolcs-Szatmár-Bereg	12551	128,53	4440	1986
Tokaj	Borsod-Abaúj-Zemplén	4839	28,2	3910	1986
Tolna	Tolna	11367	71,07	7130	1989
Tompa	Bács-Kiskun	4543	81,57	6422	2004
Tótkomlós	Békés	5780	125,05	5940	1993
Tököl	Pest	10416	38,49	2316	2001
Törökbálint	Pest	13587	29,4	2045	2007
Törökszentmiklós	Jász-Nagykun-Szolnok	21043	185,16	5200	1952
Tura	Pest	7731	55,92	2194	2001
Túrkeve	Jász-Nagykun-Szolnok	8741	236,52	5420	1885 előtt
Újfehértó	Szabolcs-Szatmár-Bereg	13005	140,88	4244	1992
Újhartyán	Pest	2780	22,43	2362	2013
Újkígyós	Békés	5235	54,92	5661	2009
Újszász	Jász-Nagykun-Szolnok	6360	58,2	5052	1997
Üllő	Pest	11435	48,1	2225	2005
Vác	Pest	34810	61,6	2600	1885 előtt
Vaja	Szabolcs-Szatmár-Bereg	3545	28,61	4562	2009
Vámospércs	Hajdú-Bihar	5263	58,19	4287	2001
Várpalota	Veszprém	20305	77,26	8100	1951
Vásárosnamény	Szabolcs-Szatmár-Bereg	8670	65,66	4800	1978
Vasvár	Vas	4127	55,1	9800	1986
Vecsés	Pest	20910	36,17	2220	2001
Velence	Fejér	5359	33,37	2481	2004
Vép	Vas	3358	32,89	9751	2009
Veresegyház	Pest	16892	28,56	2112	1999
Verpelét	Heves	3812	53,18	3351	2013
Veszprém	Veszprém	64024	126,9	8200	1885 előtt
Vésztő	Békés	6680	125,7	5530	2001
Villány	Baranya	2474	22,02	7773	2000
Visegrád	Pest	1863	33,27	2025	2000
Záhony	Szabolcs-Szatmár-Bereg	3978	6,96	4625	1989
Zalaegerszeg	Zala	61849	102,41	8900	1885
Zalakaros	Zala	1846	17,17	8749	1997
Zalalövő	Zala	3021	52,64	8999	2000
Zalaszentgrót	Zala	6473	74,65	8790	1984
Zamárdi	Somogy	2363	45,15	8621	2008
Zirc	Veszprém	7096	37,4	8420	1984
Zsámbék	Pest	5480	33,66	2072	2009
