ablak	szolgaltatasid	erkezett	sorrakerult	tavozott
2	4	8:32:45	8:37:00	8:38:12
3	5	8:33:17	8:41:47	8:42:50
1	5	8:33:17	8:38:48	8:40:04
6	5	8:33:53	8:38:46	8:40:20
5	4	8:34:04	8:36:56	8:38:49
1	3	8:34:08	8:40:11	8:41:30
5	5	8:34:22	8:38:57	8:40:37
4	5	8:34:22	8:44:24	8:45:33
6	5	8:34:44	8:40:27	8:41:30
3	3	8:34:45	8:42:58	8:44:21
4	5	8:35:05	8:45:39	8:46:53
2	4	8:35:22	8:38:18	8:39:54
5	4	8:35:39	8:40:41	8:42:27
2	2	8:36:17	8:40:00	8:43:02
1	3	8:36:32	8:41:37	8:42:54
2	3	8:37:03	8:43:10	8:44:34
4	3	8:37:06	8:46:57	8:48:31
3	4	8:37:07	8:44:25	8:45:45
6	2	8:37:11	8:41:37	8:44:25
5	3	8:37:21	8:42:34	8:43:55
2	5	8:37:33	8:44:38	8:45:36
3	4	8:38:42	8:45:48	8:47:30
5	1	8:38:43	8:44:00	8:48:03
5	2	8:39:03	8:48:07	8:49:41
4	2	8:39:08	8:48:37	8:51:22
3	2	8:39:11	8:47:33	8:48:49
1	4	8:39:22	8:43:02	8:44:23
6	4	8:39:50	8:44:33	8:46:08
3	4	8:40:08	8:48:57	8:50:17
2	4	8:40:12	8:45:41	8:47:01
1	4	8:40:43	8:44:29	8:45:59
2	4	8:40:49	8:47:04	8:48:42
6	3	8:41:24	8:46:14	8:47:31
5	3	8:41:31	8:49:47	8:50:54
2	4	8:41:51	8:48:47	8:49:56
4	3	8:41:55	8:51:26	8:52:55
1	3	8:41:56	8:46:04	8:47:40
3	5	8:42:45	8:50:21	8:51:32
4	3	8:42:57	8:53:02	8:54:38
2	3	8:43:06	8:50:00	8:51:20
6	5	8:43:16	8:47:38	8:48:30
5	5	8:43:54	8:51:00	8:51:50
3	5	8:44:22	8:51:40	8:52:43
4	5	8:44:29	8:54:45	8:56:22
6	4	8:44:31	8:48:38	8:50:43
1	3	8:44:36	8:47:46	8:49:12
2	4	8:45:08	8:51:25	8:53:06
6	3	8:45:26	8:50:50	8:52:26
3	5	8:45:30	8:52:47	8:54:22
5	5	8:45:30	8:51:55	8:53:34
3	4	8:45:58	8:54:26	8:56:04
1	2	8:46:14	8:49:16	8:51:16
4	4	8:46:33	8:56:26	8:58:04
1	4	8:47:08	8:51:22	8:53:10
6	1	8:47:20	8:52:34	8:56:19
5	3	8:47:38	8:53:41	8:54:56
4	3	8:47:48	8:58:09	8:59:35
2	4	8:47:55	8:53:14	8:54:25
3	5	8:48:08	8:56:08	8:57:49
6	5	8:48:17	8:56:24	8:57:41
1	4	8:48:42	8:53:18	8:55:11
4	4	8:49:05	8:59:41	9:01:02
2	3	8:49:10	8:54:28	8:55:50
1	3	8:49:30	8:55:15	8:56:43
6	4	8:49:49	8:57:47	8:59:23
5	5	8:50:08	8:55:01	8:55:55
3	2	8:50:09	8:57:57	8:59:54
6	3	8:50:57	8:59:31	9:01:09
4	2	8:51:24	9:01:06	9:03:49
5	4	8:51:47	8:56:02	8:57:38
1	3	8:51:54	8:56:46	8:58:03
2	2	8:52:04	8:55:53	8:58:11
3	5	8:52:37	8:59:57	9:01:18
1	4	8:53:00	8:58:06	8:59:35
2	4	8:53:04	8:58:17	8:59:59
1	3	8:53:23	8:59:38	9:01:13
6	4	8:53:26	9:01:14	9:03:20
5	1	8:53:42	8:57:42	9:00:20
3	4	8:53:46	9:01:25	9:02:41
4	5	8:53:56	9:03:54	9:05:24
2	1	8:54:37	9:00:05	9:03:31
3	4	8:55:17	9:02:47	9:03:46
6	3	8:55:20	9:03:27	9:04:57
2	5	8:55:57	9:03:39	9:04:52
3	3	8:56:03	9:03:51	9:05:00
1	4	8:56:11	9:01:20	9:02:54
4	1	8:56:21	9:05:31	9:08:34
5	4	8:56:33	9:00:28	9:01:49
1	4	8:56:53	9:03:01	9:04:36
3	1	8:57:07	9:05:07	9:07:15
6	5	8:57:18	9:05:02	9:06:26
5	3	8:57:32	9:01:53	9:03:15
2	5	8:57:49	9:04:56	9:06:20
4	5	8:58:17	9:08:37	9:09:40
2	5	8:58:24	9:06:27	9:08:02
4	5	8:59:17	9:09:45	9:10:56
6	1	8:59:29	9:06:31	9:08:08
1	3	8:59:34	9:04:41	9:06:02
5	3	8:59:42	9:03:18	9:04:31
3	4	8:59:43	9:07:23	9:09:27
4	4	9:00:27	9:11:03	9:12:35
2	4	9:00:34	9:08:10	9:09:32
5	3	9:00:38	9:04:38	9:06:08
1	5	9:00:50	9:06:08	9:07:29
2	2	9:00:53	9:09:39	9:12:33
6	5	9:01:17	9:08:12	9:09:49
3	4	9:01:29	9:09:30	9:11:28
1	4	9:01:45	9:07:33	9:09:39
2	4	9:02:03	9:12:39	9:14:44
4	5	9:02:07	9:12:39	9:14:11
5	2	9:03:18	9:06:12	9:08:56
4	2	9:03:28	9:14:18	9:15:29
6	1	9:03:43	9:09:57	9:13:13
3	5	9:03:43	9:11:34	9:13:05
4	2	9:04:00	9:15:36	9:17:33
2	3	9:04:01	9:14:51	9:16:28
5	4	9:04:04	9:09:00	9:10:21
6	3	9:04:32	9:13:18	9:14:35
1	3	9:04:42	9:09:46	9:11:06
1	5	9:05:30	9:11:12	9:12:43
4	4	9:05:31	9:17:38	9:18:42
6	5	9:05:46	9:14:42	9:16:18
2	4	9:06:14	9:16:36	9:17:58
3	2	9:06:41	9:13:13	9:15:17
5	5	9:06:47	9:10:26	9:11:39
6	5	9:06:52	9:16:24	9:17:45
2	4	9:07:14	9:18:03	9:19:12
1	4	9:07:18	9:12:51	9:14:25
4	3	9:07:28	9:18:45	9:19:52
5	3	9:07:40	9:11:44	9:13:21
2	5	9:08:09	9:19:20	9:20:40
3	5	9:08:37	9:15:23	9:16:38
1	5	9:08:39	9:14:29	9:16:10
4	3	9:08:50	9:19:56	9:21:06
5	5	9:09:29	9:13:26	9:14:32
6	3	9:09:33	9:17:49	9:19:20
2	5	9:10:17	9:20:45	9:22:31
6	2	9:10:18	9:19:25	9:21:26
4	1	9:10:19	9:21:11	9:23:09
5	3	9:10:31	9:14:39	9:16:01
3	5	9:10:34	9:16:45	9:18:19
1	3	9:11:30	9:16:15	9:17:44
4	4	9:11:54	9:23:12	9:24:18
3	3	9:12:01	9:18:25	9:19:55
2	5	9:12:36	9:22:35	9:24:07
4	1	9:12:52	9:24:24	9:26:22
6	4	9:12:58	9:21:32	9:23:29
3	4	9:13:03	9:19:58	9:21:38
1	1	9:13:04	9:17:52	9:20:51
5	1	9:13:06	9:16:08	9:19:50
2	5	9:14:32	9:24:14	9:25:40
3	2	9:14:39	9:21:43	9:23:31
5	4	9:15:11	9:19:55	9:21:10
4	3	9:15:11	9:26:26	9:27:45
6	5	9:15:21	9:23:34	9:24:40
1	4	9:15:51	9:20:55	9:22:07
2	5	9:16:01	9:25:45	9:27:20
5	4	9:16:20	9:21:18	9:22:56
1	5	9:16:21	9:22:12	9:23:06
3	5	9:16:31	9:23:35	9:25:20
2	5	9:16:36	9:27:25	9:28:26
6	5	9:17:10	9:24:47	9:26:11
5	4	9:17:17	9:23:02	9:24:55
1	5	9:17:28	9:23:11	9:24:05
4	1	9:17:53	9:27:50	9:29:45
3	2	9:17:58	9:25:28	9:28:17
2	2	9:18:07	9:28:31	9:30:32
6	5	9:18:55	9:26:16	9:27:29
4	2	9:19:26	9:29:50	9:31:02
5	3	9:19:48	9:25:00	9:26:16
1	2	9:19:55	9:24:09	9:26:44
3	3	9:20:01	9:28:25	9:30:01
2	4	9:20:06	9:30:36	9:32:12
5	5	9:21:19	9:26:21	9:27:36
6	5	9:21:51	9:27:37	9:29:13
2	3	9:22:16	9:32:16	9:33:24
4	4	9:22:24	9:31:05	9:32:33
1	5	9:22:50	9:26:52	9:28:39
5	4	9:22:52	9:27:41	9:28:36
3	2	9:22:53	9:30:05	9:32:28
6	4	9:23:11	9:29:16	9:30:51
5	4	9:23:15	9:28:44	9:30:02
3	3	9:23:27	9:32:33	9:33:56
4	4	9:23:30	9:32:37	9:33:49
1	3	9:23:49	9:28:42	9:29:52
2	4	9:24:11	9:33:27	9:35:10
4	5	9:24:48	9:33:56	9:35:28
5	2	9:24:53	9:30:06	9:31:41
2	3	9:25:29	9:35:14	9:36:22
4	3	9:25:36	9:35:32	9:36:53
5	1	9:25:39	9:31:48	9:35:45
3	5	9:25:57	9:34:00	9:35:23
6	2	9:26:06	9:30:57	9:32:34
1	4	9:26:18	9:29:57	9:31:21
4	3	9:26:29	9:36:57	9:38:09
5	4	9:26:30	9:35:48	9:36:52
3	4	9:27:42	9:35:27	9:37:08
4	3	9:27:54	9:38:16	9:39:30
2	3	9:28:20	9:36:25	9:37:59
6	5	9:28:32	9:32:40	9:34:16
1	3	9:28:45	9:31:24	9:32:37
1	5	9:29:18	9:32:42	9:34:00
5	3	9:29:28	9:36:55	9:38:04
4	5	9:29:28	9:39:33	9:40:53
2	5	9:29:58	9:38:05	9:38:54
5	4	9:30:15	9:38:08	9:39:51
2	4	9:30:33	9:39:00	9:40:54
1	5	9:30:34	9:34:03	9:35:30
3	5	9:30:35	9:37:16	9:38:33
4	5	9:30:37	9:40:57	9:42:27
6	5	9:31:12	9:34:19	9:35:54
6	4	9:31:30	9:35:59	9:37:46
2	1	9:31:33	9:41:02	9:43:33
4	4	9:31:53	9:42:30	9:43:42
2	4	9:32:20	9:43:41	9:44:46
5	3	9:32:39	9:39:58	9:41:36
6	4	9:32:40	9:37:51	9:39:12
2	4	9:32:48	9:44:50	9:46:28
1	3	9:32:50	9:35:35	9:37:07
3	3	9:32:53	9:38:39	9:39:49
5	4	9:34:39	9:41:44	9:43:05
4	3	9:34:48	9:43:45	9:45:10
2	3	9:35:10	9:46:35	9:47:49
1	4	9:35:14	9:37:14	9:38:46
6	5	9:35:27	9:39:20	9:40:58
3	5	9:35:32	9:39:55	9:41:02
5	5	9:36:42	9:43:09	9:44:24
6	1	9:36:43	9:41:03	9:44:07
1	5	9:36:58	9:38:51	9:39:51
4	4	9:37:00	9:45:13	9:47:04
2	5	9:38:02	9:47:55	9:49:11
3	4	9:38:30	9:41:10	9:42:13
6	5	9:38:35	9:44:15	9:45:55
4	4	9:38:48	9:47:08	9:48:30
5	5	9:39:08	9:44:31	9:45:59
3	5	9:39:18	9:42:18	9:43:48
1	1	9:39:34	9:39:58	9:41:42
5	5	9:39:48	9:46:06	9:47:27
6	2	9:39:50	9:45:59	9:48:11
1	1	9:39:58	9:41:50	9:45:46
4	3	9:40:30	9:48:35	9:49:44
2	4	9:40:32	9:49:19	9:51:23
5	2	9:41:34	9:47:30	9:49:17
3	3	9:41:43	9:43:54	9:45:30
4	3	9:41:48	9:49:49	9:51:17
6	3	9:41:51	9:48:16	9:49:54
5	4	9:42:34	9:49:24	9:50:58
1	4	9:42:36	9:45:49	9:47:44
2	1	9:42:48	9:51:28	9:55:00
5	4	9:43:10	9:51:02	9:52:53
6	4	9:43:16	9:50:02	9:51:50
4	2	9:43:54	9:51:21	9:52:33
5	4	9:43:57	9:52:57	9:55:01
2	5	9:44:01	9:55:08	9:56:17
1	3	9:44:11	9:47:51	9:49:19
1	4	9:44:31	9:49:27	9:50:30
3	5	9:44:33	9:45:36	9:46:51
3	3	9:45:03	9:46:57	9:48:35
1	5	9:45:44	9:50:38	9:52:04
6	3	9:45:45	9:51:55	9:53:24
2	4	9:46:13	9:56:24	9:57:39
5	4	9:46:13	9:55:09	9:56:40
6	4	9:46:19	9:53:27	9:55:05
2	5	9:46:35	9:57:46	9:58:45
5	2	9:46:35	9:56:46	9:59:50
4	5	9:46:44	9:52:38	9:54:18
3	5	9:47:00	9:48:40	9:50:00
2	4	9:47:05	9:58:48	10:00:35
1	4	9:47:38	9:52:09	9:53:29
2	3	9:47:44	10:00:43	10:01:58
3	5	9:48:24	9:50:07	9:51:40
4	3	9:48:35	9:54:23	9:55:30
5	5	9:49:07	9:59:57	10:01:17
6	4	9:49:09	9:55:11	9:56:46
1	3	9:49:20	9:53:32	9:54:54
2	4	9:49:32	10:02:01	10:03:20
4	4	9:49:34	9:55:37	9:56:55
2	4	9:49:51	10:03:23	10:04:53
5	4	9:49:56	10:01:25	10:02:27
6	4	9:50:16	9:56:53	9:58:23
3	1	9:51:08	9:51:46	9:55:11
2	2	9:51:20	10:04:59	10:07:35
1	4	9:51:23	9:55:02	9:56:47
4	5	9:51:25	9:57:03	9:58:17
5	4	9:51:41	10:02:34	10:03:51
6	4	9:52:21	9:58:26	10:00:07
1	4	9:52:51	9:56:53	9:58:59
2	3	9:53:12	10:07:41	10:09:16
3	3	9:53:38	9:55:19	9:56:52
5	4	9:53:44	10:03:56	10:06:03
4	5	9:54:00	9:58:20	9:59:19
6	3	9:54:01	10:00:13	10:01:22
1	4	9:54:15	9:59:06	10:00:33
6	3	9:54:25	10:01:25	10:02:35
2	5	9:54:27	10:09:24	10:11:06
6	2	9:54:55	10:02:43	10:04:32
3	5	9:55:04	9:56:57	9:58:09
2	5	9:55:26	10:11:10	10:12:25
1	4	9:55:40	10:00:40	10:02:26
4	3	9:55:47	9:59:26	10:00:49
5	5	9:56:20	10:06:10	10:07:37
1	2	9:56:33	10:02:30	10:03:43
6	4	9:57:07	10:04:37	10:06:27
3	4	9:57:30	9:58:16	10:00:09
2	4	9:58:07	10:12:32	10:14:20
4	4	9:58:07	10:00:54	10:02:39
4	4	9:58:28	10:02:46	10:04:28
6	2	9:58:41	10:06:31	10:09:28
5	2	9:59:01	10:07:42	10:10:20
3	4	9:59:06	10:00:16	10:02:21
1	3	9:59:14	10:03:48	10:04:55
3	5	9:59:33	10:02:25	10:04:05
4	5	9:59:45	10:04:33	10:05:32
1	4	9:59:49	10:05:01	10:05:59
2	3	10:00:19	10:14:26	10:16:04
1	4	10:00:20	10:06:06	10:07:15
6	4	10:00:21	10:09:34	10:10:30
5	5	10:00:31	10:10:23	10:11:39
4	3	10:01:19	10:05:37	10:07:15
3	5	10:01:19	10:04:10	10:05:30
5	5	10:01:45	10:11:45	10:12:51
6	3	10:01:46	10:10:37	10:12:08
3	3	10:02:41	10:05:36	10:07:00
6	1	10:02:46	10:12:16	10:15:45
4	3	10:02:51	10:07:18	10:08:55
2	4	10:02:56	10:16:08	10:18:07
3	3	10:02:59	10:07:05	10:08:37
1	4	10:03:12	10:07:21	10:09:04
5	1	10:03:47	10:12:58	10:15:47
6	4	10:04:42	10:15:53	10:17:45
5	3	10:04:52	10:15:53	10:17:17
3	3	10:05:10	10:08:42	10:10:20
2	2	10:05:15	10:18:14	10:20:49
6	5	10:05:19	10:17:51	10:19:05
4	2	10:05:43	10:09:02	10:11:52
5	3	10:05:55	10:17:22	10:18:43
1	1	10:06:06	10:09:08	10:12:40
2	5	10:06:15	10:20:54	10:21:59
4	1	10:06:17	10:11:59	10:15:23
3	5	10:06:34	10:10:25	10:11:44
1	1	10:06:46	10:12:43	10:16:36
2	5	10:07:07	10:22:05	10:23:16
2	3	10:07:55	10:23:23	10:24:44
6	4	10:07:59	10:19:10	10:20:49
5	4	10:07:59	10:18:47	10:20:26
5	4	10:09:07	10:20:29	10:22:07
4	4	10:09:15	10:15:30	10:17:07
3	4	10:09:29	10:11:51	10:13:51
1	4	10:09:46	10:16:43	10:18:45
3	1	10:10:02	10:13:54	10:16:02
1	4	10:10:22	10:18:52	10:20:43
2	4	10:10:32	10:24:47	10:26:23
5	3	10:10:44	10:22:15	10:23:25
6	5	10:10:49	10:20:57	10:22:33
3	2	10:11:37	10:16:07	10:19:07
4	5	10:12:01	10:17:10	10:18:20
2	5	10:12:31	10:26:27	10:27:51
4	2	10:12:51	10:18:23	10:20:33
3	3	10:13:06	10:19:15	10:20:53
1	3	10:13:07	10:20:48	10:22:20
5	4	10:13:08	10:23:33	10:25:39
6	5	10:13:10	10:22:39	10:23:52
4	4	10:13:11	10:20:37	10:21:55
5	3	10:13:35	10:25:44	10:26:58
1	2	10:13:46	10:22:28	10:23:54
2	5	10:14:30	10:27:59	10:29:08
5	4	10:15:02	10:27:02	10:28:21
3	3	10:15:04	10:21:01	10:22:14
2	4	10:15:16	10:29:16	10:30:37
4	3	10:15:21	10:21:58	10:23:12
6	3	10:15:23	10:23:57	10:25:16
4	4	10:15:41	10:23:16	10:25:13
1	4	10:16:27	10:23:58	10:25:23
3	1	10:16:39	10:22:20	10:26:11
1	3	10:16:44	10:25:31	10:26:52
2	3	10:16:48	10:30:44	10:32:08
6	3	10:16:52	10:25:23	10:26:55
4	4	10:17:00	10:25:17	10:26:19
5	5	10:17:05	10:28:28	10:29:39
5	3	10:19:12	10:29:44	10:31:06
6	4	10:19:18	10:26:59	10:28:54
1	4	10:19:19	10:26:58	10:29:03
2	3	10:19:27	10:32:13	10:33:28
3	3	10:19:30	10:26:16	10:27:38
4	3	10:19:54	10:26:25	10:27:42
5	4	10:19:57	10:31:11	10:32:27
1	5	10:20:15	10:29:06	10:30:09
6	2	10:20:24	10:28:59	10:31:04
2	4	10:21:13	10:33:36	10:34:39
6	3	10:21:17	10:31:12	10:32:43
5	1	10:21:40	10:32:31	10:36:15
4	4	10:21:46	10:27:45	10:29:43
3	4	10:22:04	10:27:45	10:28:48
1	5	10:22:23	10:30:17	10:31:53
6	5	10:22:28	10:32:46	10:33:44
6	3	10:23:19	10:33:47	10:34:57
3	4	10:23:22	10:28:53	10:30:20
2	4	10:23:46	10:34:43	10:35:52
4	4	10:23:59	10:29:46	10:31:39
5	3	10:24:11	10:36:18	10:37:54
1	4	10:24:23	10:31:56	10:33:20
2	3	10:24:27	10:35:56	10:37:29
5	4	10:25:30	10:37:57	10:38:53
3	2	10:25:47	10:30:28	10:32:50
6	3	10:26:05	10:35:00	10:36:12
2	4	10:26:43	10:37:35	10:39:38
1	3	10:26:47	10:33:27	10:35:00
6	2	10:26:54	10:36:18	10:39:16
4	3	10:26:57	10:31:44	10:32:53
2	4	10:27:30	10:39:45	10:41:45
1	1	10:27:54	10:35:08	10:38:01
1	4	10:28:11	10:38:04	10:39:52
3	1	10:28:15	10:32:55	10:36:12
5	5	10:28:17	10:38:59	10:40:29
5	4	10:29:12	10:40:37	10:42:42
4	1	10:29:39	10:32:57	10:35:40
6	3	10:29:49	10:39:20	10:40:35
2	3	10:29:54	10:41:52	10:43:04
1	5	10:30:03	10:40:00	10:41:05
4	5	10:30:26	10:35:47	10:37:19
3	2	10:30:56	10:36:20	10:38:37
5	5	10:31:22	10:42:50	10:44:04
1	2	10:32:14	10:41:08	10:43:08
2	5	10:32:36	10:43:11	10:44:22
3	4	10:32:36	10:38:41	10:39:57
6	1	10:32:39	10:40:38	10:44:15
4	4	10:32:41	10:37:23	10:39:30
2	5	10:33:04	10:44:25	10:45:49
1	1	10:33:06	10:43:11	10:45:02
6	5	10:33:30	10:44:22	10:45:50
4	3	10:33:58	10:39:37	10:41:05
5	3	10:33:59	10:44:07	10:45:42
3	3	10:34:00	10:40:05	10:41:38
2	4	10:34:01	10:45:54	10:47:45
1	4	10:34:18	10:45:05	10:46:48
3	5	10:34:34	10:41:43	10:42:42
4	4	10:34:59	10:41:09	10:43:10
2	5	10:35:04	10:47:49	10:49:35
6	3	10:35:35	10:45:56	10:47:11
5	4	10:35:50	10:45:46	10:46:57
4	1	10:36:43	10:43:17	10:45:01
6	3	10:36:51	10:47:16	10:48:25
3	4	10:36:54	10:42:49	10:44:29
1	4	10:37:03	10:46:52	10:47:59
2	5	10:37:47	10:49:41	10:50:52
5	4	10:37:49	10:47:03	10:48:42
3	3	10:38:41	10:44:33	10:45:49
4	5	10:38:50	10:45:08	10:46:52
1	1	10:38:53	10:48:07	10:51:32
1	4	10:39:16	10:51:38	10:53:00
2	3	10:39:19	10:50:58	10:52:30
6	3	10:39:30	10:48:28	10:50:05
5	4	10:39:47	10:48:46	10:50:47
2	3	10:40:04	10:52:36	10:54:03
2	2	10:40:33	10:54:07	10:57:11
3	5	10:40:45	10:45:52	10:47:19
5	4	10:41:01	10:50:50	10:51:48
6	1	10:41:02	10:50:11	10:53:25
1	5	10:41:09	10:53:07	10:54:45
4	1	10:41:09	10:46:57	10:49:57
1	4	10:41:41	10:54:50	10:56:28
3	4	10:41:48	10:47:22	10:48:57
6	5	10:42:24	10:53:31	10:54:50
1	5	10:42:48	10:56:34	10:57:50
2	3	10:42:58	10:57:17	10:58:28
3	4	10:43:40	10:49:03	10:50:51
5	3	10:43:42	10:51:51	10:53:00
4	3	10:43:58	10:50:03	10:51:23
3	4	10:43:59	10:50:55	10:52:03
1	5	10:44:02	10:57:54	10:58:50
6	4	10:44:13	10:54:53	10:56:49
6	5	10:44:31	10:56:55	10:58:29
2	4	10:44:48	10:58:35	10:59:53
5	1	10:45:46	10:53:08	10:56:52
6	5	10:45:56	10:58:36	11:00:00
4	5	10:45:57	10:51:26	10:53:05
3	5	10:46:02	10:52:07	10:53:14
2	4	10:46:16	11:00:01	11:01:13
1	2	10:46:36	10:58:53	11:00:26
4	3	10:46:43	10:53:13	10:54:34
2	4	10:47:04	11:01:19	11:02:16
1	5	10:47:25	11:00:33	11:01:57
3	5	10:47:28	10:53:22	10:54:58
6	5	10:47:47	11:00:08	11:01:17
3	4	10:47:48	10:55:06	10:56:55
5	3	10:48:18	10:56:59	10:58:14
4	3	10:48:56	10:54:40	10:56:16
5	5	10:48:58	10:58:22	10:59:32
3	5	10:49:44	10:57:01	10:58:41
2	5	10:49:59	11:02:19	11:03:43
6	3	10:50:01	11:01:23	11:02:34
