az	nev	ev	elozo
51	Venczel Vera	2010	Jászai Mari-díjas 
52	Voith Ági	2013	Jászai Mari-díjas 
53	Korcsmáros György	2010	Jászai Mari-díjas 
54	Kalocsai Zsuzsa	2008	Jászai Mari-díjas 
55	Halasi Imre	2010	Jászai Mari-díjas
56	Keller András	2012	Liszt Ferenc-díjas
57	Gál Tamás	2008	Liszt Ferenc-díjas
58	Kesselyák Gergely	2012	Liszt Ferenc-díjas
59	Kovács László	2007	Liszt Ferenc-díjas
60	Dresch Mihály	2011	Liszt Ferenc-díjas
61	Geiger György	2000	Liszt Ferenc-díjas
62	Szecsődi Ferenc	2009	Liszt Ferenc-díjas 
63	Erdei Péter	2010	Liszt Ferenc-díjas 
64	Thész Gabriella	2010	Liszt Ferenc-díjas 
65	Pitti Katalin	2011	Liszt Ferenc-díjas 
66	Virágh András	2012	Liszt Ferenc-díjas 
67	Tillai Aurél Ede	2013	Liszt Ferenc-díjas 
68	László Attila	2010	Liszt Ferenc-díjas 
69	Bazsinka Zsuzsanna	2009	
70	Galántai György	2007	Munkácsy Mihály-díjas
71	Györfi Sándor	2013	Munkácsy Mihály-díjas
72	Lugossy Mária	2012	Munkácsy Mihály-díjas
73	Molnár Kálmán	2013	Munkácsy Mihály-díjas
74	Stefanovits Péter	2011	Munkácsy Mihály-díjas 
75	Roskó Gábor	2008	Munkácsy Mihály-díjas 
76	Haász István	2010	Munkácsy Mihály-díjas
77	Szikora Tamás	2010	Munkácsy Mihály-díjas
78	Jávori Ferenc	2009	
79	id. Nagy Zoltán	2003	
80	Kiss János	2005	
81	Popova Aleszja	2003	
82	Solymosi Tamás	2006	
83	Both András	2011	
84	Radnóti Zsuzsa	2003	
85	Szegő György	2002	
86	Ef Zámbó István	2000	
87	Földi Péter	2001	
88	Kárpáti Tamás	2000	
89	Kisléghi Nagy Ádám	2011	
90	Pál Lajos	2002	
91	Pinczehelyi Sándor	2004	
92	Ujházi Péter	2004	
93	Záborszky Gábor	2006	
94	Almási Tamás	2005	
95	Enyedi Ildikó	2000	
96	Janisch Attila	2006	
97	Molnár György	2003	
98	Szász János	2001	
99	Benkő Imre	2004	
100	Szebeni András	2006	
101	Banga Ferenc	2003	
102	Orosz István	2005	
103	Ligeti András	2002	
104	Fábry Sándor	2002	
105	Szombathy Gyula	2009	Jászai Mari-díjas 
106	Párkai István	2001	
107	Péreli Zsuzsa	2002	
108	Kovács Péter	2000	
109	Lovas Ilona	2005	
110	Türk Péter	2010	
111	Roboz Ágnes	2008	
112	L. Kecskés András	2011	
113	Frankó Tünde	2006	
114	Végh Krisztina	2001	
115	Bándi János	2010	
116	Berkes János	2007	
117	Kertesi Ingrid	2001	
118	Lukács Gyöngyi	2003	
119	Sümegi Eszter	2010	
120	Kovalik Balázs	2000	
121	Máthé Tibor	2001	
122	Zádori Ferenc	2004	
123	Málnay Levente	2005	
124	Meczner János	2005	
125	Tompa Gábor	2002	
126	Szirtes Ági	2000	
127	Bács Ferenc	2001	
128	Beregi Péter	2010	
129	Börcsök Enikő	2005	
130	Bubik István	2000	
131	Csűrös Karola	2006	
132	Dózsa László	2011	
133	Gálffi László	2003	
134	Heller Tamás	2006	
135	Kállai Bori	2004	
136	Kovács Lajos	2004	
137	Kubik Anna	2002	
138	Máté Gábor	2003	
139	Nagy-Kálózy Eszter	2000	
140	Oszvald Marika	2002	
141	Pap Vera	2001	
142	Pásztor Erzsi	2006	
143	Piros Ildikó	2003	
144	Senkálszky Endre	2011	
145	Szacsvay László	2001	
146	Gaál Tamás	2006	
147	Bozsik Yvette	2001	
148	Juronics Tamás	2005	
149	Ladányi Andrea	2004	
150	Medveczky Ilona	2004	
151	Nagy József	2011	
152	Román Sándor	2006	
153	Zarnóczai Gizella	2002	
154	Zsuráfszky Zoltán	2002	
155	Makláry László	2005	
156	Dés László	2003	
157	Kathy-Horváth Lajos	2011	
158	Sáry László	2000	
159	Szakcsi Lakatos Béla	2002	
160	Bátori Éva	2005	
161	Fokanov Anatolij	2004	
162	Harangozó Gyula	2004	
